Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-27
Cash & Equivalents,0.29,0.42,0.5,0.73,0.95,0.13,0.05
Cash & Cash Equivalents,0.29,0.42,0.5,0.73,0.95,0.13,0.05
Cash Growth,-69.34%,232.16%,1016.19%,-,-,-,-
Other Current Assets,0.18,0.21,0.36,0.59,0.57,0,-
Total Current Assets,0.47,0.63,0.86,1.32,1.53,0.13,-
Long-Term Investments,147.64,146.76,146.11,145.99,145.91,0,-
Other Long-Term Assets,0,0,0,0,0.06,0.12,-
Total Long-Term Assets,147.64,146.76,146.11,145.99,145.97,0.12,-
Total Assets,148.11,147.39,146.97,147.31,147.5,0.24,0.12
Accounts Payable,0.83,0.69,0.61,0.17,0.01,0.02,0
Current Debt,0,0,0,0,0,0.2,0.1
Other Current Liabilities,0.18,0.27,0.09,0.05,0.03,0,0
Total Current Liabilities,1.01,0.96,0.7,0.22,0.03,0.22,0.1
Other Long-Term Liabilities,5.33,7.37,9,9.9,12.46,0,0
Total Long-Term Liabilities,5.33,7.37,9,9.9,12.46,0,0
Total Liabilities,6.33,8.33,9.7,10.11,12.49,0.22,0.1
Total Debt,0,0,0,0,0,0.2,0.1
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.24,-7.43,-8.64,-8.71,-10.89,-0,-0
Shareholders' Equity,-5.24,-7.43,-8.64,-8.71,-10.89,0.02,0.02
Total Liabilities and Equity,1.1,0.9,1.06,1.4,1.6,0.24,0.12
Net Cash / Debt,0.29,0.42,0.5,0.73,0.95,-0.07,-0.06
Net Cash / Debt Growth,-69.34%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.03,0.04,0.14,-0.02,-0.02
Working Capital,-0.54,-0.33,0.16,1.1,1.5,-0.1,-
Book Value Per Share,-0.29,-0.41,-0.48,-0.48,-1.57,0.01,0.01
