Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-22
Cash & Equivalents,0.01,0.04,0.05,0.09,0.18,0.55,0.66,0.72,0.89,0.03
Cash & Cash Equivalents,0.01,0.04,0.05,0.09,0.18,0.55,0.66,0.72,0.89,0.03
Cash Growth,-95.77%,-93.04%,-92.23%,-87.25%,-79.92%,2084.29%,-,-,-,-
Other Current Assets,0.07,0.08,0.18,0.28,0.29,0.38,0.48,0.58,0.61,0
Total Current Assets,0.08,0.12,0.23,0.37,0.47,0.93,1.14,1.3,1.5,0.03
Long-Term Investments,12.54,416.2,414.61,414.08,414.04,414.03,414.02,414.01,414,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.18
Total Long-Term Assets,12.54,416.2,414.61,414.08,414.04,414.03,414.02,414.01,414,0.18
Total Assets,12.61,416.32,414.83,414.45,414.51,414.96,415.16,415.31,415.5,0.2
Accounts Payable,0.65,0.18,0.21,0.39,0.25,0.24,0.03,0.02,0.02,0.02
Current Debt,0.97,0.89,0.79,0.37,0,0,0,0,0,0
Other Current Liabilities,0.96,1.17,0.69,0.53,0.49,0.32,0.38,0.26,0.14,0.17
Total Current Liabilities,2.58,2.24,1.7,1.29,0.74,0.57,0.41,0.28,0.16,0.2
Other Long-Term Liabilities,16.35,15.11,16.66,20.07,30.91,36.49,40.82,36.59,38.03,0
Total Long-Term Liabilities,16.35,15.11,16.66,20.07,30.91,36.49,40.82,36.59,38.03,0
Total Liabilities,18.93,17.35,18.36,21.35,31.65,37.05,41.23,36.87,38.2,0.2
Total Debt,0.97,0.89,0.79,0.37,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-18.61,-16.52,-17.61,-20.91,-31.14,-36.09,-40.07,-35.55,-36.7,-0.02
Shareholders' Equity,-18.6,-16.52,-17.61,-20.91,-31.14,-36.09,-40.07,-35.55,-36.69,0.01
Total Liabilities and Equity,0.32,0.83,0.75,0.45,0.51,0.96,1.16,1.31,1.5,0.2
Net Cash / Debt,-0.96,-0.85,-0.74,-0.28,0.18,0.55,0.66,0.72,0.89,0.03
Net Cash / Debt Growth,-,-,-,-,-79.92%,2084.29%,-,-,-,-
Net Cash Per Share,-0.02,-0.02,-0.01,-0.01,0.00,0.01,0.01,0.01,0.05,0.00
Working Capital,-2.5,-2.12,-1.47,-0.92,-0.27,0.36,0.73,1.02,1.34,-0.17
Book Value Per Share,-0.42,-0.32,-0.34,-0.40,-0.60,-0.70,-0.77,-0.69,-1.97,0.00
