Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.49,0.59,0.91,1.45,0.77,0
Short-Term Investments,296.02,293.55,292.24,0,0,-
Cash & Cash Equivalents,296.52,294.14,293.15,1.45,0.77,0
Cash Growth,38167.37%,-,-,-,-,-
Other Current Assets,0.54,0.61,0.64,0.68,0.61,-
Total Current Assets,297.06,294.76,293.79,2.13,1.39,-
Long-Term Investments,0,0,0,291.84,291.81,-
Other Long-Term Assets,0,0.1,0.25,0.39,0.54,-
Total Long-Term Assets,0,0.1,0.25,292.24,292.35,-
Total Assets,297.06,294.86,294.03,294.36,293.74,0.5
Accounts Payable,11.28,11.25,11.4,11.8,12.03,0.02
Current Debt,1.3,1.3,1.3,0,0,0
Other Current Liabilities,1.59,2.12,6.61,-10.06,-10.06,0.46
Total Current Liabilities,14.16,14.66,19.31,1.74,1.97,0.48
Long-Term Debt,0,0,0,1.3,0,0
Other Long-Term Liabilities,0,0,0,19.05,29.36,0
Total Long-Term Liabilities,0,0,0,20.35,29.36,0
Total Liabilities,14.16,14.66,19.31,22.09,31.33,0.48
Total Debt,1.3,1.3,1.3,1.3,0,0
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-13.13,-13.36,-17.52,-19.54,-29.4,-0.01
Shareholders' Equity,-13.13,-13.36,-17.52,-19.54,-29.4,0.02
Total Liabilities and Equity,1.03,1.3,1.8,2.55,1.93,0.5
Net Cash / Debt,295.22,292.84,291.85,0.15,0.77,0
Net Cash / Debt Growth,37999.59%,-,-,-,-,-
Net Cash Per Share,9.78,9.70,9.67,0.00,0.20,-
Working Capital,282.9,280.09,274.47,0.38,-0.58,-
Book Value Per Share,-0.43,-0.44,-0.58,-0.65,-7.67,0.01
