Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+1 Quarters
Cash & Equivalents,"15,303","10,294","11,962","10,682","10,541","8,337","9,806","11,117","16,620","11,524","13,552","16,344","13,704","12,147","11,461","11,755","12,963","9,396","12,068","15,675","13,044","11,602","13,915","12,020","11,392","9,321","13,588","11,787","12,500","12,325","12,271","10,621","11,218","11,828","14,808","6,782",-,"2,319",-,-,Upgrade
Cash & Cash Equivalents,"15,303","10,294","11,962","10,682","10,541","8,337","9,806","11,117","16,620","11,524","13,552","16,344","13,704","12,147","11,461","11,755","12,963","9,396","12,068","15,675","13,044","11,602","13,915","12,020","11,392","9,321","13,588","11,787","12,500","12,325","12,271","10,621","11,218","11,828","14,808","6,782",0,"2,319",0,0,Upgrade
Cash Growth,45.18%,23.47%,21.99%,-3.91%,-36.58%,-27.66%,-27.64%,-31.98%,21.28%,-5.13%,18.24%,39.04%,5.72%,29.28%,-5.03%,-25.01%,-0.62%,-19.01%,-13.27%,30.41%,14.50%,24.47%,2.41%,1.98%,-8.86%,-24.37%,10.73%,10.98%,11.43%,4.20%,-17.13%,56.61%,-,410.05%,-,-,-,-,-,-,Upgrade
Goodwill and Intangibles,"2,402","2,392","2,138","2,223","2,254","2,273","2,195","2,203","2,273","2,203","2,169","2,244","2,286","2,343","2,255","2,293","2,335","2,161","2,129","1,887","1,771","1,740","1,763","1,778","1,818","1,661","1,682","1,653","1,651","1,650","1,595","1,524","1,506","1,468","1,398","1,412",-,"1,249",-,-,Upgrade
Total Assets,"107,853","104,564","100,766","95,200","95,267","95,748","91,937","92,017","95,854","95,948","95,658","96,544","98,038","104,826","105,943","106,388","105,384","106,792","104,545","99,122","95,559","95,808","92,548","91,140","89,050","90,207","87,159","82,384","81,656","83,990","79,442","75,750","72,721","75,707","73,469","63,175",-,"59,085",-,-,Upgrade
Total Liabilities,"94,660","91,691","87,754","81,807","81,849","82,093","78,001","77,820","82,415","83,247","83,559","84,645","86,068","89,738","90,823","91,654","90,675","92,114","90,549","84,664","81,203","81,574","78,146","76,808","74,687","76,011","73,178","68,669","68,452","71,386","67,284","64,172","61,685","65,229","63,528","56,782",-,"53,125",-,-,Upgrade
Total Debt,"14,934","14,191","14,321","12,157","13,360","14,507","12,760","13,457","15,160","15,775","15,771","16,069","17,248","19,866","20,363","21,244","21,891","23,996","23,741","21,721","21,015","20,799","19,899","20,709","20,194","20,147","20,167","19,295","20,476","24,279","23,881","23,692","24,060","27,460","27,584","22,973",-,"24,321",-,-,Upgrade
Debt Growth,11.78%,-2.18%,12.23%,-9.66%,-11.87%,-8.04%,-19.09%,-16.25%,-12.11%,-20.59%,-22.55%,-24.36%,-21.21%,-17.21%,-14.23%,-2.20%,4.17%,15.37%,19.31%,4.89%,4.07%,3.24%,-1.33%,7.33%,-1.38%,-17.02%,-15.55%,-18.56%,-14.90%,-11.58%,-13.42%,3.13%,-,12.91%,-,-,-,-,-,-,Upgrade
Common Stock,"-4,068","-3,712","-3,099","-2,183","-1,511",-568,385,"1,638","1,970","2,077","2,072","2,050","2,026","2,996","3,617","4,139","4,816","5,749","5,712","6,618","7,081","7,461","7,884","8,257","8,679","8,904","9,130","9,357","9,346","9,340","9,431","9,422","9,418","9,407","9,401","6,399",-,"5,972",-,-,Upgrade
Retained Earnings,"17,369","16,716","16,252","15,679","15,003","14,245","13,562","12,560","11,470","10,621","10,024","9,852","9,960","12,117","11,533","10,627","9,939","8,986","8,355","7,906","7,334","6,809","6,543","6,109","5,724","5,330","4,861","4,364","3,875","3,293","2,746","2,172","1,631","1,079",548,0,-,0,-,-,Upgrade
