Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.18,0.07,0.01,0.15,0.34,0.46,0.54,0.77,0.03
Cash & Cash Equivalents,0.18,0.07,0.01,0.15,0.34,0.46,0.54,0.77,0.03
Cash Growth,-46.44%,-85.41%,-98.64%,-80.63%,1245.16%,-,-,-,-
Other Current Assets,0.03,0.09,0.15,0.21,0.26,0.37,0.48,0.44,0
Total Current Assets,0.21,0.16,0.16,0.36,0.59,0.83,1.02,1.21,0.03
Long-Term Investments,12.26,416.27,414.44,414.07,414.04,414.03,414.02,414.01,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.12
Total Long-Term Assets,12.26,416.27,414.44,414.07,414.04,414.03,414.02,414.01,0.12
Total Assets,12.47,416.43,414.6,414.43,414.63,414.85,415.03,415.21,0.15
Accounts Payable,0.5,0.01,0.01,0.27,0.21,0.01,0,0.01,0.14
Current Debt,0.48,0.44,0.22,0,0,0,0,0,0.01
Other Current Liabilities,1.79,0.85,1.78,4.33,7.05,6.37,11.46,8.49,0
Total Current Liabilities,2.77,1.3,2.01,4.59,7.26,6.38,11.47,8.49,0.15
Other Long-Term Liabilities,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,0
Total Long-Term Liabilities,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,0
Total Liabilities,17.26,15.79,16.5,19.08,21.75,20.87,25.96,22.98,0.15
Total Debt,0.48,0.44,0.22,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-15.94,-15.63,-16.35,-18.73,-21.16,-20.04,-24.94,-21.78,-0.03
Shareholders' Equity,-15.94,-15.63,-16.35,-18.73,-21.15,-20.04,-24.94,-21.78,-0
Total Liabilities and Equity,1.32,0.16,0.16,0.36,0.59,0.83,1.02,1.21,0.15
Net Cash / Debt,-0.29,-0.37,-0.21,0.15,0.34,0.46,0.54,0.77,0.02
Net Cash / Debt Growth,-,-,-,-80.63%,1581.45%,-,-,-,-
Net Cash Per Share,-0.01,-0.01,-0.00,0.00,0.01,0.01,0.01,0.01,0.00
Working Capital,-2.56,-1.14,-1.86,-4.24,-6.66,-5.55,-10.45,-7.29,-0.12
Book Value Per Share,-0.31,-0.30,-0.31,-0.35,-0.40,-0.38,-0.47,-0.41,-
