Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.09,0.59,0.82,1.05,1.22,1.45,0,0
Cash & Cash Equivalents,0.09,0.59,0.82,1.05,1.22,1.45,0,0
Cash Growth,-92.50%,-59.72%,-,-,-,-,-,-
Other Current Assets,0.26,0.28,0.33,0.35,0.36,0.33,-,-
Total Current Assets,0.35,0.87,1.14,1.4,1.57,1.79,-,-
Long-Term Investments,77.02,237.5,236,234.86,234.61,234.6,-,-
Other Long-Term Assets,0,0,0.05,0.13,0.21,0.28,-,-
Total Long-Term Assets,77.02,237.5,236.05,234.98,234.81,234.88,-,-
Total Assets,77.37,238.37,237.19,236.38,236.39,236.67,0.4,0.11
Accounts Payable,0.48,0.34,0.27,0.26,0.2,0.14,0,0
Current Debt,0.18,0,0,0,0,0,0.1,0
Other Current Liabilities,0.02,0.02,0.02,0.02,0.02,0.04,0.36,0.11
Total Current Liabilities,0.67,0.36,0.29,0.28,0.22,0.18,0.45,0.11
Other Long-Term Liabilities,10.62,9.1,11.01,11.35,13.09,19.23,0,0
Total Long-Term Liabilities,10.62,9.1,11.01,11.35,13.09,19.23,0,0
Total Liabilities,11.3,9.46,11.3,11.63,13.3,19.41,0.45,0.11
Total Debt,0.18,0,0,0,0,0,0.1,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-10.95,-8.6,-10.11,-10.1,-11.52,-17.34,-0.07,-0.02
Shareholders' Equity,-10.95,-8.6,-10.11,-10.1,-11.52,-17.34,-0.05,0
Total Liabilities and Equity,0.35,0.87,1.2,1.53,1.78,2.07,0.4,0.11
Net Cash / Debt,-0.08,0.59,0.82,1.05,1.22,1.45,-0.1,0
Net Cash / Debt Growth,-,-59.72%,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.02,0.03,0.04,0.04,0.18,-0.02,-
Working Capital,-0.32,0.51,0.86,1.12,1.36,1.61,-,-
Book Value Per Share,-0.48,-0.30,-0.35,-0.35,-0.40,-2.21,-0.01,-
