Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0.04,0.22,0.02,0.02,0.18,0.33,0.49,0.62,0.02,0.06
Cash & Cash Equivalents,0.04,0.22,0.02,0.02,0.18,0.33,0.49,0.62,0.02,0.06
Cash Growth,-77.49%,-32.90%,-96.36%,-96.35%,868.26%,433.33%,-,-,-,-
Other Current Assets,0.01,0.09,0.39,0.24,0.26,0.33,0.4,0.46,0,0
Total Current Assets,0.05,0.31,0.41,0.26,0.44,0.65,0.88,1.09,0.02,0.06
Long-Term Investments,30.31,280.52,278.95,278.76,278.82,278.81,278.81,278.8,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.17,0.16
Total Long-Term Assets,30.31,280.52,278.95,278.76,278.82,278.81,278.81,278.8,0.17,0.16
Total Assets,30.36,280.83,279.36,279.03,279.26,279.47,279.69,279.89,0.19,0.22
Accounts Payable,0.24,0.02,0.13,0.03,0.01,0.03,0,0,0,0
Current Debt,0.16,0.04,0.02,0.03,0,0,0,0,0.2,0.2
Other Current Liabilities,2.96,1.91,0.36,0.28,0.32,0.21,0.12,0.07,0.08,0
Total Current Liabilities,3.36,1.97,0.51,0.34,0.33,0.24,0.12,0.07,0.27,0.2
Other Long-Term Liabilities,13.73,12.6,12.15,15.3,21.6,24.98,27.09,23.4,0,0
Total Long-Term Liabilities,13.73,12.6,12.15,15.3,21.6,24.98,27.09,23.4,0,0
Total Liabilities,17.09,14.57,12.66,15.64,21.93,25.21,27.2,23.47,0.27,0.2
Total Debt,0.16,0.04,0.02,0.03,0,0,0,0,0.2,0.2
Common Stock,0,0,0.12,0.12,0,0,3.95,0.02,0.03,0.03
Retained Earnings,-16.61,-13.64,-12.18,-15.48,-21.43,-24.5,1.05,4.98,-0.11,0
Shareholders' Equity,-16.61,-13.64,-12.06,-15.37,-21.43,-24.5,5,5,-0.08,0.03
Total Liabilities and Equity,0.48,0.93,0.6,0.27,0.5,0.71,32.2,28.47,0.19,0.22
Net Cash / Debt,-0.12,0.18,-0,-0.01,0.18,0.33,0.49,0.62,-0.18,-0.13
Net Cash / Debt Growth,-,-45.48%,-,-,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.01,-0.00,-0.00,0.01,0.01,0.01,0.02,-,-0.03
Working Capital,-3.31,-1.67,-0.1,-0.07,0.11,0.42,0.77,1.02,-0.25,-0.13
Book Value Per Share,-0.57,-0.40,-0.35,-0.45,-0.62,-0.71,0.14,0.16,-0.02,0.01
