Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.35,0.12,0.25,0.46,0.75,1.03,1.19,1.37,0.07
Cash & Cash Equivalents,0.35,0.12,0.25,0.46,0.75,1.03,1.19,1.37,0.07
Cash Growth,-53.09%,-88.08%,-78.80%,-66.63%,904.00%,-,-,-,-
Other Current Assets,0.04,0.05,0.06,0.1,0.04,0.09,0.15,0.2,0
Total Current Assets,0.39,0.17,0.31,0.56,0.79,1.12,1.34,1.57,0.07
Long-Term Investments,349.47,347.1,345.54,345.05,345.02,345.01,345.01,345,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.11
Total Long-Term Assets,349.47,347.1,345.54,345.05,345.02,345.01,345.01,345,0.11
Total Assets,349.85,347.27,345.85,345.6,345.81,346.13,346.35,346.57,0.19
Accounts Payable,0.41,0.5,0.47,0.41,0.33,0,0,0,0
Current Debt,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16
Other Current Liabilities,0.98,0.37,0.07,0,0,0.11,0.06,0.12,0
Total Current Liabilities,1.43,0.9,0.58,0.45,0.36,0.15,0.1,0.15,0.16
Other Long-Term Liabilities,0.19,0.67,0.94,3.09,5.9,7.8,10.56,8.8,0
Total Long-Term Liabilities,0.19,0.67,0.94,3.09,5.9,7.8,10.56,8.8,0
Total Liabilities,1.62,1.57,1.53,3.54,6.27,7.94,10.66,8.96,0.16
Total Debt,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16
Debt Growth,-1.54%,-1.54%,-1.54%,-1.54%,-77.07%,-,-,-,-
Common Stock,0,0,0,0,0,0,7.01,5.09,0.03
Retained Earnings,-0.46,-0.68,-1.22,-2.93,-5.46,-6.81,-2.01,-0.09,-0
Shareholders' Equity,-0.46,-0.68,-1.22,-2.93,-5.46,-6.81,5,5,0.02
Total Liabilities and Equity,1.16,0.89,0.31,0.6,0.81,1.13,15.66,13.96,0.19
Net Cash / Debt,0.32,0.09,0.22,0.42,0.71,0.99,1.16,1.33,-0.09
Net Cash / Debt Growth,-55.80%,-91.34%,-81.30%,-68.46%,-,-,-,-,-
Net Cash Per Share,0.01,0.00,0.00,0.01,0.02,0.02,0.03,0.07,-0.01
Working Capital,-1.04,-0.73,-0.27,0.11,0.42,0.97,1.24,1.41,-0.09
Book Value Per Share,-0.01,-0.01,-0.03,-0.07,-0.12,-0.15,0.11,0.26,0.00
