Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+27 Quarters
Cash & Equivalents,"15,458","15,039","17,138","15,530","13,181","15,864","17,381","18,928","17,388","15,926","17,190","15,046","11,004","10,402","9,043","8,814","8,547","9,785","9,653","9,992","9,026","9,021","10,905","8,467","7,456","6,852","6,646","6,914","17,004","13,898","4,590","3,290","3,217","3,483","3,469","3,163","2,925","2,170","2,235","1,502",Upgrade
Short-Term Investments,"2,752","2,785","2,833","3,309","1,230","1,201","2,025","1,206","2,058","3,009","3,752","2,739","2,411","3,902","4,236","3,265","3,876","3,461","3,547","3,396","3,577","3,413","3,564","2,754","1,495","3,697","3,319","2,865","3,954","8,508","2,497","2,575","2,567","2,495","1,979","2,006","1,674","1,969","2,069","1,895",Upgrade
Cash & Cash Equivalents,"18,210","17,824","19,971","18,839","14,411","17,065","19,406","20,134","19,446","18,935","20,942","17,785","13,415","14,304","13,279","12,079","12,423","13,246","13,200","13,388","12,603","12,434","14,469","11,221","8,951","10,549","9,965","9,779","20,958","22,406","7,087","5,865","5,784","5,978","5,448","5,169","4,599","4,139","4,304","3,397",Upgrade
Cash Growth,26.36%,4.45%,2.91%,-6.43%,-25.89%,-9.88%,-7.33%,13.21%,44.96%,32.38%,57.71%,47.24%,7.99%,7.99%,0.60%,-9.78%,-1.43%,6.53%,-8.77%,19.31%,40.80%,17.87%,45.20%,14.75%,-57.29%,-52.92%,40.61%,66.73%,262.34%,274.81%,30.08%,13.46%,25.77%,44.43%,26.58%,52.16%,66.15%,46.05%,-40.63%,-48.41%,Upgrade
Receivables,"4,064","4,240","3,952","3,881","3,767","3,956","3,726","3,515","3,225","3,342","2,882","3,564","2,948","4,934","4,590","3,220","2,978","4,528","2,790","2,835","3,760","2,899","2,554","2,524","4,431","2,453","2,508","2,565","1,358","1,365","1,255","1,596","1,575","1,400","1,608","1,599","1,584","1,728","1,560","1,238",Upgrade
Other Current Assets,"6,383","5,795","6,282","6,251","5,913","4,885","4,475","4,393","4,230","4,003","3,821","3,662","3,544","3,081","3,101","3,006","3,089","2,333","2,226","2,268","2,173","1,954","2,000","1,973","2,123","1,687","1,840","2,030","1,987","1,702","1,679","2,607","2,746","2,486","2,506","2,257","2,324","1,898","1,958","2,306",Upgrade
Total Current Assets,"28,657","27,859","30,205","28,971","24,091","25,906","27,607","28,042","26,901","26,280","27,645","25,011","19,907","22,319","20,970","18,305","18,490","20,107","18,216","18,491","18,536","17,287","19,023","15,718","15,505","14,689","14,313","14,374","24,303","25,473","10,021","10,068","10,105","9,864","9,562","9,025","8,507","7,765","7,822","6,941",Upgrade
"Property, Plant & Equipment","3,359","3,236","3,223","3,146","3,120","2,908","2,715","2,707","2,684","2,713","2,737","2,746","2,776","2,739","2,695","2,549","2,456","2,437","2,472","2,387","2,366","2,238","2,253","2,202","2,133","2,201","2,150","2,136","1,883","1,884","1,888","1,847","1,843","1,861","1,892","1,772","1,760","1,746","1,732","1,689",Upgrade
Long-Term Investments,"2,840","2,735","2,136","2,240","2,296","2,087","1,705","1,111",110,161,231,547,"1,064","1,719","2,157","2,918","3,506","4,132","4,082","2,835","2,602","2,674","1,926","2,117","2,927","3,834","3,931","3,792","3,617","3,510","3,389","3,305","2,785","3,039","3,046","2,856","3,143","3,110","2,819","3,215",Upgrade
Goodwill and Intangibles,"44,652","44,331","42,852","44,070","45,149","43,827","43,622","44,044","43,803","44,714","43,718","42,979","42,766","42,904","42,436","42,585","42,054","42,450","42,752","42,832","43,909","43,271","42,958","42,331","41,241","41,273","42,300","42,122","23,171","23,173","23,186","23,200","23,132","23,148","23,164","23,168","22,998","23,015","23,032","23,049",Upgrade
