Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+40 Quarters
Cash & Equivalents,24.13,16.68,32.18,54.9,68.48,92.62,64.28,71.66,34.92,43.45,38.09,34.95,47.98,19.97,46.46,28.75,25.91,19.54,15.4,15.73,16.28,17.81,30.71,32.29,24.87,11.8,31.76,28.96,30.72,17.26,26.08,19.97,50.69,49.1,44.83,57.34,56.51,40.21,33.78,47.97,Upgrade
Cash & Cash Equivalents,24.13,16.68,32.18,54.9,68.48,92.62,64.28,71.66,34.92,43.45,38.09,34.95,47.98,19.97,46.46,28.75,25.91,19.54,15.4,15.73,16.28,17.81,30.71,32.29,24.87,11.8,31.76,28.96,30.72,17.26,26.08,19.97,50.69,49.1,44.83,57.34,56.51,40.21,33.78,47.97,Upgrade
Cash Growth,-64.76%,-81.99%,-49.94%,-23.39%,96.11%,113.15%,68.77%,105.01%,-27.21%,117.61%,-18.02%,21.57%,85.20%,2.17%,201.68%,82.81%,59.17%,9.73%,-49.85%,-51.30%,-34.55%,50.98%,-3.30%,11.51%,-19.05%,-31.66%,21.79%,45.02%,-39.39%,-64.85%,-41.84%,-65.17%,-10.30%,22.12%,32.74%,19.54%,-18.26%,-24.32%,28.82%,76.96%,Upgrade
"Property, Plant & Equipment",11.81,11.75,11.77,11.6,11.72,11.82,11.94,12.06,11.9,11.78,11.71,11.82,11.93,12.04,12.1,12.22,12.37,12.46,12.62,12.77,12.91,12.98,13.08,12.8,12.69,12.76,12.71,12.59,13.59,13.67,13.73,13.72,14.89,14.3,13.62,12.97,12.94,12.41,23.67,23.68,Upgrade
Total Assets,734.8,723.27,742.7,752.6,764.42,748.4,730.06,717.93,715.62,706.24,727.36,722.65,570.21,540.31,559.93,536.53,522.27,514.87,512.32,506.35,488.82,476.97,464.71,462.26,451.33,444.8,446.29,419.54,422.99,419.94,423.65,428.07,439.73,434,433.01,442.06,450.31,444.17,459.72,483.98,Upgrade
Total Liabilities,670.92,662.16,684.33,692.54,702.94,685,668.33,658.95,660.08,654.24,678.49,676.03,526.04,497.4,518.41,496.86,483.96,477.73,476.5,471.56,454.59,437.64,421.07,418.79,408.15,401.19,402.84,387.83,391.72,389.58,392.99,398.16,409.47,414.95,414.27,423.01,431.78,425.93,438.47,461.89,Upgrade
Total Debt,49.46,34.46,14.45,14.44,14.43,14.42,14.42,14.41,31.54,55.92,98.5,90.5,50.37,48.68,35.35,45.34,35.34,35.33,36.82,35.48,29.93,22.65,10.36,10.36,16.24,11.25,17.18,12.28,14.32,15.27,15.1,19.42,24.32,26.07,24.6,25.75,28.67,29.48,30.05,36.19,Upgrade
Debt Growth,242.74%,138.88%,0.22%,0.22%,-54.24%,-74.21%,-85.37%,-84.08%,-37.39%,14.88%,178.65%,99.58%,42.54%,37.79%,-3.99%,27.80%,18.05%,55.98%,255.26%,242.33%,84.28%,101.41%,-39.67%,-15.60%,13.41%,-26.37%,13.75%,-36.77%,-41.11%,-41.41%,-38.61%,-24.58%,-15.16%,-11.57%,-18.15%,-28.84%,-23.85%,-29.17%,-28.64%,-15.50%,Upgrade
Common Stock,61.14,61.04,60.91,60.85,60.73,60.64,60.52,60.49,60.39,60.3,60.22,60.19,60.12,60.06,60.05,60.03,59.7,59.65,59.59,59.57,59.5,64.48,64.44,64.46,64.36,65.03,64.97,64.98,64.98,64.81,64.82,64.73,64.63,60.32,60.25,60.22,60.2,60.15,58.42,58.38,Upgrade
Retained Earnings,12.14,10.96,9.03,7.09,5.1,3.51,1.35,-1.55,-4.84,-8.74,-11.79,-14.06,-16.39,-17.29,-18.6,-20.32,-20.96,-21.77,-22.63,-23.75,-24.39,-24.69,-20.63,-20.79,-20.92,-21.17,-21.5,-33.25,-33.72,-33.95,-33.87,-34.17,-34.09,-40.54,-39.83,-39.42,-39.04,-38.07,-34.03,-33.54,Upgrade
