Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.04,0.15,0.62,0.99,1.36,1.66,0,0
Cash & Cash Equivalents,0.04,0.15,0.62,0.99,1.36,1.66,0,0
Cash Growth,-97.30%,-91.16%,-,-,-,-,-,-
Receivables,0,0,0,0,0,0,0,0
Other Current Assets,0.14,0.1,0.1,0.16,0.18,0.23,-,-
Total Current Assets,0.17,0.24,0.72,1.15,1.54,1.9,-,-
Long-Term Investments,47.26,201.2,200.3,200.03,200.01,200,-,-
Total Long-Term Assets,47.26,201.2,200.3,200.03,200.01,200,-,-
Total Assets,47.44,201.44,201.01,201.18,201.55,201.9,0.16,0.12
Accounts Payable,2.97,2.6,2,0.26,0.13,0,0,0
Current Debt,0.6,0,0,0,0,0,0.08,0.03
Other Current Liabilities,6.77,5.06,4.3,2.48,1.06,0.22,0.06,0.08
Total Current Liabilities,10.34,7.66,6.3,2.73,1.19,0.22,0.14,0.1
Other Long-Term Liabilities,7.33,7,7,7,7,7,0,0
Total Long-Term Liabilities,7.33,7,7,7,7,7,0,0
Total Liabilities,17.67,14.66,13.3,9.73,8.19,7.22,0.14,0.1
Total Debt,0.6,0,0,0,0,0,0.08,0.03
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-17.4,-14.32,-12.49,-8.55,-6.65,-5.32,-0.01,-0.01
Shareholders' Equity,-17.4,-14.31,-12.49,-8.55,-6.65,-5.32,0.01,0.01
Total Liabilities and Equity,0.27,0.34,0.82,1.18,1.55,1.9,0.16,0.12
Net Cash / Debt,-0.56,0.15,0.62,0.99,1.36,1.66,-0.08,-0.03
Net Cash / Debt Growth,-,-91.16%,-,-,-,-,-,-
Net Cash Per Share,-0.02,0.01,0.02,0.04,0.09,0.10,-0.01,-0.00
Working Capital,-10.16,-7.41,-5.59,-1.58,0.35,1.68,-,-
Book Value Per Share,-0.69,-0.52,-0.46,-0.31,-0.43,-0.31,0.00,0.00
