Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-14
Cash & Equivalents,0.48,0.08,0.15,0.42,0.61,0.49,0.03,0.03
Cash & Cash Equivalents,0.48,0.08,0.15,0.42,0.61,0.49,0.03,0.03
Cash Growth,-21.06%,-83.50%,423.63%,1566.98%,-,-,-,-
Receivables,0,0,0,0,0,0.1,0,0
Other Current Assets,0.21,0.31,0.37,0.37,0.37,0.37,0.15,0
Total Current Assets,0.7,0.39,0.52,0.79,0.99,0.96,0.17,0.03
Long-Term Investments,35.9,236.04,234.9,234.73,234.65,234.61,0,0
Other Long-Term Assets,0,0,0.03,0.12,0.21,0.31,0,0.05
Total Long-Term Assets,35.9,236.04,234.93,234.85,234.86,234.92,0,0.05
Total Assets,36.6,236.44,235.45,235.64,235.84,235.88,0.17,0.07
Accounts Payable,0.55,0.94,0.68,0.71,0.55,0.2,0,0
Current Debt,0.68,0.38,0.38,0.13,0.13,0.03,0.13,0
Other Current Liabilities,0.5,0.19,0,0,0,0,0.03,0.05
Total Current Liabilities,1.72,1.51,1.05,0.83,0.68,0.22,0.15,0.05
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,8.05,0,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,8.05,0,0
Total Liabilities,9.77,9.56,9.1,8.88,8.73,8.27,0.15,0.05
Total Debt,0.68,0.38,0.38,0.13,0.13,0.03,0.13,0
Debt Growth,440.00%,1400.00%,200.00%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-8.23,-8.18,-8.25,-7.85,-7.49,-6.99,-0,-0
Shareholders' Equity,-8.23,-8.18,-8.25,-7.85,-7.49,-6.99,0.02,0.02
Total Liabilities and Equity,1.54,1.38,0.85,1.04,1.24,1.28,0.17,0.07
Net Cash / Debt,-0.19,-0.29,-0.22,0.29,0.49,0.46,-0.1,0.03
Net Cash / Debt Growth,-,-,-,1066.98%,-,-,-,-
Net Cash Per Share,-0.01,-0.01,-0.01,0.01,0.02,0.02,-0.02,0.01
Working Capital,-1.02,-1.12,-0.53,-0.05,0.31,0.74,0.02,-0.03
Book Value Per Share,-0.31,-0.28,-0.29,-0.27,-0.26,-0.25,0.01,0.01
