Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,"1,177.27",430.32,637.95,246.09,458.02,174.65,83.24,219.83,126.02,253.28,Upgrade
Depreciation & Amortization,14.19,5.53,5.2,4.07,3.47,3.95,3.88,4.61,9.49,18.38,Upgrade
Share-Based Compensation,15.83,24.6,10.22,11.3,11.1,6.46,6.69,7.37,3.54,10.48,Upgrade
Other Operating Activities,793.23,"3,729.04",618.11,"3,089.95",-429.4,"1,738.79","1,322.57",272.99,568.73,580.53,Upgrade
Operating Cash Flow,"2,044.18","4,233.16","1,304.99","3,351.4",43.19,"1,923.85","1,416.39",504.8,707.79,862.67,Upgrade
Operating Cash Flow Growth,-51.71%,224.38%,-61.06%,7660.57%,-97.76%,35.83%,180.58%,-28.68%,-17.95%,9.99%,Upgrade
Capital Expenditures,-765.45,-353.88,-13.24,-4.02,-4.28,-4.81,-1.2,-1.31,-1.35,-0.95,Upgrade
Change in Investments,"-1,483.29","-7,383.33","5,017.66","-2,885.67","-2,986.28","-3,595.1","-4,182.03","-5,627.5","-3,623.98","-4,430.44",Upgrade
Other Investing Activities,-206.17,"1,512.9",130.19,-165.19,582.23,"1,006.52",-317.88,51.61,677.58,552.09,Upgrade
Investing Cash Flow,"-2,454.91","-6,224.31","5,134.6","-3,054.89","-2,408.33","-2,593.39","-4,501.11","-5,577.21","-2,947.75","-3,879.3",Upgrade
Dividends Paid,-30.57,-31.45,-28.86,-27.3,-25.27,-23.15,-21.11,-17.87,-15.02,-12.64,Upgrade
Share Issuance / Repurchase,-312.59,-94.56,172.97,1.69,9.68,14.03,139.65,112.47,13.68,31.76,Upgrade
Debt Issued / Paid,336.15,-3.21,-77.84,-168.29,93.47,-8.92,121.5,-53.88,-220.35,190.06,Upgrade
Other Financing Activities,"-2,171.58","-2,466.18",296.27,"1,846.38","1,197.61","1,330.36","3,238.2","4,727.92","2,265.63","2,436.43",Upgrade
Financing Cash Flow,"-2,178.58","-2,595.4",362.54,"1,652.48","1,275.5","1,312.32","3,478.24","4,768.64","2,043.95","2,645.61",Upgrade
Net Cash Flow,"-2,589.31","-4,586.54","6,802.13","1,949","-1,089.65",642.78,393.52,-303.77,-196.02,-371.02,Upgrade
Free Cash Flow,"1,278.74","3,879.29","1,291.75","3,347.38",38.9,"1,919.04","1,415.19",503.49,706.43,861.72,Upgrade
Free Cash Flow Growth,-67.04%,200.31%,-61.41%,8504.65%,-97.97%,35.60%,181.08%,-28.73%,-18.02%,9.97%,Upgrade
Free Cash Flow Margin,90.34%,105.14%,53.28%,96.62%,2.51%,49.31%,63.74%,33.15%,32.57%,33.01%,Upgrade
Free Cash Flow Per Share,14.92,41.93,14.04,36.77,0.43,21.53,16.07,6.17,9.35,12.48,Upgrade
