Year,2022,2021,2020,2019
Net Income,2.4,-36.34,-31.51,5.48
Depreciation & Amortization,2.66,2.35,1.93,1.92
Share-Based Compensation,1.82,1.27,0,0
Other Operating Activities,-4.1,18.58,28.33,-1.97
Operating Cash Flow,2.78,-14.14,-1.25,5.43
Capital Expenditures,-5.36,-11.9,-7.29,-2.2
Change in Investments,-300.87,-99.47,108.41,-40.51
Other Investing Activities,-,6.03,0.28,-15
Investing Cash Flow,-306.24,-105.33,101.39,-57.71
Share Issuance / Repurchase,-15.35,250.78,0,0
Debt Issued / Paid,124.72,-145.16,31.13,100.2
Other Financing Activities,41.82,-109.14,61.14,41.65
Financing Cash Flow,151.19,-3.52,92.27,141.86
Net Cash Flow,-152.26,-123,192.41,89.58
Free Cash Flow,-2.59,-26.04,-8.55,3.23
Free Cash Flow Margin,-4.66%,-54.32%,-22.63%,7.29%
Free Cash Flow Per Share,-0.10,-2.14,-0.39,-
