Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Net Income,"2,056","3,966",-134,"2,807","3,584","1,462","1,651","2,341","3,110","2,120",Upgrade
Depreciation & Amortization,"7,683","6,437","5,791","4,876","3,102","2,345","2,020","1,695","1,470","1,455",Upgrade
Other Operating Activities,-988,"-2,529","2,684","-1,355","-1,527",198,-588,"-1,248","-2,006","-1,297",Upgrade
Operating Cash Flow,"8,751","7,874","8,341","6,328","5,159","4,005","3,083","2,788","2,574","2,278",Upgrade
Operating Cash Flow Growth,11.14%,-5.60%,31.81%,22.66%,28.81%,29.91%,10.58%,8.31%,12.99%,51.36%,Upgrade
Capital Expenditures,"-12,431","-11,225","-6,732","-4,595",257,-832,638,"-1,292",-563,"-2,216",Upgrade
Acquisitions,"-19,981","-8,607",-38,"-28,752","-20,540","-7,502","-9,082","-7,465","-5,838","1,097",Upgrade
Change in Investments,"-7,238","-1,213","-7,103","-3,327",450,"-3,060",-113,"-2,307","-3,195","-2,922",Upgrade
Investing Cash Flow,"-39,650","-21,045","-13,873","-36,674","-19,833","-11,394","-8,557","-11,064","-9,596","-4,041",Upgrade
Dividends Paid,"-1,029","-1,486",-867,-772,-726,-685,-633,-584,-542,-541,Upgrade
Share Issuance / Repurchase,-672,-345,-402,-254,-378,-109,-134,922,45,-303,Upgrade
Debt Issued / Paid,"34,655","24,136","3,741","21,720","19,303","6,459","2,061","6,828","6,532","2,598",Upgrade
Other Financing Activities,-494,"-6,044","6,226","8,052",-63,"2,520","5,699","1,056",598,956,Upgrade
Financing Cash Flow,"32,460","16,261","8,698","28,746","18,136","8,185","6,993","8,222","6,633","2,710",Upgrade
Net Cash Flow,"1,561","3,090","3,166","-1,600","3,462",796,"1,519",-54,-389,947,Upgrade
Free Cash Flow,"-3,680","-3,351","1,609","1,733","5,416","3,173","3,721","1,496","2,011",62,Upgrade
Free Cash Flow Growth,-,-,-7.16%,-68.00%,70.69%,-14.73%,148.73%,-25.61%,3143.55%,-,Upgrade
Free Cash Flow Margin,-3.97%,-4.42%,2.56%,2.56%,9.54%,7.78%,15.24%,7.51%,10.95%,0.31%,Upgrade
Free Cash Flow Per Share,-2.24,-2.14,1.07,1.21,3.77,2.14,2.51,1.07,1.43,0.04,Upgrade
