Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Net Income,"9,656","9,391","6,582","8,208","8,361","7,876","6,987","6,897","6,916","6,162",Upgrade
Depreciation & Amortization,"1,531","1,511","1,546","1,053",848,761,684,584,526,516,Upgrade
Share-Based Compensation,10,7,5,7,6,8,7,14,30,36,Upgrade
Other Operating Activities,"5,486","-23,949","48,335","-21,475","8,409","7,810","-3,272","8,814","-2,683","2,023",Upgrade
Operating Cash Flow,"16,943","-12,807","56,664","-12,025","17,811","16,584","4,536","16,426","4,944","8,954",Upgrade
Operating Cash Flow Growth,-,-,-,-,7.40%,265.61%,-72.39%,232.24%,-44.78%,42.29%,Upgrade
Capital Expenditures,-571,-462,-771,-186,-416,3,-348,-282,-277,-180,Upgrade
Acquisitions,-549,-717,"3,938",20,"-3,862",229,"-1,050",-701,"2,045","-3,439",Upgrade
Change in Investments,"-8,823","16,500","-58,942","15,952","-8,264","-12,387",-925,"-11,483","-2,239",679,Upgrade
Other Investing Activities,"-1,350",-624,-684,-568,"-1,183",-385,-431,"-1,053",-115,-324,Upgrade
Investing Cash Flow,"-11,293","14,697","-56,459","15,218","-13,725","-12,540","-2,754","-13,519",-586,"-3,264",Upgrade
Dividends Paid,"-5,118","-4,604","-4,559","-4,442","-4,172","-3,797","-3,598","-3,406","-3,265","-3,075",Upgrade
Share Issuance / Repurchase,"-2,736",268,-355,-820,"1,198",-696,311,-854,433,"1,256",Upgrade
Debt Issued / Paid,"1,758","-1,094",-354,"1,479",-233,"-1,500","1,430","1,230","-1,000","-4,210",Upgrade
Other Financing Activities,"1,517","2,653","5,411","2,495",337,"3,061",224,714,-354,-350,Upgrade
Financing Cash Flow,"-4,579","-2,777",143,"-1,288","-2,870","-2,932","-1,633","-2,316","-4,186","-6,379",Upgrade
Net Cash Flow,"1,372","-1,430",219,"1,907","1,172",970,131,896,379,-587,Upgrade
Free Cash Flow,"16,372","-13,269","55,893","-12,211","17,395","16,587","4,188","16,144","4,667","8,774",Upgrade
Free Cash Flow Growth,-,-,-,-,4.87%,296.06%,-74.06%,245.92%,-46.81%,49.78%,Upgrade
Free Cash Flow Margin,52.11%,-42.46%,178.37%,-39.35%,60.45%,61.08%,15.89%,67.13%,19.77%,41.19%,Upgrade
Free Cash Flow Per Share,13.72,-10.95,45.96,-9.95,14.51,13.73,3.48,13.27,3.86,7.41,Upgrade
