Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Net Income,33.66,43.01,35.44,35.96,29.68,19.54,17.57,18.07,15.24,13.37,Upgrade
Depreciation & Amortization,3.54,4.27,4.1,4.06,4.19,3.54,2.86,2.41,2.12,2.13,Upgrade
Share-Based Compensation,1.28,1,0.69,0.49,0.37,0.48,0.08,-0.11,-0.04,-0.01,Upgrade
Other Operating Activities,-4.91,4.38,-0.2,6.22,-3.8,17.13,-4.92,8.33,12.02,18.61,Upgrade
Operating Cash Flow,33.57,52.66,40.03,46.74,30.45,40.68,15.58,28.7,29.34,34.1,Upgrade
Operating Cash Flow Growth,-36.24%,31.55%,-14.36%,53.51%,-25.16%,161.08%,-45.70%,-2.18%,-13.97%,-11.88%,Upgrade
Capital Expenditures,-1.27,1.06,-2.92,-0.77,-3.12,-2.14,-3.59,-2.47,-2.38,-0.67,Upgrade
Acquisitions,0,0,0,0,-0.01,61.57,15.65,0,0.51,0,Upgrade
Change in Investments,-480.88,17.67,-627.17,-60.29,-197.79,-112.09,-36.34,-169.63,-150.53,6.69,Upgrade
Other Investing Activities,1.16,1.9,2.84,7.78,12.73,0.99,2.93,1.83,6.85,15.02,Upgrade
Investing Cash Flow,-481,20.62,-627.25,-53.29,-188.19,-51.67,-21.34,-170.26,-145.53,21.04,Upgrade
Dividends Paid,-13.92,-13.23,-12.21,-11.33,-9.76,-7.94,-6.51,-5.66,-4.78,-3.68,Upgrade
Share Issuance / Repurchase,-4.88,-4.94,-1.79,-1.46,1.13,0.76,-1.72,-7.58,-8.88,1.4,Upgrade
Debt Issued / Paid,221.23,-25.96,136.33,-26.75,42.41,-67.44,-16.11,55.25,17.48,-37.1,Upgrade
Other Financing Activities,64.59,156.97,456.23,52.03,127.95,35.3,101.91,98.08,84.47,0.43,Upgrade
Financing Cash Flow,267.03,112.84,578.57,12.5,161.74,-39.31,77.58,140.1,88.29,-38.95,Upgrade
Net Cash Flow,-180.4,186.11,-8.66,5.95,4,-50.31,71.82,-1.47,-27.91,16.19,Upgrade
Free Cash Flow,32.3,53.71,37.11,45.96,27.32,38.54,12,26.23,26.96,33.43,Upgrade
Free Cash Flow Growth,-39.86%,44.73%,-19.26%,68.22%,-29.10%,221.28%,-54.26%,-2.73%,-19.36%,-5.25%,Upgrade
Free Cash Flow Margin,24.90%,38.16%,30.31%,38.86%,24.93%,39.08%,14.21%,33.69%,39.76%,54.56%,Upgrade
Free Cash Flow Per Share,2.16,3.52,2.44,3.00,1.79,2.72,0.89,1.95,1.93,2.36,Upgrade
