Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,82.14,156.85,4.55,61.33,39.12,84.2,69.81,18.67,5.61,-1.93
Other Operating Activities,-71.13,-84.92,298.33,-153.22,-10.32,-469.85,-384.42,-408.62,-431.38,-205.88
Operating Cash Flow,14.51,75.43,305.16,-91.89,28.8,-385.65,-314.61,-389.95,-425.76,-207.8
Operating Cash Flow Growth,-80.76%,-75.28%,-,-,-,-,-,-,-,-
Dividends Paid,-86.82,-83.66,-96.55,-107.1,-93.3,-76.05,-61.2,-35.55,-11.85,0
Share Issuance / Repurchase,-28.46,-28.44,-27.25,-64.72,-4.88,357.43,185.54,262.35,164.77,188
Debt Issued / Paid,38.2,61.32,-199.69,213.27,124.54,97.82,186.93,196.22,239.59,61.88
Other Financing Activities,-,-,50,-,-,-,-,-,-,-0.07
Financing Cash Flow,-77.08,-50.78,-273.49,41.46,26.35,379.2,311.27,423.03,392.51,249.81
Net Cash Flow,-62.57,24.66,31.67,-50.44,55.15,-6.45,-3.35,33.08,-33.26,42.01
Free Cash Flow,14.51,75.43,305.16,-91.89,28.8,-385.65,-314.61,-389.95,-425.76,-207.8
Free Cash Flow Growth,-80.76%,-75.28%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,7.00%,44.05%,167.56%,-41.52%,13.88%,-233.73%,-283.51%,-563.59%,-1290.82%,-4181.97%
Free Cash Flow Per Share,0.28,1.39,5.41,-1.53,0.46,-7.28,-8.70,-15.70,-32.52,-68.89
