Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,39.43,40.55,32.19,33.23,13.18,14.63,15.72,11.17,7.66,5.02,Upgrade
Depreciation & Amortization,5.75,2.87,3.17,3.19,1.88,1.84,1.96,1.9,1.95,2.18,Upgrade
Share-Based Compensation,0.82,0.7,0.62,0.53,0.43,0.43,0.32,0.11,0,0,Upgrade
Other Operating Activities,-20.82,-3.35,-3.32,1.21,3.18,2.69,-1.79,0.32,3.41,4.45,Upgrade
Operating Cash Flow,25.18,40.76,32.65,38.8,19.63,20.82,17.71,15.07,14.89,12.81,Upgrade
Operating Cash Flow Growth,-38.22%,24.83%,-15.84%,97.71%,-5.74%,17.56%,17.49%,1.26%,16.20%,-24.16%,Upgrade
Capital Expenditures,-6.33,-1.91,-1.96,-3.2,-0.28,-0.88,-2.43,-2,0.8,-1.04,Upgrade
Acquisitions,-51.64,0,0,0,143.8,0,0,0.93,0,0,Upgrade
Change in Investments,-352.4,-129.24,-339.02,-146.61,-177.34,-145.39,-57.59,-15.19,-49.64,-55.45,Upgrade
Other Investing Activities,-,0.66,-,-0.96,0.03,0.09,-3.55,4.36,0.35,0.7,Upgrade
Investing Cash Flow,-410.36,-130.5,-340.98,-150.76,-33.79,-146.18,-63.58,-11.9,-48.5,-55.79,Upgrade
Dividends Paid,-8.49,-8.04,-7.12,-7.19,-4.75,-3.68,-3.25,-3.14,-3.34,-2.32,Upgrade
Share Issuance / Repurchase,-16.89,-22.31,-13.45,-3.91,0,32.82,0,0,0,0,Upgrade
Debt Issued / Paid,257.59,19.97,-91.26,29.38,122.14,16.23,-18.82,9.43,29.03,-5.7,Upgrade
Other Financing Activities,-67.91,227.3,510.63,98.47,-100.97,83.82,69.07,-3.75,3.59,39.22,Upgrade
Financing Cash Flow,164.3,216.93,398.8,116.74,16.42,129.19,47,2.53,29.28,31.2,Upgrade
Net Cash Flow,-220.88,127.19,90.47,4.78,2.26,3.82,1.13,5.7,-4.33,-11.78,Upgrade
Free Cash Flow,18.86,38.85,30.69,35.6,19.34,19.94,15.28,13.07,15.68,11.77,Upgrade
Free Cash Flow Growth,-51.46%,26.56%,-13.79%,84.06%,-3.01%,30.56%,16.83%,-16.64%,33.20%,-26.45%,Upgrade
Free Cash Flow Margin,13.71%,30.82%,28.47%,33.43%,23.18%,28.15%,22.57%,21.62%,28.91%,23.12%,Upgrade
Free Cash Flow Per Share,1.20,2.58,1.93,2.30,1.26,1.96,1.85,1.67,2.04,1.53,Upgrade
