Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Net Income,"2,657.2","2,617.1","2,105.2","2,116.5","1,962.2","4,063.4","1,534.1","1,247","1,127.1",976.8,Upgrade
Depreciation & Amortization,362.6,385.4,464.4,473.3,248.7,208.5,225.3,228.6,233.2,238.1,Upgrade
Share-Based Compensation,84.3,75.2,96,73.1,96.5,58,66.2,60.8,54.8,54.4,Upgrade
Other Operating Activities,-81.9,-694.6,50,9.9,133.4,"-2,578.8",-93.6,-3.9,-123.7,11.2,Upgrade
Operating Cash Flow,"3,056","2,402.4","2,715.6","2,672.8","2,440.8","1,751.1","1,732","1,532.5","1,291.4","1,280.5",Upgrade
Operating Cash Flow Growth,27.21%,-11.53%,1.60%,9.51%,39.39%,1.10%,13.02%,18.67%,0.85%,4.98%,Upgrade
Capital Expenditures,-89.7,-87.9,-197.5,-245.6,-116.7,-81.9,-91.8,-114.2,-132.8,66.8,Upgrade
Acquisitions,-402,144.7,20.8,89.6,"-1,774.7",262.3,149.7,122.1,-65.5,-4,Upgrade
Change in Investments,1.9,1.6,1.2,3.4,1.8,-0.5,-4.2,3,-0.8,-0.1,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,7,-,127.8,Upgrade
Investing Cash Flow,-489.8,58.4,-175.5,-152.6,"-1,889.6",179.9,53.7,17.9,-199.1,190.5,Upgrade
Dividends Paid,"-2,633.5","-2,189.3","-2,110","-1,695.9","-2,149.9","-1,993.5","-1,787.2","-1,343.4","-1,496.8",-599.1,Upgrade
Share Issuance / Repurchase,0,0,0,0,0,0,51.8,64,53.3,73.7,Upgrade
Debt Issued / Paid,-15.2,0,-304.6,-661.7,"1,119.4",0,130,70.7,-750,-1.3,Upgrade
Other Financing Activities,"-22,733","72,098","49,661.2","-2,361.7",-49.5,8.2,-15.1,-15.2,-2.4,-79.3,Upgrade
Financing Cash Flow,"-25,381.7","69,908.7","47,246.6","-4,719.3","-1,080","-1,985.3","-1,620.5","-1,223.9","-2,195.9",-606,Upgrade
Net Cash Flow,"-22,815.5","72,369.5","49,786.7","-2,199.1",-528.8,-54.3,165.2,326.5,"-1,103.6",865,Upgrade
Free Cash Flow,"2,966.3","2,314.5","2,518.1","2,427.2","2,324.1","1,669.2","1,640.2","1,418.3","1,158.6","1,347.3",Upgrade
Free Cash Flow Growth,28.16%,-8.09%,3.75%,4.44%,39.23%,1.77%,15.65%,22.41%,-14.01%,9.85%,Upgrade
Free Cash Flow Margin,59.10%,49.35%,51.56%,49.86%,53.93%,45.80%,45.62%,42.63%,37.22%,45.88%,Upgrade
Free Cash Flow Per Share,8.27,6.46,7.04,6.80,6.79,4.93,4.86,4.22,3.46,4.05,Upgrade
