Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Net Income,11.9,11.42,10.13,10.33,9.25,7.44,6.86,5.2,5.59,5.07,Upgrade
Depreciation & Amortization,1.07,1.14,1.2,1.07,1.22,1.23,1.19,0.76,0.7,0.71,Upgrade
Share-Based Compensation,0.44,0.49,0.38,0.29,0.19,0.09,0.08,0.07,0,0,Upgrade
Other Operating Activities,3.12,8.58,0.35,2.39,2.69,4.67,0.11,-0.02,0.62,4.04,Upgrade
Operating Cash Flow,16.53,21.63,12.06,14.08,13.35,13.42,8.24,6.01,6.91,9.82,Upgrade
Operating Cash Flow Growth,-23.58%,79.36%,-14.33%,5.46%,-0.53%,62.85%,37.20%,-13.07%,-29.67%,33.50%,Upgrade
Capital Expenditures,-0.42,-0.22,-0.6,-2.97,-0.4,-1.27,-1.96,-1.07,-0.56,-0.3,Upgrade
Acquisitions,0,0,0,0,0,0,0,18.71,0,0,Upgrade
Change in Investments,-143.55,-156.17,-62.05,-21.25,-21.73,-40.97,-95.51,37.09,-5.51,-3.4,Upgrade
Other Investing Activities,-0.06,-0.08,0.23,3.12,0.03,1.81,1.22,0.23,0.5,0.35,Upgrade
Investing Cash Flow,-144.03,-156.46,-62.41,-21.11,-22.1,-40.42,-96.25,54.96,-5.57,-3.34,Upgrade
Dividends Paid,-3.52,-3.52,-3.26,-3.21,-3.1,-2.88,-2.82,-2.45,-2.33,-2.24,Upgrade
Share Issuance / Repurchase,0,-0.04,-0.01,-0,-0.03,-0.02,-0.03,-0.01,-0.91,-0.02,Upgrade
Debt Issued / Paid,0,0,0,0,-10,10,0,0,-14.81,-4.38,Upgrade
Other Financing Activities,24.81,135.02,178.15,20.49,37.08,-0.09,27.47,15.46,38.81,-10.51,Upgrade
Financing Cash Flow,21.29,131.45,174.88,17.28,23.95,7.01,24.62,13,20.76,-17.16,Upgrade
Net Cash Flow,-106.21,-3.38,124.53,10.25,15.2,-19.99,-63.38,73.97,22.11,-10.68,Upgrade
Free Cash Flow,16.12,21.41,11.46,11.1,12.95,12.15,6.28,4.94,6.35,9.53,Upgrade
Free Cash Flow Growth,-24.72%,86.84%,3.19%,-14.23%,6.54%,93.36%,27.26%,-22.24%,-33.34%,44.42%,Upgrade
Free Cash Flow Margin,40.98%,56.03%,32.85%,31.20%,40.11%,39.43%,21.78%,21.67%,28.86%,46.08%,Upgrade
Free Cash Flow Per Share,4.78,6.34,3.39,3.30,3.86,3.64,1.88,1.79,2.32,3.42,Upgrade
