Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Net Income,5.5,31.96,-4.68,-3.39,0.65,-0.51,-3.68,-4.03,-0.97,-0.19,Upgrade
Depreciation & Amortization,-0.42,0.37,0.2,0.21,0.24,0.25,0.32,0.33,0.26,0.28,Upgrade
Share-Based Compensation,0.73,0.06,0.1,0.01,0.02,0.01,0.01,0.01,0.01,0.07,Upgrade
Other Operating Activities,4.72,-27.63,2.43,2.09,-0.94,0.94,6.38,3.02,-14.49,0.31,Upgrade
Operating Cash Flow,10.54,4.77,-1.95,-1.08,-0.03,0.69,3.03,-0.67,-15.19,0.46,Upgrade
Operating Cash Flow Growth,121.04%,-,-,-,-,-77.25%,-,-,-,-74.63%,Upgrade
Capital Expenditures,-0.22,-0.07,0,0,0,0,-0.01,-0.04,-0.03,-0.04,Upgrade
Acquisitions,0,0,0.75,0,0,0,0,0,1.24,-0.6,Upgrade
Change in Investments,-0.8,8.72,1.8,-1.73,3.06,-0.16,-0.63,-0.35,2.84,0.27,Upgrade
Investing Cash Flow,-1.02,8.65,2.54,-1.73,3.06,-0.16,-0.65,-0.39,4.05,-0.37,Upgrade
Dividends Paid,-1.24,-0.64,-0.45,-0.45,-0.46,-0.46,-0.57,-0.92,-0.93,-2.63,Upgrade
Share Issuance / Repurchase,-0.4,-0.3,-0.11,-0.02,-0.14,-0.11,-0.25,-0.17,-0.13,0.01,Upgrade
Debt Issued / Paid,0,0,0.44,0,0,0,0,0,0,0,Upgrade
Other Financing Activities,-,-,-,-,-,-,-1,-0.03,-,-,Upgrade
Financing Cash Flow,-1.64,-0.94,-0.12,-0.47,-0.59,-0.56,-1.83,-1.12,-1.06,-2.62,Upgrade
Net Cash Flow,7.88,12.48,0.47,-3.28,2.41,-0.04,0.49,-2.4,-12.18,-2.53,Upgrade
Free Cash Flow,10.32,4.69,-1.95,-1.08,-0.03,0.69,3.02,-0.71,-15.22,0.42,Upgrade
Free Cash Flow Growth,119.80%,-,-,-,-,-77.15%,-,-,-,-76.54%,Upgrade
Free Cash Flow Margin,41.74%,21.67%,-43.61%,-31.08%,-0.54%,10.20%,54.86%,-9.71%,-178.33%,2.44%,Upgrade
Free Cash Flow Per Share,0.69,0.31,-0.13,-0.07,-0.00,0.04,0.20,-0.05,-0.98,0.03,Upgrade
