Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"2,125","1,153",717,"1,337","1,323","1,110",647,661,600.54,609.41,Upgrade
Depreciation & Amortization,484,391,367,386,493,413,380,341,332.83,281.55,Upgrade
Share-Based Compensation,105,129,77,83,78,92,66,51,43.67,37.01,Upgrade
Other Operating Activities,"1,200",247,62,-306,-238,263,57,-52,-120.1,53.41,Upgrade
Operating Cash Flow,"4,027","2,062","1,323","1,574","1,726","1,954","1,215","1,033",888.79,"1,013.25",Upgrade
Operating Cash Flow Growth,95.30%,55.86%,-15.95%,-8.81%,-11.67%,60.82%,17.62%,16.23%,-12.28%,1.11%,Upgrade
Capital Expenditures,-214,-247,-119,-107,-110,-194,-120,-93,-59.81,-102.21,Upgrade
Acquisitions,-223,-152,0,-548,-15,0,-613,-458,691.64,0,Upgrade
Change in Investments,"-11,364","-3,780","-8,655","-1,450","-3,640","-4,690","-2,764","-4,424","-5,698.75","-4,193.15",Upgrade
Other Investing Activities,192,217,135,228,102,18,52,46,62.14,55.02,Upgrade
Investing Cash Flow,"-11,609","-3,962","-8,639","-1,877","-3,663","-4,866","-3,445","-4,929","-5,004.78","-4,240.33",Upgrade
Dividends Paid,-897,-750,-614,-597,-514,-349,-245,-193,-166.94,-150.61,Upgrade
Share Issuance / Repurchase,0,-650,-92,-441,-939,-260,0,-233,-314.12,-112.39,Upgrade
Debt Issued / Paid,"5,148","-3,874","-4,039","1,639","-3,594","2,314","2,753",376,"1,919.78","2,002.47",Upgrade
Other Financing Activities,"4,513","6,101","17,486","-1,800","8,136","1,342",260,"3,572","2,896.71","1,225.94",Upgrade
Financing Cash Flow,"8,764",827,"12,741","-1,199","3,089","3,047","2,768","3,522","4,335.43","2,965.41",Upgrade
Net Cash Flow,"1,182","-1,073","5,425","-1,502","1,152",135,538,-374,219.43,-261.67,Upgrade
Free Cash Flow,"3,813","1,815","1,204","1,467","1,616","1,760","1,095",940,828.98,911.04,Upgrade
Free Cash Flow Growth,110.08%,50.75%,-17.93%,-9.22%,-8.18%,60.73%,16.49%,13.39%,-9.01%,4.42%,Upgrade
Free Cash Flow Margin,54.75%,30.42%,31.96%,33.49%,37.80%,42.84%,32.90%,32.53%,30.31%,34.68%,Upgrade
Free Cash Flow Per Share,2.65,1.44,1.18,1.41,1.49,1.62,1.21,1.17,1.01,1.09,Upgrade
