Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,-195,-445,-578,-359,-296,"-1,605",-338,180,569,250,Upgrade
Other Operating Activities,-223,956,188,-9,-23,953,189,-234,-902,"1,579",Upgrade
Operating Cash Flow,-418,511,-390,-368,-319,-652,-149,-54,-333,"1,829",Upgrade
Capital Expenditures,0,-1,0,0,-1,-1,-1,-3,-13,-3,Upgrade
Acquisitions,12,0,0,70,-7,18,1,7,239,-26,Upgrade
Change in Investments,611,-60,"1,738","1,197","1,214","1,204","2,383",797,441,-99,Upgrade
Other Investing Activities,-,-,-,-,-,-19,41,16,145,122,Upgrade
Investing Cash Flow,623,-61,"1,738","1,267","1,206","1,202","2,424",817,812,-6,Upgrade
Share Issuance / Repurchase,-3,-1,-200,-106,-44,-330,-110,-304,-32,0,Upgrade
Debt Issued / Paid,-236,-456,"-1,029",-972,-683,-197,"-2,354",-619,-698,"-1,312",Upgrade
Other Financing Activities,-46,-,-36,-18,-25,-62,-71,-92,-162,-254,Upgrade
Financing Cash Flow,-285,-457,"-1,265","-1,096",-752,-589,"-2,535","-1,015",-892,"-1,566",Upgrade
Net Cash Flow,-82,-7,84,-197,134,-41,-262,-260,-421,268,Upgrade
Free Cash Flow,-418,510,-390,-368,-320,-653,-150,-57,-346,"1,826",Upgrade
Free Cash Flow Margin,-271.43%,269.84%,-138.30%,-131.43%,-197.53%,-150.81%,-51.02%,-6.68%,-27.24%,151.03%,Upgrade
Free Cash Flow Per Share,-8.39,10.31,-6.60,-4.54,-3.60,-5.49,-1.13,-0.35,-1.84,9.66,Upgrade
