Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,7.92,6.12,2.19,3,2.03,1.42,1.09,0.9,0.57,0.26,Upgrade
Depreciation & Amortization,0.84,0.84,0.85,0.87,0.86,0.82,0.78,0.85,0.92,0.93,Upgrade
Share-Based Compensation,0.19,0.11,0.13,0.15,0.16,0.15,0.13,0.12,0.12,0.09,Upgrade
Other Operating Activities,2.26,2.2,-2.36,1.77,1.57,1.21,6.52,10.64,3.96,9.63,Upgrade
Operating Cash Flow,11.2,9.26,0.81,5.79,4.62,3.6,8.51,12.5,5.56,10.91,Upgrade
Operating Cash Flow Growth,20.97%,1037.47%,-85.94%,25.25%,28.35%,-57.70%,-31.91%,124.71%,-48.99%,-14.95%,Upgrade
Capital Expenditures,-0.39,-0.42,0.56,-0.05,-0.28,-0.3,-0.18,-0.08,1.38,-0.27,Upgrade
Change in Investments,-66.78,-10.17,-85.12,-0.26,-32.77,-23.35,-40.5,-29.62,-10.09,-33.3,Upgrade
Other Investing Activities,-2.58,2.39,4.61,-0.09,2.56,1.89,4.67,5.99,1.95,2.75,Upgrade
Investing Cash Flow,-69.74,-8.2,-79.96,-0.41,-30.49,-21.76,-36.01,-23.71,-6.76,-30.82,Upgrade
Dividends Paid,-1.43,0,0,0,0,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,-4.65,34.15,-0.09,0,0,0,0,0,0,0,Upgrade
Debt Issued / Paid,-7.73,-44.05,31.22,0.67,3.62,-4.14,4.45,1.09,-1.6,-9.4,Upgrade
Other Financing Activities,28.08,22.31,88.27,0.05,15.28,22.82,26.75,17.96,-4.74,37.06,Upgrade
Financing Cash Flow,14.28,12.41,119.4,0.72,18.9,18.69,31.19,19.06,-6.34,27.66,Upgrade
Net Cash Flow,-44.27,13.48,40.26,6.1,-6.97,0.53,3.7,7.85,-7.53,7.75,Upgrade
Free Cash Flow,10.81,8.84,1.37,5.74,4.34,3.3,8.33,12.42,6.95,10.64,Upgrade
Free Cash Flow Growth,22.34%,545.18%,-76.12%,32.23%,31.37%,-60.36%,-32.94%,78.83%,-34.74%,-14.94%,Upgrade
Free Cash Flow Margin,36.74%,32.30%,6.38%,26.24%,20.83%,17.51%,47.06%,73.20%,43.08%,70.66%,Upgrade
Free Cash Flow Per Share,1.59,1.46,0.19,0.98,0.74,0.57,1.43,2.13,1.19,1.83,Upgrade
