Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Net Income,407.35,393.29,352.44,141.8,227.91,173.17,256.75,267.98,307.61,302.67,Upgrade
Depreciation & Amortization,181.95,139.5,210.07,201.46,184.68,137.82,122.55,123.74,107.97,79.48,Upgrade
Share-Based Compensation,14.18,10.67,16.74,6.78,6.54,4.42,4.35,5.35,4.7,3.33,Upgrade
Other Operating Activities,80.59,-63.13,-230.15,-51.12,-148.24,6.86,-83.46,-5.7,-62.83,1.7,Upgrade
Operating Cash Flow,684.06,480.33,349.1,298.92,270.89,322.27,300.19,391.37,357.45,387.18,Upgrade
Operating Cash Flow Growth,42.41%,37.59%,16.79%,10.34%,-15.94%,7.36%,-23.30%,9.49%,-7.68%,29.35%,Upgrade
Capital Expenditures,-59.42,-58.95,-113.31,-92.5,-125.02,-156.01,-67.6,-16.76,-26.49,-17.01,Upgrade
Acquisitions,-42.35,-22.68,-177.53,-101.54,-87.26,4.51,-29.63,-46.97,-46.83,0,Upgrade
Change in Investments,"2,373.79","1,267.57",912.06,"1,718.6",-520.07,"3,101.48","3,504.99","1,413.98",14.95,513.59,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,67.11,-51.14,-,Upgrade
Investing Cash Flow,"2,272.03","1,185.94",621.22,"1,524.57",-732.35,"2,949.98","3,407.75","1,417.36",-109.51,496.58,Upgrade
Dividends Paid,-36.61,-34.46,-31.78,-29.49,-26.84,-24.1,-21.19,-19.03,-18.54,-18.57,Upgrade
Share Issuance / Repurchase,-96.05,-56.65,-71.71,-38.86,-43.97,-68.22,-68.2,-95.37,-15.06,-12.58,Upgrade
Debt Issued / Paid,"-3,041.41","-1,743.3","-1,253.47","-1,729.34",795.65,"-3,425.16","-3,489.83","-1,764.75",-145.36,-854.03,Upgrade
Other Financing Activities,381.57,404.06,122.43,4.42,-13.06,16.98,0.67,3.46,-1.77,-1.35,Upgrade
Financing Cash Flow,"-2,792.5","-1,430.35","-1,234.53","-1,793.27",711.78,"-3,500.5","-3,578.55","-1,875.68",-180.73,-886.52,Upgrade
Net Cash Flow,163.43,235.79,-264.21,30.21,250.33,-228.25,129.39,-66.95,67.21,-2.76,Upgrade
Free Cash Flow,624.64,421.38,235.79,206.42,145.87,166.26,232.59,374.6,330.96,370.17,Upgrade
Free Cash Flow Growth,48.24%,78.71%,14.23%,41.51%,-12.27%,-28.52%,-37.91%,13.19%,-10.59%,27.92%,Upgrade
Free Cash Flow Margin,41.30%,31.51%,17.64%,19.82%,13.86%,21.60%,26.33%,42.10%,35.89%,41.38%,Upgrade
Free Cash Flow Per Share,16.61,10.92,6.04,5.15,3.57,3.98,5.45,8.23,7.12,7.95,Upgrade
