Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,617,563,478,362,389.59,441.58,495.4,-47.16,485.4,475.55,Upgrade
Depreciation & Amortization,23,21,24,27,32.32,33.01,35.2,36.84,36.09,43.88,Upgrade
Share-Based Compensation,29,31,29,32,36.26,36.03,32.66,30.21,27.45,22.25,Upgrade
Other Operating Activities,324,-358,-230,56,49.36,791.47,192.39,-440.32,173.48,834.26,Upgrade
Operating Cash Flow,"1,026",290,334,510,540.36,"1,326.71",755.65,-420.43,722.42,"1,375.93",Upgrade
Operating Cash Flow Growth,253.79%,-13.17%,-34.51%,-5.62%,-59.27%,75.57%,-,-,-47.50%,138.87%,Upgrade
Capital Expenditures,-3,-4,1,9,-9.85,-27.78,-84.18,-34.8,-73.5,-37.24,Upgrade
Acquisitions,331,0,0,0,0,0,0,0,3.86,0,Upgrade
Change in Investments,"-6,667","-2,770","-1,038","-1,930","-4,026.92","1,089.52","1,302.34","-1,362.36","-2,076.2","-5,136.07",Upgrade
Other Investing Activities,16,12,12,-138,16.3,-,-,-,-,-,Upgrade
Investing Cash Flow,"-6,323","-2,762","-1,025","-2,059","-4,020.47","1,061.74","1,218.17","-1,397.16","-2,145.84","-5,173.31",Upgrade
Dividends Paid,-317,-316,-316,-317,-333.06,-332.15,-330.81,-453.98,-442.2,-440.31,Upgrade
Share Issuance / Repurchase,-7,0,-50,-67,-160.77,0,0,629.68,0.06,-4.99,Upgrade
Debt Issued / Paid,"-1,931",478,"1,525",348,"1,293.77",-760,"-2,075.3","1,521.92",-878.52,"1,674.81",Upgrade
Other Financing Activities,"7,423","2,573",738,852,"1,626.96",674.02,452.47,93.49,"2,663.68",785.16,Upgrade
Financing Cash Flow,"5,168","2,735","1,897",816,"2,426.9",-418.13,"-1,953.64","1,791.11","1,343.03","2,014.67",Upgrade
Net Cash Flow,-129,263,"1,206",-733,"-1,053.21","1,970.32",20.18,-26.48,-80.4,"-1,782.71",Upgrade
Free Cash Flow,"1,023",286,335,519,530.51,"1,298.93",671.47,-455.23,648.92,"1,338.69",Upgrade
Free Cash Flow Growth,257.69%,-14.63%,-35.45%,-2.17%,-59.16%,93.44%,-,-,-51.53%,149.17%,Upgrade
Free Cash Flow Margin,67.75%,21.23%,30.48%,50.19%,48.04%,99.18%,47.00%,-71.82%,47.70%,98.82%,Upgrade
Free Cash Flow Per Share,2.19,0.61,0.72,1.11,1.08,2.66,1.38,-0.94,1.47,3.04,Upgrade
