Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Net Income,998,"-2,835","2,175",783,"4,019","3,080","2,446.58","3,284.61","2,822.3","1,714.26",Upgrade
Other Operating Activities,80,"3,113",598,449,-664,"-1,233",356.61,-58.59,-494.16,-28.02,Upgrade
Operating Cash Flow,"1,078",278,"2,773","1,232","3,355","1,847","2,803.19","3,226.03","2,328.14","1,686.25",Upgrade
Operating Cash Flow Growth,287.77%,-89.97%,125.08%,-63.28%,81.65%,-34.11%,-13.11%,38.57%,38.07%,87.80%,Upgrade
Capital Expenditures,-34,-36,-51,-59,-134,-98,-313.31,-287.83,-206.32,-227.97,Upgrade
Acquisitions,-298,-773,"-1,142",-260,-442,-165,-385.9,-309.48,-487.79,-515.81,Upgrade
Other Investing Activities,293,83,-,-,-,-,-,-,-0,-0,Upgrade
Investing Cash Flow,-39,-726,"-1,193",-319,-576,-263,-699.21,-597.32,-694.11,-743.78,Upgrade
Dividends Paid,-474,-421,-814,"-1,634","-1,662","-1,525","-1,613.65","-1,240.49","-1,139.87",-994.68,Upgrade
Share Issuance / Repurchase,-4,"2,382",13,22,23,27,16.56,8.92,16.56,7.64,Upgrade
Debt Issued / Paid,"-1,830",-373,855,-443,"1,482",-288,"1,562.71",751.42,-566.75,"1,431.53",Upgrade
Other Financing Activities,-212,-323,-312,-506,-502,-472,-438.12,-378.26,-431.75,-382.08,Upgrade
Financing Cash Flow,"-2,520","1,265",-258,"-2,561",-659,"-2,258",-472.51,-858.41,"-2,121.82",62.41,Upgrade
Net Cash Flow,"-1,481",817,"1,322","-1,648","2,120",944,"1,631.48","1,770.3",-487.79,"1,004.87",Upgrade
Free Cash Flow,"1,044",242,"2,722","1,173","3,221","1,749","2,489.89","2,938.19","2,121.82","1,458.27",Upgrade
Free Cash Flow Growth,331.40%,-91.11%,132.05%,-63.58%,84.16%,-29.76%,-15.26%,38.48%,45.50%,97.41%,Upgrade
Free Cash Flow Margin,-,0.91%,7.51%,3.06%,8.99%,2.32%,2.73%,5.59%,2.77%,2.19%,Upgrade
Free Cash Flow Per Share,0.76,0.18,2.09,0.91,2.49,1.35,1.94,2.29,1.66,1.14,Upgrade
