Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,106.51,124.4,77.76,98.74,67.28,42.87,29.2,22.14,5.7,47.92,Upgrade
Depreciation & Amortization,6.49,4.58,4.36,4.12,0,0,0,0,0,0,Upgrade
Share-Based Compensation,11.16,8.69,7.3,7.24,7.82,5.27,4.15,2.86,1.3,0,Upgrade
Other Operating Activities,71.71,16.91,-28.78,7.65,54.51,0.78,28.65,4.51,14.95,-2.14,Upgrade
Operating Cash Flow,195.86,154.57,60.65,117.75,129.61,48.91,62.01,29.51,21.95,49.85,Upgrade
Operating Cash Flow Growth,26.71%,154.85%,-48.49%,-9.15%,165.00%,-21.12%,110.13%,34.46%,-55.98%,-,Upgrade
Capital Expenditures,-12.65,-4.33,-1.59,-2.52,-4.02,-5.71,-6.05,-9.09,-6.08,-2.82,Upgrade
Acquisitions,281.75,98.1,71.97,0,43.68,17.65,235.55,32.93,111,0,Upgrade
Change in Investments,-650.12,-449.37,-418.84,-339.55,-228.57,-237.19,-709.23,-200.5,-374.09,-95.18,Upgrade
Other Investing Activities,16.14,-56.92,5.96,20.73,14.3,-20.32,-32.05,5.76,-25.93,8.84,Upgrade
Investing Cash Flow,-364.88,-412.51,-342.5,-321.34,-174.6,-245.58,-511.79,-170.9,-295.11,-89.16,Upgrade
Dividends Paid,-41.24,-22.51,0,0,0,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,0,0,0,0,0,55.64,0,0,24.64,46.98,Upgrade
Debt Issued / Paid,55.46,-31.04,-281.51,-193.2,90.23,-192.11,397.2,-63.29,63.85,14.51,Upgrade
Other Financing Activities,-381,645.13,842.92,405.38,-38.79,332.99,26.16,240.21,93.59,-5.54,Upgrade
Financing Cash Flow,-366.77,591.58,561.41,212.18,51.44,196.53,423.36,176.92,182.08,55.94,Upgrade
Net Cash Flow,-535.79,333.64,279.56,8.58,6.45,-0.14,-26.42,35.53,-91.09,16.64,Upgrade
Free Cash Flow,183.21,150.25,59.07,115.22,125.59,43.2,55.95,20.42,15.86,47.04,Upgrade
Free Cash Flow Growth,21.94%,154.37%,-48.74%,-8.25%,190.72%,-22.79%,174.04%,28.71%,-66.27%,-,Upgrade
Free Cash Flow Margin,45.12%,42.18%,20.64%,39.82%,50.27%,18.85%,31.98%,14.64%,15.31%,54.22%,Upgrade
Free Cash Flow Per Share,2.88,2.65,1.10,2.24,2.62,1.01,1.52,0.61,0.58,2.42,Upgrade
