Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Net Income,"2,974","4,179","1,343","3,747","2,790","1,935","2,251","2,214","2,109","1,979",Upgrade
Depreciation & Amortization,419,390,383,367,302,254,219,174,131,104,Upgrade
Other Operating Activities,"3,301","2,530","5,761","4,876","6,250","6,386","4,041","3,796","3,100","3,596",Upgrade
Operating Cash Flow,"6,694","7,099","7,487","8,990","9,342","8,575","6,511","6,184","5,340","5,679",Upgrade
Operating Cash Flow Growth,-5.71%,-5.18%,-16.72%,-3.77%,8.94%,31.70%,5.29%,15.81%,-5.97%,0.75%,Upgrade
Acquisitions,0,0,0,0,0,0,0,0,0,"6,393",Upgrade
Change in Investments,"-9,685","-4,265",-108,399,"-18,234","-9,068","-13,146","-11,075","-8,594","-7,332",Upgrade
Other Investing Activities,-549,-549,-390,-660,-802,-474,-218,272,"-1,474",-127,Upgrade
Investing Cash Flow,"-10,234","-4,814",-498,-261,"-19,036","-9,542","-13,364","-10,803","-10,068","-1,066",Upgrade
Dividends Paid,-434,-500,-520,-581,-534,-446,-214,0,0,0,Upgrade
Share Issuance / Repurchase,"-3,320","-2,876",-985,"-3,618","-1,868","-1,497",-476,0,"2,842",0,Upgrade
Debt Issued / Paid,-329,"-1,281","-4,108","-4,147","3,180",633,"-4,166","-3,147","2,972","-3,491",Upgrade
Other Financing Activities,"9,367",-547,"-2,418","1,888","7,475","4,426","8,661","8,263","8,423",-137,Upgrade
Financing Cash Flow,"5,284","-5,204","-8,031","-6,458","8,253","3,116","3,805","5,116","14,237","-3,628",Upgrade
Net Cash Flow,"1,744","-2,919","-1,042","2,271","-1,441","2,149","-3,048",497,"9,509",985,Upgrade
Free Cash Flow,"6,694","7,099","7,487","8,990","9,342","8,575","6,511","6,184","5,340","5,679",Upgrade
Free Cash Flow Growth,-5.71%,-5.18%,-16.72%,-3.77%,8.94%,31.70%,5.29%,15.81%,-5.97%,0.75%,Upgrade
Free Cash Flow Margin,80.66%,74.99%,127.94%,98.45%,120.71%,121.27%,93.20%,91.01%,84.59%,100.94%,Upgrade
Free Cash Flow Per Share,14.86,12.97,12.82,13.91,13.00,10.96,7.89,7.42,6.41,6.84,Upgrade
