Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Net Income,-9.23,133.79,71.37,30.58,45.48,67.93,76.32,59.07,34.55,49.53,Upgrade
Other Operating Activities,213.17,-216.4,50.95,-25.89,-91.85,-218.83,-141.45,-37.11,-418.06,-258.91,Upgrade
Operating Cash Flow,203.95,-82.61,122.33,4.69,-46.37,-128.22,-46.08,40.99,-368.07,-195.51,Upgrade
Operating Cash Flow Growth,-,-,2506.36%,-,-,-,-,-,-,-,Upgrade
Dividends Paid,-70.48,-69.32,-76.61,-84.62,-84.69,-82.61,-73.98,-70.38,-63.11,-40.5,Upgrade
Share Issuance / Repurchase,0,0,0,-0.11,-1.04,94.47,33.09,2.16,207.57,224.6,Upgrade
Debt Issued / Paid,-70.59,151.48,-64.46,96.97,73.39,149.4,104.92,169.17,229.34,17.87,Upgrade
Other Financing Activities,-,-,-6.09,-,-,-,-,-133.58,-1.44,-1.52,Upgrade
Financing Cash Flow,-141.07,82.15,-147.17,12.23,-12.33,161.26,64.03,-32.63,372.35,200.46,Upgrade
Net Cash Flow,62.88,-0.45,-24.84,16.93,-58.7,33.05,17.95,8.36,4.28,4.95,Upgrade
Free Cash Flow,203.95,-82.61,122.33,4.69,-46.37,-128.22,-46.08,40.99,-368.07,-195.51,Upgrade
Free Cash Flow Growth,-,-,2506.36%,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,112.68%,-50.03%,71.08%,2.40%,-24.34%,-72.86%,-31.10%,27.91%,-345.34%,-280.86%,Upgrade
Free Cash Flow Per Share,3.53,-1.43,2.11,0.08,-0.79,-2.25,-0.91,0.84,-9.34,-7.54,Upgrade
