Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Net Income,-187.95,69.12,-48.26,17.83,96.5,15.58,27.49,48.05,9.36,3.95,Upgrade
Depreciation & Amortization,43.85,73.46,76.17,66.45,30.85,20.08,6.19,3.16,3.38,3.65,Upgrade
Share-Based Compensation,59.62,68.56,53.73,52.17,44.37,23.36,9.65,8.51,7.45,5.63,Upgrade
Other Operating Activities,127.44,-76.55,-43.08,7.47,-61.01,39.72,10.68,-26.16,-20.7,-6.41,Upgrade
Operating Cash Flow,42.97,134.57,38.57,143.92,110.71,98.73,54.01,33.55,-0.51,6.81,Upgrade
Operating Cash Flow Growth,-68.07%,248.91%,-73.20%,29.99%,12.13%,82.80%,60.97%,-,-,-96.93%,Upgrade
Capital Expenditures,-11.44,-35.07,-42.15,4.04,-14.91,-8.04,-31.96,-7.24,-3.86,-2.75,Upgrade
Acquisitions,0,0,0,-105.1,-368.13,-66.39,-85.68,-0.04,-0.74,0,Upgrade
Change in Investments,-16.44,45.13,-80,0,0,0,0,0,0,0,Upgrade
Other Investing Activities,0.01,-,-,-,-,-0.01,-2.03,12.18,7.3,13.4,Upgrade
Investing Cash Flow,-27.88,10.07,-122.15,-101.06,-383.04,-74.44,-119.67,4.9,2.7,10.65,Upgrade
Dividends Paid,0,0,0,0,0,0,0,-0.13,-0.23,0.14,Upgrade
Share Issuance / Repurchase,-43.01,-40.01,0,-5.47,-93.7,-19.9,-48.55,91.27,-2.61,-3.32,Upgrade
Debt Issued / Paid,78.96,-8.89,235.25,-52.52,124.42,289.51,-0.01,-1.22,0,0,Upgrade
Other Financing Activities,-3.41,-14.45,-41.96,-29.69,-25.87,-16.49,-4.09,-7.61,-4.81,-2.81,Upgrade
Financing Cash Flow,32.54,-63.35,193.29,-87.68,4.84,253.13,-52.64,82.31,-7.65,-5.98,Upgrade
Net Cash Flow,47.63,81.29,109.71,-44.82,-267.48,277.42,-118.3,120.76,-5.46,11.48,Upgrade
Free Cash Flow,31.52,99.51,-3.58,147.96,95.81,90.69,22.06,26.32,-4.36,4.06,Upgrade
Free Cash Flow Growth,-68.32%,-,-,54.43%,5.64%,311.19%,-16.19%,-,-,-98.15%,Upgrade
Free Cash Flow Margin,3.20%,9.06%,-0.39%,13.37%,12.53%,14.68%,5.74%,10.35%,-2.61%,2.92%,Upgrade
Free Cash Flow Per Share,2.46,7.54,-0.28,11.53,7.66,7.59,1.87,2.29,-0.39,0.37,Upgrade
