Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,379.63,367.74,289.02,260.1,256.34,150.58,147.08,137.96,129.89,85.63,Upgrade
Depreciation & Amortization,23.67,7.91,-16.44,-29.76,-21.06,-21.57,-8.72,0.75,1.57,11.68,Upgrade
Share-Based Compensation,10.92,8.32,6.33,5.14,4.23,5.76,6.83,3.51,2.12,1.79,Upgrade
Other Operating Activities,346.6,225.57,-138.47,-83.51,54.52,119.16,25.55,32.69,18.98,43.11,Upgrade
Operating Cash Flow,760.82,609.54,140.45,151.97,294.04,253.93,170.73,174.9,152.57,142.2,Upgrade
Operating Cash Flow Growth,24.82%,334.00%,-7.58%,-48.32%,15.79%,48.73%,-2.38%,14.64%,7.29%,9.86%,Upgrade
Capital Expenditures,-15.96,-13.76,-14.67,-10.83,2.62,-14.34,-6.72,-4.4,2.55,-5.79,Upgrade
Acquisitions,0,39.42,629.11,0,0,44.53,29.33,0,97.3,0,Upgrade
Change in Investments,"-3,454.21",68.21,-496.98,-385.34,-886.45,229.42,-10.15,-193.15,-334.46,-369.89,Upgrade
Other Investing Activities,22.52,-78.21,20.13,12.86,10.82,7.07,18.5,12.24,22.03,2.57,Upgrade
Investing Cash Flow,"-3,447.66",15.65,137.59,-383.32,-873.02,266.68,30.96,-185.3,-212.58,-373.11,Upgrade
Dividends Paid,-193.04,-181.28,-162.71,-138.94,-142.35,-121.35,-96.35,-88.86,-82.5,-62.43,Upgrade
Share Issuance / Repurchase,-69.17,-6.01,-20.08,-34.4,-99.22,4.62,213.25,7.87,9.88,2.27,Upgrade
Debt Issued / Paid,"1,411.85",-138,"-1,579.35",363.33,18.74,141.61,-225.17,-102.08,65.67,406.45,Upgrade
Other Financing Activities,"-1,044.33","1,249.19","2,855.69",-141.54,156.04,-313.84,483.77,297.74,403.41,-130.84,Upgrade
Financing Cash Flow,105.32,923.91,"1,093.54",48.45,-66.79,-288.97,375.5,114.67,396.46,215.45,Upgrade
Net Cash Flow,"-2,581.52","1,549.1","1,371.58",-182.9,-645.77,231.64,577.19,104.27,336.45,-15.46,Upgrade
Free Cash Flow,744.86,595.78,125.78,141.13,296.66,239.59,164.02,170.5,155.12,136.41,Upgrade
Free Cash Flow Growth,25.02%,373.68%,-10.88%,-52.43%,23.82%,46.08%,-3.80%,9.92%,13.72%,7.86%,Upgrade
Free Cash Flow Margin,72.26%,57.02%,13.41%,19.96%,42.66%,36.73%,34.83%,39.18%,35.68%,43.02%,Upgrade
Free Cash Flow Per Share,5.53,4.61,1.05,1.39,2.85,2.46,2.23,2.46,2.30,2.71,Upgrade
