Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,275.51,278.39,212.52,92.49,63.7,25.83,-6.07,3.8
Depreciation & Amortization,43.41,18.84,16.38,23.87,23.28,29.91,30.41,27.29
Share-Based Compensation,17.72,26.5,22.52,22.12,17.35,17.18,12.02,8.99
Other Operating Activities,-1.43,52.47,-0.81,88.9,30.02,23.25,3.18,0.57
Operating Cash Flow,335.21,376.2,250.62,227.38,134.35,96.17,39.54,40.65
Operating Cash Flow Growth,-10.89%,50.11%,10.22%,69.25%,39.70%,143.22%,-2.74%,-
Capital Expenditures,-5.25,-12.67,-8.06,-5.24,-2.55,-2.1,-1.15,-1.9
Acquisitions,-0.88,-539.24,0,-851.28,0,0,-204.41,-16
Change in Investments,-0.19,-4.67,-4.28,6.7,-9,-6.43,-4.5,-2.25
Other Investing Activities,-,-,-,-,-,-,-0.02,-
Investing Cash Flow,-6.32,-556.59,-12.34,-849.81,-11.55,-8.53,-210.08,-20.15
Dividends Paid,-69.2,-37.16,-16.24,-7.44,-0.83,-135.17,-0.63,-60.1
Share Issuance / Repurchase,-87.07,-23.16,-25.11,-11.46,149.62,-1.46,78.73,0.49
Debt Issued / Paid,-149.05,351.73,-162.39,640.59,-223.73,55.32,106.13,30.97
Other Financing Activities,-54.87,-64.19,-48.96,-13.68,-9.22,-9.96,-12.39,-2.48
Financing Cash Flow,-360.19,227.22,-252.7,608.02,-84.16,-91.27,171.84,-31.12
Net Cash Flow,-31.36,46.79,-14.38,-14.37,38.57,-3.52,1.3,-10.62
Free Cash Flow,329.97,363.52,242.56,222.15,131.8,94.07,38.39,38.76
Free Cash Flow Growth,-9.23%,49.87%,9.19%,68.55%,40.11%,145.05%,-0.95%,-
Free Cash Flow Margin,38.60%,40.83%,31.28%,36.28%,31.88%,22.96%,12.89%,16.10%
Free Cash Flow Per Share,4.82,5.35,3.58,3.29,1.99,1.71,0.77,0.83
