Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1993
Net Income,481.72,438.19,271.61,347.5,334.97,247.9,192.36,145.88,145.08,128.82,Upgrade
Depreciation & Amortization,82.07,101.8,96.37,88.36,67.67,63.11,53.15,41.01,37.79,26.18,Upgrade
Share-Based Compensation,31.75,16.18,-4.94,11.3,13.5,12.86,9.3,9.66,7.31,6.33,Upgrade
Other Operating Activities,751.5,546.75,-902.89,-189.37,-47.15,67.98,41.64,-168.45,9.87,117.49,Upgrade
Operating Cash Flow,"1,375","1,130.87",-518.47,265.99,377.18,401.63,310.97,38.97,206.37,287.21,Upgrade
Operating Cash Flow Growth,21.59%,-,-,-29.48%,-6.09%,29.15%,698.04%,-81.12%,-28.15%,6.91%,Upgrade
Capital Expenditures,-53.45,-57.08,-63.65,-82.02,-68.27,-59.19,-33.92,-43.46,-38.14,-37.69,Upgrade
Acquisitions,4.77,-587.51,0.08,-106.41,-50.46,0.23,-613.28,-15.43,228.95,-163.59,Upgrade
Change in Investments,"-3,443.05","-5,284.61","-7,122.28","-3,830.84","-2,653.2","-2,228.86","-1,848.17","-1,587.23","-2,048.4",-58.38,Upgrade
Other Investing Activities,0.96,0.33,3.43,0.33,8.44,-15.41,3.05,4.56,20,53.44,Upgrade
Investing Cash Flow,"-3,490.77","-5,928.86","-7,182.42","-4,018.95","-2,763.5","-2,303.23","-2,492.33","-1,641.55","-1,837.59",-206.22,Upgrade
Dividends Paid,-108.21,-98.63,-85.89,-65.11,-50.99,-40.54,-38.57,-29.89,-24.93,-13.89,Upgrade
Share Issuance / Repurchase,296.66,10.28,-78.37,9.37,15.26,27.83,168.12,15.7,9.9,15.61,Upgrade
Debt Issued / Paid,"1,200.14",-15.16,642.1,560.54,-10.74,398.11,-721.69,159.6,395.26,-55.4,Upgrade
Other Financing Activities,806.95,"4,990.22","7,259.05","3,142.43","2,547.4","1,523.75","2,767.75","1,502.27","1,217.84",-78.47,Upgrade
Financing Cash Flow,"2,195.53","4,886.72","7,736.89","3,647.23","2,500.93","1,909.15","2,175.61","1,647.68","1,598.07",-132.15,Upgrade
Net Cash Flow,79.76,88.73,36,-105.72,114.61,7.55,-5.75,45.09,-33.16,-51.16,Upgrade
Free Cash Flow,"1,321.55","1,073.8",-582.11,183.97,308.91,342.43,277.04,-4.49,168.23,249.52,Upgrade
Free Cash Flow Growth,23.07%,-,-,-40.44%,-9.79%,23.60%,-,-,-32.58%,28.40%,Upgrade
Free Cash Flow Margin,70.38%,60.65%,-40.71%,13.06%,24.02%,30.52%,27.33%,-0.51%,21.21%,34.32%,Upgrade
Free Cash Flow Per Share,22.32,18.84,-10.12,3.24,5.49,6.26,5.51,-0.09,3.62,6.45,Upgrade
