Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+61 Quarters
Net Income,-166.91,-29.38,301.68,349.66,668.55,82.22,141.95,-65.61,271.77,-6.26,661.25,-253.38,236.34,220.15,37.36,18.59,-30.01,53.82,169.33,93.9,140.96,36.8,56.96,26.95,53.94,120.8,-7.42,14.71,-44.84,33.78,97.31,82.85,5.9,31.22,67.82,36.74,-9.75,50.96,56.18,120.11,Upgrade
Depreciation & Amortization,3.03,1.34,2.58,8.01,2.25,1.54,1.21,1.25,1.52,1.34,1.37,1.4,1.08,1.21,0.95,0.97,0.95,0.89,0.88,0.8,0.9,1.16,0.83,1,0.96,0.88,1.26,0.87,0.88,0.88,1.22,1.25,1.27,1.91,2.18,2.4,3,4.09,4.93,4.75,Upgrade
Share-Based Compensation,9.9,5.12,4.29,0.82,5.6,5.34,6.11,8.86,4.3,2.7,3.12,2.11,2.29,1.89,2.04,3.16,4.21,2.65,2.4,2.52,3.53,1.05,1.26,1.75,2.4,1.84,1.4,1.21,2.23,2.04,1.99,1.66,1.69,2.4,0.52,0.58,0.04,4.53,2.93,1.72,Upgrade
Other Operating Activities,"1,008.11",931.09,493.26,-156.98,-587.38,"3,495.86",-147.14,196.94,183.38,936.97,11.43,"1,080.73","-1,411.02",839.87,376.7,736.53,"1,136.85",-600.42,557.22,202.36,-588.56,618.85,375.53,303.66,440.75,348.36,526.89,263.98,183.34,397.02,-294.91,319.96,-149.07,184.9,21.46,307.49,54.88,198.66,49.12,-4.94,Upgrade
Operating Cash Flow,865.04,919.09,812.73,212.44,99.93,"3,595.87",13.05,152.36,471.88,949.76,683.13,836.8,"-1,164.7","1,063.12",417.05,759.24,"1,111.99",-543.05,729.83,299.59,-443.18,657.86,434.58,333.36,498.05,471.88,522.13,280.77,141.61,433.71,-194.4,405.71,-140.22,220.43,91.97,347.22,48.16,258.24,113.16,121.65,Upgrade
Operating Cash Flow Growth,765.63%,-74.44%,6129.21%,39.43%,-78.82%,278.61%,-98.09%,-81.79%,-,-10.66%,63.80%,10.22%,-,-,-42.86%,153.43%,-,-,67.94%,-10.13%,-,39.41%,-16.77%,18.73%,251.70%,8.80%,-,-30.80%,-,96.75%,-,16.85%,-,-14.64%,-18.72%,185.43%,-86.97%,-,-65.63%,184.87%,Upgrade
Capital Expenditures,-125.1,-119.35,-275.95,-199.64,-170.51,-79.55,-6.3,-264.3,-3.72,-0.8,-0.82,-1.51,-10.11,-0.87,-1.75,-0.68,-0.72,-0.77,-0.74,-1.68,-1.1,-0.92,-1.4,-1.09,-1.4,-0.33,-0.37,-0.26,-0.24,-0.4,-0.32,-0.3,-0.3,-0.58,-0.16,-0.42,-0.2,-0.33,-0.33,-0.21,Upgrade
Change in Investments,"1,135.29",138.6,622.87,125.99,"-2,370.75","-7,864.76",569.43,22.48,-110.48,"4,452.71",-183.74,21.6,727.09,-251.41,-865.72,-983.01,-785.53,-431.37,"-1,438.37",-177.18,-939.36,"-1,033.46",-780.01,"-1,060.55",-721.08,-990.67,"-2,062.29",-297.11,-831.97,"-1,865.94","-1,331.53","-1,280.72","-1,149.31",-895.7,"-1,706.31",-257.83,-764.14,-752.3,"-1,083.56","-1,259.89",Upgrade
Other Investing Activities,-205.69,-197.14,11.27,-115.33,95.02,318.55,387.81,571.61,234.93,53.95,35.45,-98.53,139.31,102.81,-86.76,-42.38,-138.86,-27.67,187.98,142.8,279.13,349.95,226.81,227.31,202.45,-21.41,-22.92,-149.69,-123.86,-83.75,-41.33,86.97,89.72,146.5,225.24,168.08,137.77,191.89,142.15,153.58,Upgrade
Investing Cash Flow,804.5,-177.89,358.19,-188.97,"-2,446.24","-7,625.77",950.94,329.79,120.73,"4,505.86",-149.1,-78.45,856.29,-149.48,-954.23,"-1,026.07",-925.11,-459.82,"-1,251.13",-36.06,-661.33,-684.43,-554.6,-834.33,-520.04,"-1,012.4","-2,085.58",-447.06,-956.07,"-1,950.1","-1,373.18","-1,194.04","-1,059.89",-749.78,"-1,481.23",-90.17,-626.57,-560.74,-941.74,"-1,106.52",Upgrade
