Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+35 Quarters
Net Income,417,494,548,756,825,701,"1,031",591,437,177,-140,-539,"2,036",463,543,492,395,539,503,462,594,177,507,393,403,399,215,335,364,357,397,415,393,425,420,374,400,296,382,321,Upgrade
Depreciation & Amortization,-35,-29,-7,8,-12,3,-25,60,60,57,54,49,47,51,41,45,46,46,45,51,56,58,55,58,63,61,60,62,65,63,62,57,66,61,64,66,63,64,59,58,Upgrade
Share-Based Compensation,46,43,41,42,44,28,50,39,35,39,35,36,36,35,36,34,30,39,36,37,32,30,30,30,31,33,33,34,34,37,38,35,35,33,34,33,30,37,35,38,Upgrade
Other Operating Activities,628,709,790,603,-448,819,-213,"1,241","-1,532","-1,289",987,264,"2,774",-782,802,409,-299,864,27,136,-870,79,-149,249,-491,-184,197,470,153,331,-126,112,419,-101,"1,099",-543,-59,-139,723,-44,Upgrade
Operating Cash Flow,"1,056","1,217","1,372","1,409",409,"1,551",843,"1,931","-1,000","-1,016",936,-190,"4,893",-233,"1,422",980,172,"1,488",611,686,-188,344,443,730,6,309,505,901,616,788,371,619,913,418,"1,617",-70,434,258,"1,199",373,Upgrade
Operating Cash Flow Growth,158.19%,-21.53%,62.75%,-27.03%,-,-,-9.94%,-,-,-,-34.18%,-,2744.77%,-,132.73%,42.86%,-,332.56%,37.92%,-6.03%,-,11.33%,-12.28%,-18.98%,-99.03%,-60.79%,36.12%,45.56%,-32.53%,88.52%,-77.06%,-,110.37%,62.02%,34.86%,-,-,-58.52%,188.92%,27.30%,Upgrade
Capital Expenditures,-41,-56,-42,-40,-44,-34,-31,-33,-22,-40,-45,-33,-29,-43,-33,-36,-31,-45,-48,-36,-33,-37,-53,-39,-33,-26,-30,-8,-28,-24,-42,-38,-29,-24,-49,-20,-20,-37,-30,-24,Upgrade
Acquisitions,0,0,0,34,0,-576,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,"-1,297","-1,021","-3,432","-2,773","-1,759","-2,332",-781,-460,"-1,112",-790,"-1,757",-736,-33,"-2,516",-129,"-1,303",-203,371,-170,678,245,102,-109,135,438,-135,-190,231,397,276,-39,-307,308,-522,-232,433,-37,-535,-652,314,Upgrade
Other Investing Activities,"-1,808","-3,265","-1,175",-148,138,-65,348,393,325,357,277,-87,22,127,55,191,-247,-564,-410,-430,-145,-130,-171,-80,-194,-255,-210,-161,-368,-314,-184,-19,-97,3,-49,-110,-88,-87,-151,11,Upgrade
Investing Cash Flow,"-3,146","-4,342","-4,649","-2,927","-1,665","-3,007",-464,-100,-809,-473,"-1,525",-856,-40,"-1,498",-107,"-1,148",-481,-238,-628,212,67,-65,-333,16,211,-416,-430,62,1,-62,-265,-364,182,-543,-330,303,-145,-659,-833,301,Upgrade
Dividends Paid,-134,-133,-135,-137,-129,-127,-129,-126,-129,-122,-125,-128,-122,-124,-127,-129,-124,-126,-127,-131,-122,-123,-124,-127,-117,-118,-122,-124,-115,-117,-119,-122,-107,-107,-108,-111,-100,-101,-103,-105,Upgrade
Share Issuance / Repurchase,-617,-488,-501,-448,-541,-562,-556,-441,-470,-404,-320,-235,-479,-550,-564,-442,-384,-438,-363,-404,-423,-322,-368,-350,-430,-385,-416,-418,-479,-446,-464,-427,-388,-378,-347,-373,-446,-360,-372,-375,Upgrade
Debt Issued / Paid,708,-6,339,492,-503,-7,-5,-115,736,-19,358,485,-782,-30,-27,-325,482,-30,-51,-469,-55,-62,-38,-27,-2,-386,418,-266,-45,-616,630,500,7,507,305,185,193,262,547,87,Upgrade
Other Financing Activities,"3,205","2,844","3,903","2,182","1,691","2,160","1,050",148,296,704,763,-633,"2,011",854,286,"2,101",317,535,484,421,36,8,110,72,115,320,460,217,317,85,72,-467,-417,-121,-381,-207,-168,100,339,-111,Upgrade
Financing Cash Flow,"3,162","2,217","3,606","2,089",518,"1,464",360,-534,433,159,676,-511,628,150,-432,"1,205",291,-59,-57,-583,-564,-499,-420,-432,-434,-569,340,-591,-322,"-1,094",119,-516,-905,-99,-531,-506,-521,-99,411,-504,Upgrade
Net Cash Flow,"1,083",-860,233,571,-758,15,721,"1,297","-1,367","-1,316",100,"-1,558","5,464","-1,353",828,977,-122,"1,186",-77,303,-673,-217,-299,330,-212,-698,400,346,283,-377,210,-239,171,-238,735,-262,-229,-493,794,171,Upgrade
Free Cash Flow,"1,015","1,161","1,330","1,369",365,"1,517",812,"1,898","-1,022","-1,056",891,-223,"4,864",-276,"1,389",944,141,"1,443",563,650,-221,307,390,691,-27,283,475,893,588,764,329,581,884,394,"1,568",-90,414,221,"1,169",349,Upgrade
Free Cash Flow Growth,178.08%,-23.47%,63.79%,-27.87%,-,-,-8.87%,-,-,-,-35.85%,-,3349.65%,-,146.71%,45.23%,-,370.03%,44.36%,-5.93%,-,8.48%,-17.89%,-22.62%,-,-62.96%,44.38%,53.70%,-33.48%,93.91%,-79.02%,-,113.53%,78.28%,34.13%,-,-,-64.81%,215.09%,36.86%,Upgrade
Free Cash Flow Margin,27.12%,32.10%,38.10%,39.03%,10.07%,40.35%,27.97%,55.53%,-30.51%,-33.18%,29.67%,-8.22%,162.08%,-8.40%,41.88%,29.09%,4.52%,45.39%,17.10%,20.34%,-6.98%,9.65%,12.94%,22.94%,-0.92%,8.94%,15.84%,31.10%,21.27%,24.62%,11.40%,18.57%,28.96%,12.75%,50.40%,-2.93%,13.82%,7.50%,41.56%,12.70%,Upgrade
Free Cash Flow Per Share,9.64,10.91,12.30,12.46,3.30,13.56,7.14,16.38,-8.75,-8.95,7.41,-1.82,39.47,-2.18,10.61,7.05,1.04,10.36,3.97,4.50,-1.51,2.08,2.60,4.53,-0.17,1.79,2.94,5.39,3.48,4.39,1.85,3.20,4.84,2.13,8.38,-0.47,2.17,1.14,5.91,1.73,Upgrade
