Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-2.01,5.69,3.09,12.46,-4.72,5.57,0.37,-1.47
Other Operating Activities,1.17,-6.33,-3.49,-13.23,3.83,-6.27,-0.78,0.22
Operating Cash Flow,-0.84,-0.64,-0.4,-0.77,-0.89,-0.7,-0.41,-1.25
Change in Investments,0.65,0.47,0,0,0,0,-5,-420
Investing Cash Flow,0.65,0.47,0,0,0,0,-5,-420
Share Issuance / Repurchase,0,0,0,0,-12.5,0,13.5,424
Debt Issued / Paid,0,0,0.75,0.75,0,0,0,0
Other Financing Activities,-,-,-,-,12.5,-0.01,-8.51,-0.62
Financing Cash Flow,0,0,0.75,0.75,0,-0.01,4.99,423.38
Net Cash Flow,-0.19,-0.17,0.35,-0.02,-0.88,-0.71,-0.42,2.13
Free Cash Flow,-0.84,-0.64,-0.4,-0.77,-0.89,-0.7,-0.41,-1.25
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.05
