Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+2 Quarters
Net Income,94.04,117.49,-35.55,39.73,45.86,124.09,84.73,124.98,52.95,73.84,42.12,50.95,-36.46,33.04,27.91,26.71,39.52,6.51,10.49,-17.2,35.52,34.17,22.41,44.45,-46.56,28.59,36.55,37.57,-3.09,0.18,-11.35,12.09,18.46,3.17,13.97,17.84,0,0,0,0,Upgrade
Depreciation & Amortization,0,341.34,0,0,0,113.29,0,0,0,41.25,0,0,0,39.46,0,0,0,28.52,0,0,0,32.81,0,0,0,37.46,0,0,0,11.12,12.49,19.05,12.62,7.97,8.29,8.74,11.12,10.96,30.49,4.28,Upgrade
Share-Based Compensation,0,200.39,0,0,0,237.19,0,0,0,122.99,0,0,0,97.69,0,0,0,89.72,0,0,0,69.71,0,0,0,39.07,0,0,0,8.12,8.41,7.8,7.92,8.14,7.52,62.23,5.34,7.46,8.7,6.36,Upgrade
Other Operating Activities,613.53,-849.73,60.14,-832.08,178.29,"-1,226.87",-859.43,-469.57,-799.5,-681.62,115.76,156.03,-332.2,-578.55,-422.1,-973.61,-394.8,175.98,-451.52,"-1,356.33",39.56,-812.88,-915.93,-62.22,-250.68,-476.83,-371.69,56.7,-22.16,-25.82,1.72,26.07,-636.85,-24.35,-875.62,"1,285.06",993.16,"1,569.43",-341.68,858.88,Upgrade
Operating Cash Flow,707.57,-190.51,24.59,-792.35,224.15,-752.29,-774.71,-327.93,-741.12,-438.12,163.3,212.4,-363.24,-402.94,-388.77,-941.47,-349.85,306.16,-435.61,"-1,368.11",80.51,-670.76,-888.09,-12.34,-291.82,-366.3,-328.38,94.27,-25.25,-6.4,11.27,65.01,-597.86,-5.07,-845.84,"1,373.88","1,009.62","1,587.85",-302.49,869.52,Upgrade
Operating Cash Flow Growth,215.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.02%,-,-,-,-95.27%,-,-,-,58.00%,4995.46%,-,-,-,Upgrade
Capital Expenditures,-8.88,-7.41,-9.94,-9.92,-8.52,-12.07,-7.2,-4.67,-3.28,-7.33,-0.53,-5.02,-3.06,-4.72,-6.42,-2.66,-2.99,-3.98,-7.31,-4.27,-2.86,-5.23,-6.73,-10.94,-10.25,-3.75,-2.89,-2.47,-2.8,-2.09,-1.82,-3.51,-3.26,-2.17,-3.06,-7.15,-4.29,-0.59,-4.3,-3.22,Upgrade
Acquisitions,0,0.08,0.02,-0.05,-301.62,0.02,-279.28,-778.14,0,-2.99,-81.99,0,-35.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-64.44,0,0,-60,0,0,-50.32,0,Upgrade
Investing Cash Flow,-8.88,-7.33,-9.92,-9.98,-310.15,-12.06,-286.48,-782.81,-3.28,-10.33,-82.51,-5.02,-38.91,-4.72,-6.42,-2.66,-2.99,-3.98,-7.31,-4.27,-2.86,-5.23,-6.73,-10.94,-10.25,-3.75,-2.89,-2.47,-2.8,-2.09,-1.82,-3.51,-67.69,-2.17,-3.06,-67.15,-4.29,-0.59,-54.62,-3.22,Upgrade
Dividends Paid,-251.63,-228.14,-201.85,-194.48,-211.89,-154.94,-150.39,-146.41,-141.77,-111.82,-110.55,-117.57,-106.84,-85.37,-85.94,-76.89,-75.48,-65.46,-65.6,-89.81,-91.78,-92.65,-66.69,-33.72,-68.6,-50.24,-67.96,-38.41,-44.05,-34.3,-64.12,-61.66,-57.68,-58.47,-44.77,-196.02,-30.65,-156.1,-39.55,-224.54,Upgrade
Share Issuance / Repurchase,0,0,0,0,0,0,0,827.43,0,0,0,-0.18,383.33,0,206.71,-10.45,0,0,0,-0.11,105.44,-1.04,0,0,1.04,0,0,0,0,0,0,0,0,0,0,209.19,0,0,0,0,Upgrade
Debt Issued / Paid,0.59,251.05,282.1,800.45,435.78,851.2,"1,098.82",737.61,145.55,309.82,-7.25,-261.03,"1,110.78",479.28,171.71,"1,070.22",419.92,-144.74,521.71,"1,453.57",-93.59,668.85,919.94,110.22,121.4,504,471.95,-192.52,37.66,-218.01,397.57,-58.5,675.33,258.42,906.7,-668.6,-727.51,"-1,570.44",648.16,-394.52,Upgrade
Other Financing Activities,-570.1,178.08,31.34,116.49,-130.85,114.38,-150.32,-340.97,813.43,-81.66,-16.88,-104.54,58.27,-22.25,13.06,108.91,8.89,-117.51,-16.13,15.02,-5.72,28.07,90.34,-29.21,6.95,-62.7,-0.25,299.52,23.77,-2.2,-53.69,86.63,-27.84,-91.36,-18.26,-601.91,-300.89,-5.06,-98.11,-288.35,Upgrade
Financing Cash Flow,-821.14,200.98,111.59,722.46,93.04,810.64,798.11,"1,077.66",817.21,116.35,-134.68,-483.32,"1,445.55",371.66,305.54,"1,091.79",353.33,-327.71,439.99,"1,378.67",-85.65,603.23,943.58,47.28,60.78,391.06,403.73,68.59,17.38,-254.5,279.75,-33.52,589.81,108.6,843.68,"-1,257.33","-1,059.05","-1,731.6",510.5,-907.4,Upgrade
Net Cash Flow,-117.74,28.49,108.63,-93.18,2.39,47.95,-287.2,-26.97,70.06,-328.94,-21.29,-277.63,"1,029.29",-13.82,-95.02,126.72,10.25,-11.95,-3.26,9.91,-3.39,-67.51,49.18,33.27,-238.87,6.08,72.2,154.65,-11.55,-266.2,286.15,32.16,-79.49,73.77,-12.36,50.81,-53.17,-133.56,170.17,-32.05,Upgrade
Free Cash Flow,698.7,-197.92,14.65,-802.27,215.63,-764.37,-781.91,-332.59,-744.4,-445.46,162.77,207.38,-366.3,-407.66,-395.19,-944.13,-352.84,302.17,-442.92,"-1,372.38",77.65,-676,-894.82,-23.29,-302.07,-370.04,-331.28,91.8,-28.05,-8.49,9.45,61.49,-601.11,-7.23,-848.9,"1,366.73","1,005.33","1,587.26",-306.79,866.31,Upgrade
Free Cash Flow Growth,224.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.28%,-,-,-,-95.50%,-,-,-,57.77%,6235.55%,-,-,-,Upgrade
Free Cash Flow Margin,85.90%,-21.11%,1.83%,-133.39%,30.16%,-58.34%,-82.42%,-25.69%,-113.06%,-67.70%,33.23%,34.41%,-2731.74%,-93.30%,-84.72%,-245.34%,-73.94%,122.12%,-183.96%,-672.20%,29.18%,-180.22%,-310.27%,-4.07%,-123.67%,-89.52%,-98.75%,24.84%,-20.62%,-5.32%,6.57%,25.50%,-222.71%,-4.42%,-484.64%,1038.41%,752.33%,1087.62%,-225.79%,970.09%,Upgrade
Free Cash Flow Per Share,3.90,-1.12,0.08,-4.58,1.24,-4.45,-4.63,-2.02,-4.99,-3.08,1.14,1.55,-3.10,-3.54,-3.64,-8.98,-3.43,2.98,-4.49,-14.00,0.91,-8.22,-10.89,-0.28,-3.72,-4.58,-4.10,1.14,-0.35,-0.10,0.12,0.76,-7.45,-0.09,-10.52,17.21,12.61,19.91,-,-,Upgrade
