Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,2.96,1.23,1.23,3.07,0.28,2.02,-3.58,3.6
Other Operating Activities,-3.04,-1.26,-1.38,-3.37,-0.45,-2.21,3.32,-4.19
Operating Cash Flow,-0.08,-0.03,-0.15,-0.3,-0.17,-0.19,-0.25,-0.59
Change in Investments,0,0,0,0,0,0,0,-287.5
Investing Cash Flow,0,0,0,0,0,0,0,-287.5
Share Issuance / Repurchase,0,0,0,0,0,0,0,295.5
Debt Issued / Paid,0.1,0,0,0,0,0,0,-0.08
Other Financing Activities,-,-,-,-0.08,-,-,-0.02,-6.13
Financing Cash Flow,0.1,0,0,-0.08,0,0,-0.02,289.29
Net Cash Flow,0.02,-0.03,-0.15,-0.37,-0.17,-0.19,-0.27,1.2
Free Cash Flow,-0.08,-0.03,-0.15,-0.3,-0.17,-0.19,-0.25,-0.59
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01,-0.01,-0.02
