Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.23,0.23,-0.01,-0.42,-0.02,0,0
Other Operating Activities,0.09,-0.32,-0.01,-0.14,0.02,0.04,-0.04
Operating Cash Flow,-0.14,-0.09,-0.02,-0.56,-,0.04,-0.04
Change in Investments,0,0,-0,-102.61,-,0,0
Investing Cash Flow,0,0,-0,-102.61,-,0,0
Share Issuance / Repurchase,0,0,0,103.94,-,0,0.03
Debt Issued / Paid,0,0,0,-0.13,-,0.05,0.04
Other Financing Activities,-,-,-,-,-,-0.02,-0.09
Financing Cash Flow,0,0,0,103.81,-,0.03,-0.03
Net Cash Flow,-0.14,-0.09,-0.02,0.64,-,-0.01,0.01
Free Cash Flow,-0.14,-0.09,-0.02,-0.56,-,0.04,-0.04
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.05,-,0.01,-0.01
