Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2015-12-31
Net Income,1.6,6.3,2.74,1.12,17.76,12.79,6.81,28.65,4.23,5.58,5.06,6.22,0.83,0.53,1.25,1.53,1.27,-,1.27,-
Depreciation & Amortization,0.8,0.83,0.85,0.9,0.92,0.95,1.01,1.06,0.8,0.24,0.49,0.47,0.35,0.26,0.25,0.24,0.24,0.24,-,-
Share-Based Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,0.07,0.04,0.05,0.13,-,-
Other Operating Activities,11.97,-36.29,9.38,13.02,76.4,31.95,-1.71,-58.01,30.69,3.19,-38.42,-45.65,-46.72,4.65,-7.7,-19.92,-3.19,-0.9,-1.27,-
Operating Cash Flow,14.38,-29.16,12.97,15.04,95.08,45.7,6.1,-28.31,35.72,9.01,-32.86,-38.96,-45.53,5.28,-6.13,-18.11,-1.63,-0.53,-,-
Operating Cash Flow Growth,-84.88%,-,112.48%,-,166.22%,406.99%,-,-,-,70.82%,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-0.54,0.08,-0.04,-0.12,-0.1,-0.12,-0.08,-0.67,0.2,-0.18,0.09,-1.38,-0.83,-0.62,-0.22,-0.11,-0.16,-0.84,-,-
Acquisitions,0,-0.92,0.5,0.19,0,-0.25,0.01,0.13,44.17,0,0,0,0,-6.95,0.04,0.08,0.02,-0.16,-,-
Change in Investments,-48.84,-245.13,-77.25,-191.64,-117.38,64.47,-186.54,488.71,-348.44,64.63,-59.75,-333.71,-9.76,62.36,-4.99,-122.11,-21.87,-41.02,-,-
Other Investing Activities,0.19,1.44,-,-,2.18,0.31,0.27,-9.66,-0.05,-0,-,-,-,-0.61,-,1.06,-0.6,-1.2,-,-
Investing Cash Flow,-49.19,-244.53,-76.79,-191.56,-115.31,64.42,-186.34,478.52,-304.11,64.45,-59.66,-335.09,-10.59,54.17,-5.17,-121.07,-22.61,-43.22,-,-
Dividends Paid,-2.32,-2.32,-2.3,-2.3,-2.25,0,-4.51,0,-2.68,0,-1.63,-0.81,0,-0.61,-0.62,-0.63,-0.62,-0.39,-,-
Share Issuance / Repurchase,0.03,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.01,22.16,-0.09,-,-
Debt Issued / Paid,-72.65,161.6,15.1,109.85,-2.69,-130.96,-69.13,-478.85,261.22,-62.96,-18.8,352.17,16.1,-4.8,-8.6,70.4,-5.3,23.74,-,-
Other Financing Activities,258.85,93.34,74.11,-18.01,56.8,98.31,10.52,51.53,165.45,29.84,-50.59,196.67,47.15,-16.34,21.3,74.47,9.49,22.05,-,-
Financing Cash Flow,183.91,252.65,86.94,89.54,51.85,-32.65,-63.12,-427.32,423.99,-33.12,-71.02,548.03,63.25,-21.74,12.05,144.22,25.73,45.32,-,-
Net Cash Flow,149.1,-21.03,23.11,-86.99,31.63,77.47,-243.35,22.89,155.6,40.35,-163.54,173.98,7.13,37.71,0.75,5.05,1.49,1.57,-,-
Free Cash Flow,13.84,-29.08,12.93,14.92,94.98,45.58,6.02,-28.97,35.92,8.84,-32.77,-40.34,-46.36,4.66,-6.35,-18.22,-1.79,-1.38,-,-
Free Cash Flow Growth,-85.43%,-,114.75%,-,164.44%,415.66%,-,-,-,89.80%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,44.73%,-81.21%,39.49%,55.70%,209.84%,106.73%,17.49%,-43.45%,101.01%,30.82%,-128.81%,-171.67%,-377.26%,45.90%,-64.54%,-182.41%,-21.16%,-,-,-
Free Cash Flow Per Share,0.73,-1.53,0.69,0.80,5.06,2.43,0.32,-1.56,1.93,1.03,-3.82,-4.75,-7.11,0.71,-0.97,-2.79,-0.27,-0.21,-,-
