Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,0.11,-0.58,-0.04,-0.46,-0.43,-0.12,-0.02,-0.02,-0.28,-0.04,0,-0,-0,-0
Other Operating Activities,-0.19,0.44,-0.18,-0.24,0.21,0,0.02,-0.07,0.13,0.05,-0,-,0,0
Operating Cash Flow,-0.08,-0.14,-0.21,-0.7,-0.22,-0.12,-0,-0.09,-0.15,0.01,-0,-0,-,-0
Change in Investments,0,41.49,0,5.89,-1.38,0,0,0,0,0,-46,0,-,0
Investing Cash Flow,0,41.49,0,5.89,-1.38,0,0,0,0,0,-46,0,-,0
Share Issuance / Repurchase,-25.18,-10.74,0,-6.53,0,0,0,0,0,0,47,0,-,0.03
Debt Issued / Paid,0.17,0.55,0.1,1.2,1.38,0,0,0,0,0,0.01,0.05,-,0.06
Other Financing Activities,-,-,-,-,-,-,-,-,-,-0.01,-0.15,-0.08,-,-0.05
Financing Cash Flow,-25.01,-10.19,0.1,-5.32,1.38,0,0,0,0,-0.01,46.86,-0.03,-,0.03
Net Cash Flow,-25.09,31.16,-0.11,-0.13,-0.22,-0.12,-0,-0.09,-0.15,-0,0.86,-0.03,-,0.03
Free Cash Flow,-0.08,-0.14,-0.21,-0.7,-0.22,-0.12,-0,-0.09,-0.15,0.01,-0,-0,-,-0
Free Cash Flow Per Share,-0.02,-0.03,-0.04,-0.12,-0.04,-0.02,-,-0.01,-0.04,0.00,-,-,-,-
