Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,297,248,128,205,295,266,256,368,312,387,213,151,-61,273,107,278,342,-84,336,270,291,223,144,272,260,241,343,209,66,-70,178,138,233,198,213,267,13,221,272,194,Upgrade
Depreciation & Amortization,12,13,13,12,13,13,14,13,14,14,15,15,16,16,16,17,19,20,18,21,20,22,23,22,21,20,18,18,21,22,23,20,19,21,20,22,20,21,22,25,Upgrade
Other Operating Activities,127,251,596,391,337,364,399,222,-244,-34,530,272,257,-129,343,-68,-74,423,160,-155,-93,115,212,-61,1,35,146,52,247,390,304,288,-158,174,227,130,135,41,58,159,Upgrade
Operating Cash Flow,436,512,737,608,645,643,669,603,82,367,758,438,212,160,466,227,287,359,514,136,218,360,379,233,282,296,507,279,334,342,505,446,94,393,460,419,168,283,352,378,Upgrade
Operating Cash Flow Growth,-32.40%,-20.37%,10.16%,0.83%,686.59%,75.20%,-11.74%,37.67%,-61.32%,129.38%,62.66%,92.95%,-26.13%,-55.43%,-9.34%,66.91%,31.65%,-0.28%,35.62%,-41.63%,-22.70%,21.62%,-25.25%,-16.49%,-15.57%,-13.45%,0.40%,-37.44%,255.32%,-12.98%,9.78%,6.44%,-44.05%,38.87%,30.68%,10.85%,-12.04%,10.12%,-6.13%,23.53%,Upgrade
Capital Expenditures,-20,-11,-16,-13,-12,-10,-11,-2,-3,-7,-6,-7,-3,-6,-6,-6,-8,-12,-11,-38,-38,-22,-12,-38,-30,-52,-29,-32,74,-41,-27,-37,-20,-29,-15,-17,-10,-24,-25,-21,Upgrade
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,32,0,0,Upgrade
Change in Investments,71,-429,-615,-289,-117,-623,-383,-608,411,-286,-877,-604,"1,069",-158,-287,-50,281,-247,-350,-11,512,-184,-320,-221,383,-190,-408,-128,-83,-91,-321,-400,544,190,-537,-369,-345,-219,-196,-289,Upgrade
Other Investing Activities,-,-,-10,-,-,2,-1,-,-,-5,1,-1,21,-1,-,-,16,2,2,-1,15,-,3,16,1,-,-,2,-,14,7,-2,2,8,1,6,1,2,3,-,Upgrade
Investing Cash Flow,51,-440,-641,-302,-129,-631,-395,-610,408,-298,-882,-612,"1,087",-165,-293,-56,289,-257,-359,-50,489,-206,-329,-243,354,-242,-437,-158,-9,-118,-341,-439,526,169,-353,-380,-354,-209,-218,-310,Upgrade
Dividends Paid,-445,-108,-109,-108,-657,-103,-104,-104,-310,-100,-100,-101,-649,-95,-96,-95,-643,-95,-95,-82,-624,-81,-85,-67,-609,-67,-69,-68,-609,-67,-68,-68,-608,-68,-67,-68,-338,-54,-54,-53,Upgrade
Share Issuance / Repurchase,-24,0,-18,0,-21,0,0,-15,-3,0,0,0,-18,-5,-2,-2,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,Upgrade
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,-24,0,0,-30,0,-150,0,105,0,0,0,0,0,140,0,0,0,0,-549,0,0,546,0,-13,0,Upgrade
Other Financing Activities,-11,-,-11,10,-10,-,-,-1,-8,-1,-1,-,-8,-1,-1,-2,-8,-1,-9,8,-7,-1,-16,-1,-,-1,2,-1,-,-1,-1,1,5,3,-1,21,2,-9,-6,-18,Upgrade
Financing Cash Flow,-480,-108,-138,-98,-688,-103,-104,-120,-321,-101,-25,-101,-675,-101,-99,-123,-665,-96,-134,-74,-781,-82,4,-68,-609,-68,-67,-69,-469,-68,-69,-67,-603,-614,-68,-47,210,-64,-73,-71,Upgrade
Net Cash Flow,8,-28,-57,199,-175,-89,163,-126,169,-23,-144,-271,615,-98,69,48,-87,0,22,6,-73,72,58,-74,28,-19,1,47,-145,151,91,-56,11,-57,43,-2,11,10,64,-2,Upgrade
Free Cash Flow,416,501,721,595,633,633,658,601,79,360,752,431,209,154,460,221,279,347,503,98,180,338,367,195,252,244,478,247,408,301,478,409,74,364,445,402,158,259,327,357,Upgrade
Free Cash Flow Growth,-34.28%,-20.85%,9.57%,-1.00%,701.27%,75.83%,-12.50%,39.44%,-62.20%,133.77%,63.48%,95.02%,-25.09%,-55.62%,-8.55%,125.51%,55.00%,2.66%,37.06%,-49.74%,-28.57%,38.52%,-23.22%,-21.05%,-38.24%,-18.94%,0%,-39.61%,451.35%,-17.31%,7.42%,1.74%,-53.16%,40.54%,36.09%,12.61%,-7.06%,16.14%,-8.40%,24.83%,Upgrade
Free Cash Flow Margin,13.20%,16.10%,24.38%,20.33%,21.94%,20.73%,22.24%,19.84%,2.76%,12.28%,26.67%,15.58%,9.12%,5.55%,17.13%,8.47%,10.35%,14.44%,19.18%,3.81%,7.10%,13.81%,15.30%,8.24%,10.82%,10.21%,19.65%,10.52%,18.59%,13.27%,22.20%,17.58%,3.15%,15.31%,18.46%,16.48%,6.41%,10.08%,13.30%,14.57%,Upgrade
Free Cash Flow Per Share,1.53,1.85,2.66,2.19,2.33,2.33,2.42,2.21,0.29,1.32,2.77,1.59,0.77,0.57,1.69,0.81,1.03,1.28,1.85,0.36,0.66,1.25,1.35,0.72,0.93,0.90,1.77,0.91,1.51,1.11,1.77,1.51,0.27,1.35,1.65,1.49,0.59,0.96,1.21,1.32,Upgrade
