Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,3.29,3.72,4.63,3.58,3.01,3.65,5.86,5.27,4.83,4.55,3.46,3.07,1.72,4.4,4.5,3.98,3.24,3.8,4,-5.18,3.5,-7.26,3.08,3.34,3.02,1.72,2.08,1.56,2.73,2.27,2.58,2.47,2.88,1.85,2.41,2.32,1.83,1.14,2.19,1.36,Upgrade
Depreciation & Amortization,0.48,0.39,0.51,0.28,0.27,0.28,0.28,0.32,0.32,0.33,0.34,0.33,0.33,0.34,0.35,0.34,0.34,0.34,0.32,0.34,0.33,0.35,0.32,0.32,0.33,0.34,0.34,0.34,0.33,0.33,0.32,0.43,0.43,0.55,0.45,0.46,0.48,0.48,0.47,0.48,Upgrade
Share-Based Compensation,0.14,0.11,0.13,0.15,0.07,0.04,0.05,0.07,0.05,0.06,0.06,0.06,0.03,0,0,0,0,0,0.06,0.09,0.03,0,0.05,0.08,0.03,0,0.03,0.04,0.01,0.07,0,0,0,0,0,0,0,0,0,0,Upgrade
Other Operating Activities,3.81,3.28,3.19,0.83,1.1,-1.49,5.6,-4.02,5.25,-0.88,-4.05,-3.37,0.41,-0.34,1.21,-0.04,0.65,3.18,-0.16,-0.99,-0.37,9.53,3.96,-0.66,-0.23,3.05,2.61,0.41,-0.72,0.76,2.45,-2.25,0.54,2.1,0.63,-0.05,1.34,1.05,2.45,1.62,Upgrade
Operating Cash Flow,7.72,7.5,8.46,4.84,4.45,2.48,11.78,1.64,10.45,4.06,-0.2,0.08,2.49,4.4,6.06,4.29,4.22,7.33,4.22,-5.74,3.5,2.62,7.41,3.08,3.15,5.11,5.05,2.35,2.35,3.43,5.35,0.65,3.86,4.5,3.49,2.73,3.64,2.66,5.11,3.45,Upgrade
Operating Cash Flow Growth,73.57%,202.46%,-28.20%,195.48%,-57.45%,-38.94%,-,1922.22%,319.47%,-7.73%,-,-98.11%,-40.97%,-39.93%,43.50%,-,20.71%,180.01%,-43.04%,-,11.16%,-48.85%,46.85%,31.39%,33.77%,48.92%,-5.68%,261.33%,-39.05%,-23.62%,53.34%,-76.24%,5.99%,68.77%,-31.71%,-20.86%,-12.78%,-,9.64%,26.68%,Upgrade
Capital Expenditures,-0.11,-1.21,-2.42,-4.32,-4.26,1.86,-7.15,-0.05,-0.17,-0.03,-0.08,-0.2,-0.17,-1.04,-0.18,-0.3,-0.14,-0.56,-0.12,-0.37,-0.11,-0.25,-0.22,-0.68,0.03,-0.06,-0.23,-0.14,-0.15,-0.28,-0.58,-0.07,-0.12,-0.07,0.05,-0.1,-0.22,-0.09,-0.16,-0.05,Upgrade
Change in Investments,14.83,3.59,-17.65,-56.24,-12.54,32.49,-56.44,-80.35,-25.28,-34.11,-69.23,-153.25,-22.94,-38.5,17.96,-2.79,-2.63,-8.36,-2.27,-29.16,-6.62,-28.46,-7.01,3.36,-1.47,-27.85,-26.22,-34.39,-14.69,-2.8,-32.8,-11.67,-1.77,10.45,0.59,-20.75,-3.76,-3.11,-6.41,0.22,Upgrade
Other Investing Activities,-,-,-,-,-,0.46,0.69,-,-,-0.93,-,3.62,-,4.06,0.07,-,-,-0.06,-,0.03,0.12,0.04,0.5,0.15,1.75,-,0.4,0.16,0.5,0.77,-,-,0.13,-,0.38,0.21,0.28,0.14,0.5,0.02,Upgrade
Investing Cash Flow,14.72,2.38,-20.07,-60.56,-16.8,34.81,-62.9,-80.4,-25.44,-35.07,-69.3,-149.83,-23.11,-35.48,17.85,-3.09,-2.77,-8.98,-2.39,-29.5,-6.61,-28.66,-6.72,2.83,0.32,-27.91,-26.05,-34.37,-14.34,-2.3,-33.37,-11.74,-1.76,10.38,1.02,-20.64,-3.7,-3.06,-6.07,0.18,Upgrade
