Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+24 Quarters
Net Income,3.72,2.87,1.41,2.64,7.04,4.31,4.85,4.31,10.49,9.92,15.14,15.41,-0.63,3.44,5.32,4.39,3.53,2.93,2.74,3.11,1.65,3.41,2.34,2.44,2.19,2.34,2.81,2.23,1.62,1.2,1.79,2.15,1.48,1.16,1.33,1.41,1.49,0.99,1.33,1.1,Upgrade
Depreciation & Amortization,0.63,0.63,0.6,0.61,0.63,0.61,0.6,0.57,0.58,0.55,0.58,0.52,0.35,0.41,0.46,0.36,0.38,0.48,0.38,0.36,0.33,0.3,0.29,0.29,0.29,0.29,0.36,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.38,0.36,0.35,0.38,0.32,Upgrade
Share-Based Compensation,0.17,0.19,0.19,0.19,0.19,0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0,0,0,0.63,0.13,0.17,0.21,0.6,0.2,0.2,0.2,0.53,0.19,0.19,Upgrade
Other Operating Activities,-0.08,13.07,58.06,14.84,21.66,35.73,58.06,-26.25,127.64,-76.71,-60.04,-45.42,-55.1,-14.62,-0.07,-45.62,-9.49,-7.65,-4.87,5.54,8.06,-3.25,0.83,-6.04,4.7,-12.37,-1.31,0.26,-3.79,4.2,-5.93,-4.24,-0.54,0.83,1.46,-0.68,0.11,-0.73,1.06,1.96,Upgrade
Operating Cash Flow,4.44,16.76,60.26,18.28,29.51,40.77,63.58,-21.3,138.78,-66.17,-44.26,-29.42,-55.3,-10.71,5.78,-40.8,-5.52,-4.18,-1.7,9.06,10.09,0.51,3.52,-3.26,7.23,-9.71,1.86,2.85,-1.78,6.44,-3.6,-1.51,1.57,2.98,3.39,1.36,2.2,1.17,3.01,3.61,Upgrade
Operating Cash Flow Growth,-84.94%,-58.89%,-5.23%,-,-78.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.57%,-,89.13%,-,-,-,-,-,-,115.72%,-,-,-28.99%,154.61%,12.91%,-62.35%,-19.30%,-40.69%,213.02%,-,Upgrade
Capital Expenditures,-0.9,-0.72,-0.51,-0.11,-0.14,-0.07,-1.05,-2.05,-1.02,-1.08,-0.43,-1.11,-1.24,-3.98,-0.95,-0.53,-0.45,-7.49,-0.65,-0.26,-0.54,-0.1,-0.04,-0.19,-0.06,-0.12,1.77,-0.06,-0.17,-0.03,-0.13,-0.22,-0.19,-0.01,-0.04,0.02,-0.18,-0.35,-3.76,-0.92,Upgrade
Acquisitions,-1.41,-2.04,-1.9,-0.1,0,-0.24,0,0,-1.43,-1.75,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,-17.07,-113.84,-160.83,-241.08,-60.74,-79.06,-10.98,23.17,-19.35,-28.3,-25.97,-213.64,-44.37,-44.2,-10.53,-23.84,-30.69,-31.64,10.52,-30.89,-2.82,-32.97,-23.76,-18.29,-15.2,-20.58,-18.16,-13.15,-19.65,2.55,-7.57,-1.58,-2.83,-6.92,-9.83,3.77,-15.95,-22.39,-5.69,-9.96,Upgrade
Other Investing Activities,-,-,-,-,-,0.58,-,-12,-0.04,-,-,-,-,-4.48,-,-,-6,-,-,-,0.54,-,-,-,-,-,1.56,-,-,-,0.43,-,-,-,-,-,-,-5,0.31,0.42,Upgrade
Investing Cash Flow,-19.38,-116.59,-163.24,-241.3,-60.88,-78.8,-12.03,9.12,-21.84,-31.13,-26.4,-214.75,-45.62,-52.67,-11.48,-24.37,-37.14,-39.14,9.88,-31.14,3.85,-33.07,-23.8,-18.47,-15.27,-20.7,-14.82,-13.21,-19.82,2.52,-7.27,-1.8,-3.02,-6.93,-9.87,3.79,-16.13,-27.74,-9.14,-10.46,Upgrade
Dividends Paid,-0.96,-0.91,-0.92,-0.93,-0.93,-1.72,0,-0.86,-0.43,-0.4,-0.41,-0.4,-0.4,-0.38,-0.38,-0.38,-0.38,-0.35,-0.34,-0.69,0,-0.32,-0.31,-0.31,-0.31,-0.29,-0.29,-0.29,-0.29,-0.25,-0.26,-0.26,-0.26,-0.21,-0.24,-0.24,-0.25,-0.19,-0.41,-0.23,Upgrade
Share Issuance / Repurchase,-0.98,-1.65,-3.31,-1.43,0,0,0.02,0,0,0,0,0,0.05,0.1,0,0.07,0.19,0.15,0,0.17,0.07,0.12,0,0,0.04,0.03,0,0,0,0.17,0,-0.13,0,0.16,-0.27,-0.5,-1.51,-0.85,-0.29,-0.1,Upgrade
Debt Issued / Paid,15.37,77.02,-58.72,107.23,68.66,7.51,-141.48,-26.55,-95.24,26.16,12.37,203.96,31.15,12.39,36.48,28.4,54.34,16.66,20.07,-54.39,-5.58,31.51,18.29,-13.08,8.4,-16.98,12.15,5.09,1.03,-6.01,10.44,12.92,-20.21,22.12,-0.03,-6.15,-16.73,13,13.24,11.71,Upgrade
Other Financing Activities,5.04,21.98,170.13,124.52,-45.85,39.41,100.43,31.66,-25.82,73.2,64.88,45.56,51.4,51.16,-54.08,61.74,-7.39,20.92,-23.64,75.96,-8.43,6.02,-4.52,42.66,6.3,45.48,5.37,6.68,16.37,0.57,4.3,-8.03,21.15,-17.49,7.96,1.26,32.33,13.75,-6.7,-10.92,Upgrade
Financing Cash Flow,18.47,96.44,107.18,229.38,21.88,45.2,-41.03,4.25,-121.49,98.96,76.84,249.11,82.2,63.27,-17.97,89.84,46.76,37.38,-3.91,21.06,-13.94,37.34,13.45,29.27,14.42,28.24,17.23,11.49,17.12,-5.52,14.48,4.5,0.68,4.58,7.42,-5.64,13.84,25.71,5.84,0.46,Upgrade
Net Cash Flow,3.53,-3.39,4.2,6.36,-9.49,7.16,10.52,-7.93,-4.56,1.67,6.18,4.94,-18.72,-0.11,-23.67,24.66,4.1,-5.93,4.27,-1.03,-0,4.77,-6.83,7.53,6.39,-2.17,4.27,1.12,-4.48,3.44,3.6,1.19,-0.78,0.64,0.95,-0.49,-0.09,-0.86,-0.3,-6.39,Upgrade
Free Cash Flow,3.54,16.04,59.75,18.16,29.37,40.69,62.53,-23.35,137.76,-67.25,-44.68,-30.53,-56.55,-14.69,4.83,-41.34,-5.97,-11.67,-2.34,8.81,9.55,0.41,3.48,-3.45,7.17,-9.83,3.63,2.79,-1.95,6.41,-3.73,-1.73,1.37,2.97,3.35,1.38,2.03,0.82,-0.76,2.69,Upgrade
Free Cash Flow Growth,-87.95%,-60.58%,-4.45%,-,-78.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.22%,-,-4.16%,-,-,-,-,-,-,115.40%,-,-,-32.30%,263.13%,-,-48.92%,49.45%,46.77%,-,-,Upgrade
Free Cash Flow Margin,16.05%,78.38%,291.81%,71.47%,86.09%,135.79%,202.30%,-65.33%,257.66%,-113.49%,-66.02%,-54.36%,-279.94%,-51.52%,16.86%,-186.20%,-35.95%,-77.57%,-16.90%,70.47%,87.45%,3.90%,34.04%,-36.95%,82.65%,-114.91%,37.28%,81.42%,-26.86%,84.27%,-47.83%,-22.41%,20.05%,42.60%,48.53%,19.55%,28.20%,12.38%,-11.12%,43.07%,Upgrade
Free Cash Flow Per Share,0.52,2.32,8.55,2.57,4.15,5.72,8.79,-3.29,19.38,-9.47,-6.30,-4.30,-8.00,-2.09,0.69,-5.91,-0.86,-1.70,-0.34,1.29,1.41,0.06,0.52,-0.52,1.08,-1.49,0.55,0.42,-0.29,0.98,-0.57,-0.27,0.21,0.47,0.53,0.22,0.32,0.13,-0.12,0.41,Upgrade
