Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,8.16,-7.29,1.33,-4.52,-5.11,-22.18,-3.13,2.49,12.55,-9.63,7.7,3.51,-33.54,-1.59,-9.65,-4.38,8.07,-12.47,4.86,2.65,-4.04,5.07,-8.73,-2.47,3.38
Other Operating Activities,0.56,-0.21,1.89,-35.1,7.24,36.75,-33.39,-14.95,-36.62,19.86,-24.47,9.04,54.91,5.33,10.57,-30.8,-2.03,15.23,-2.09,-2.08,-32.51,27.55,-7.61,-45.08,3.61
Operating Cash Flow,8.72,-7.5,3.22,-39.62,2.14,14.57,-36.52,-12.47,-24.07,10.23,-16.76,12.56,21.37,3.74,0.92,-35.18,6.04,2.76,2.77,0.57,-36.55,32.61,-16.34,-47.55,6.99
Operating Cash Flow Growth,308.20%,-,-,-,-,42.48%,-,-,-,173.25%,-,-,253.67%,35.63%,-66.75%,-,-,-91.54%,-,-,-,-,-,-,-
Dividends Paid,-2.66,-3.42,-3.42,-3.42,-2.76,-2.69,-2.35,-2.35,-2.54,-0.46,-0.35,-1.17,-3.01,-2.51,-2.51,-2.56,-5.21,-2.65,-2.65,-2.65,-4.78,-2.66,-2.87,-3.04,-4.22
Share Issuance / Repurchase,0,0,0,37.51,0,-13.24,13.24,0,0,31.75,0,0,0,0,0,-3.41,-1.59,0,0,0,0,-0.8,-9.37,-11.31,-2.79
Debt Issued / Paid,-5,10,-0.03,-1.26,-0,-10.11,-13.51,48.01,0,-1.5,-0.69,-3.24,-0.13,0,2.41,40.29,0,0,0,0,44.45,-33.65,31.11,0,0
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.61,0.61,-,-
Financing Cash Flow,-7.66,6.58,-3.45,32.83,-2.76,-26.04,-2.62,45.65,-2.54,29.79,-1.04,-4.42,-3.14,-2.51,-0.09,34.32,-6.8,-2.65,-2.65,-2.65,39.67,-37.72,19.49,-14.35,-7.01
Net Cash Flow,1.05,-0.92,-0.23,-6.79,-0.63,-11.47,-39.15,33.19,-26.61,40.01,-17.81,8.14,18.23,1.24,0.83,-0.86,-0.76,0.11,0.12,-2.09,3.11,-5.1,3.15,-61.89,-0.02
Free Cash Flow,8.72,-7.5,3.22,-39.62,2.14,14.57,-36.52,-12.47,-24.07,10.23,-16.76,12.56,21.37,3.74,0.92,-35.18,6.04,2.76,2.77,0.57,-36.55,32.61,-16.34,-47.55,6.99
Free Cash Flow Growth,308.20%,-,-,-,-,42.48%,-,-,-,173.25%,-,-,253.67%,35.63%,-66.75%,-,-,-91.54%,-,-,-,-,-,-,-
Free Cash Flow Margin,103.63%,-102.32%,53.37%,-718.57%,38.41%,229.32%,-495.38%,-199.98%,-454.56%,177.86%,-281.70%,263.32%,332.43%,53.37%,13.15%,-524.21%,95.72%,39.91%,44.81%,7.89%,-487.48%,335.87%,-252.68%,-762.31%,95.54%
Free Cash Flow Per Share,1.15,-1.20,0.42,-7.63,0.47,3.25,-9.16,-3.18,-6.17,4.61,-9.44,7.39,12.74,2.23,0.55,-20.61,3.41,1.55,1.56,0.32,-20.59,18.36,-8.64,-23.77,3.32
