Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+41 Quarters
Net Income,62,175,104,181,191,163,314,240,187,267,418,-441,-66,-17,18,168,174,-329,146,190,112,353,107,202,155,-122,-380,172,53,-292,-284,-193,154,-760,-844,176,184,208,108,141,Upgrade
Share-Based Compensation,15,8,9,10,10,8,7,14,11,17,3,9,10,9,7,4,6,12,7,9,7,2,11,8,10,7,9,9,7,2,6,11,-3,9,5,6,8,12,10,8,Upgrade
Other Operating Activities,-60,221,195,238,-293,-24,-260,222,-445,224,-268,"1,051",736,479,788,489,-46,977,259,253,-10,267,506,443,490,189,"1,103",629,196,723,925,69,473,"2,049","1,401",335,-131,86,329,437,Upgrade
Operating Cash Flow,17,404,308,429,-92,147,61,476,-247,508,153,619,680,471,813,661,134,660,412,452,109,622,624,653,655,74,732,810,256,433,647,-113,624,"1,298",562,517,61,306,447,586,Upgrade
Operating Cash Flow Growth,-,174.83%,404.92%,-9.87%,-,-71.06%,-60.13%,-23.10%,-,7.86%,-81.18%,-6.35%,407.46%,-28.64%,97.33%,46.24%,22.94%,6.11%,-33.97%,-30.78%,-83.36%,740.54%,-14.75%,-19.38%,155.86%,-82.91%,13.14%,-,-58.97%,-66.64%,15.12%,-,922.95%,324.18%,25.73%,-11.77%,1.67%,-42.80%,115.94%,24.15%,Upgrade
Acquisitions,0,0,0,0,0,0,0,0,270,0,0,0,0,"1,398",0,0,0,0,0,0,0,0,0,-5,0,0,0,39,0,273,0,0,0,0,0,0,0,-5,345,25,Upgrade
Change in Investments,364,281,-83,397,138,427,-72,206,132,-21,-220,-186,-504,239,-153,-503,357,-171,148,-20,-271,153,-272,-414,534,-54,-695,-967,-289,"1,276",-867,-904,-331,297,-939,-805,-315,-388,"-1,287",101,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-67,147,-172,-150,-47,212,-44,-125,-80,-520,119,-11,104,-234,117,38,-676,-16,-71,-101,34,210,-35,9,-35,-130,-126,71,111,100,-63,139,Upgrade
Investing Cash Flow,364,281,-83,397,138,427,-72,206,335,126,-392,-336,-551,"1,849",-197,-628,277,-691,267,-31,-167,-81,-155,-381,-142,-70,-766,"-1,029",-255,"1,759",-902,-895,-366,167,"-1,065",-734,-204,-293,"-1,005",265,Upgrade
Share Issuance / Repurchase,-68,-30,-19,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Debt Issued / Paid,-11,-13,-154,-48,-82,-538,-519,-14,-470,-1,720,-51,-735,-443,-2,-1,0,-22,-9,-601,433,-18,-4,-5,-7,-25,-7,-56,"-1,956",-26,8,-25,-24,-22,-21,-493,-15,331,20,-38,Upgrade
Other Financing Activities,-349,-404,-215,-330,-244,-403,254,-419,-310,-772,-310,-136,-222,-532,-545,-319,-375,-249,-398,-389,-386,-480,-511,-446,-297,-227,-344,-351,15,3,-154,117,59,78,-60,454,284,331,431,-925,Upgrade
Financing Cash Flow,-428,-447,-388,-393,-326,-941,-265,-433,-780,-773,410,-187,-957,-975,-547,-320,-375,-271,-407,-990,47,-498,-515,-451,-304,-252,-351,-407,"-1,941",-23,-146,92,35,56,-81,-39,269,662,451,-963,Upgrade
Net Cash Flow,-47,238,-163,433,-280,-366,-277,250,-692,-124,183,114,-858,"1,350",53,-283,44,-328,262,-600,-32,39,-17,-165,234,-294,-379,-627,"-1,909","2,185",-446,-904,240,"1,441",-661,-222,146,660,-83,-182,Upgrade
Free Cash Flow,17,404,308,429,-92,147,61,476,-247,508,153,619,680,471,813,661,134,660,412,452,109,622,624,653,655,74,732,810,256,433,647,-113,624,"1,298",562,517,61,306,447,586,Upgrade
Free Cash Flow Growth,-,174.83%,404.92%,-9.87%,-,-71.06%,-60.13%,-23.10%,-,7.86%,-81.18%,-6.35%,407.46%,-28.64%,97.33%,46.24%,22.94%,6.11%,-33.97%,-30.78%,-83.36%,740.54%,-14.75%,-19.38%,155.86%,-82.91%,13.14%,-,-58.97%,-66.64%,15.12%,-,922.95%,324.18%,25.73%,-11.77%,1.67%,-42.80%,115.94%,24.15%,Upgrade
Free Cash Flow Margin,0.92%,21.32%,16.75%,22.81%,-4.86%,8.47%,2.95%,23.32%,-12.44%,23.58%,6.60%,30.90%,37.59%,28.60%,40.25%,33.15%,6.56%,33.25%,21.11%,20.94%,5.15%,68.81%,28.17%,29.37%,30.17%,3.37%,34.05%,36.23%,14.34%,20.08%,30.81%,-5.24%,29.23%,58.23%,25.66%,23.56%,2.63%,18.73%,19.29%,24.72%,Upgrade
Free Cash Flow Per Share,0.04,0.81,0.61,0.84,-0.18,0.29,0.12,0.94,-0.49,1.00,0.30,1.23,1.35,0.94,1.61,1.31,0.27,1.32,0.82,0.90,0.22,1.25,1.25,1.31,1.31,0.15,1.47,1.63,0.51,0.87,1.30,-0.23,1.26,2.62,1.13,1.04,0.12,0.62,0.91,1.19,Upgrade
