Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,-8.17,-139.58,-23.18,-107.88,-0.43,-41.38,-7.9,3.52,1.28,-0.82,-0.29,-0.57
Depreciation & Amortization,3.82,12.46,13.84,4.87,3.65,2.94,2.67,1.6,1.26,1.34,1.06,-
Share-Based Compensation,0.48,1.61,0.36,0.31,0.36,2.3,0.41,0.41,0.66,0,0,-
Other Operating Activities,4.18,118.58,4.6,99.53,2.74,49.56,22.08,1.39,-0.71,-0.74,-0.68,0.57
Operating Cash Flow,0.31,-6.94,-4.38,-3.18,6.33,13.42,17.26,6.92,2.49,-0.23,0.09,-
Operating Cash Flow Growth,-95.13%,-,-,-,154.52%,-,18463.44%,-,-,-,-,-
Capital Expenditures,-5.87,0.72,-18.33,-33.11,-71.14,-97.81,-36.18,-23.91,-5.67,-1.25,-0.39,-
Acquisitions,0,0,0,0,0,-27.11,27.11,0,0,0,0,-
Change in Investments,0,0,0,0,0.5,0,0,0,0,0,0,-
Other Investing Activities,2.58,-,-,-,0,27.11,-,-,-,-,-,-
Investing Cash Flow,-3.29,0.72,-18.33,-33.11,-70.64,-97.81,-9.06,-23.91,-5.67,-1.25,-0.39,-
Share Issuance / Repurchase,8.1,1.59,1.91,2.09,3.73,44.39,2.16,0,1,0,0,-
Debt Issued / Paid,-3.28,-18.67,-7.07,4.12,74.44,69.3,5.2,15.72,-0.82,3.3,0,-
Other Financing Activities,-,-,-,-,-,2.16,-2.3,-,37.11,-,-,-
Financing Cash Flow,4.81,-17.08,-5.16,6.21,78.16,115.85,5.06,15.72,37.29,3.3,0,-
Net Cash Flow,1.83,-23.3,-27.87,-30.07,13.85,31.45,13.26,-1.28,34.11,1.82,-0.3,-
Free Cash Flow,-5.56,-6.22,-22.71,-36.28,-64.81,-84.4,-18.91,-17,-3.18,-1.48,-0.3,-
Free Cash Flow Margin,-36.68%,-,-77.35%,-115.78%,-222.28%,-245.83%,-52.89%,-105.09%,-28.74%,-24.02%,-4.83%,-
Free Cash Flow Per Share,-1.04,-1.47,-5.42,-8.77,-15.78,-26.38,-4.89,-4.43,-0.83,-0.39,-,-
