Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Net Income,6.98,15.1,-7.25,5.04,9.33,-66.29,-23.89,20.84,-103.46,-20.26,26.28,35.61,-36.82,20.47,-25.17,20.31,22.73,11.63,19.58,16.98,15.63,0.22,10.35,14.54,18.45,25.67,21.37,14.6,12.84,12.67,18.96,12.49,9.38,8.87,17.17,9.51,9.14,-
Depreciation & Amortization,0,1.05,0,0,0,4.72,0,0,0,5.02,0,0,0,4.06,0,0,0,4.22,0,0,0,2.12,0,0,0,2.41,0,0,0,2,0,0,0,2.76,0,0,0,-
Share-Based Compensation,0,8.65,0,0,0,6.45,0,0,0,6.95,0,0,0,6.08,0,0,0,3.53,0,0,0,5.57,0,0,0,8.68,0,0,0,7.32,0,0,0,0.59,0,0,0,-
Other Operating Activities,9.84,27.18,33.43,66.3,55.15,202.9,-944.42,-32.84,22.46,-43.48,-112.11,-106.54,-28.49,"1,244.62",170.83,12.37,12.72,18.74,68.25,98.64,32.83,78.9,45.32,34.67,-2.34,33.66,31.78,14.36,-11.03,-6.3,36.47,11.33,15.65,29.96,22.67,14.08,15.65,-
Operating Cash Flow,19.45,54.61,28.81,73.97,65.36,147.77,-968.31,-12,-81.01,-51.77,-85.83,-70.93,-65.31,"1,275.24",145.66,32.67,35.45,38.12,87.83,115.63,48.46,86.82,55.68,49.21,16.11,70.43,53.15,28.96,1.81,15.69,55.43,23.82,25.03,42.17,39.84,23.59,24.79,-
Operating Cash Flow Growth,-70.24%,-63.05%,-,-,-,-,-,-,-,-,-,-,-,3245.76%,65.85%,-71.74%,-26.85%,-56.10%,57.75%,134.94%,200.78%,23.26%,4.76%,69.94%,790.17%,348.85%,-4.11%,21.56%,-92.77%,-62.79%,39.11%,0.97%,0.99%,-,-,-,-,-
Capital Expenditures,-1.3,-3.66,-1.39,-1.45,-1.73,-3.37,-1.05,-1.88,0,-0.23,-0.1,0.13,-0.34,-0.08,-0.25,-0.05,-0.14,0.6,-0.13,-0.2,-0.28,2.12,-0.69,-0.46,-0.97,2.14,-0.28,-0.64,-1.22,1.19,-0.76,-0.28,-0.14,0.91,-0.72,-0.1,-0.09,-
Change in Investments,16.39,-209.74,-216.45,2.13,-96.06,-197.74,130.27,-23.24,-4.71,-76.81,-31.83,-59.09,-43.61,-291.35,-58.94,22.67,-61.87,-59.67,-162.77,20.27,-65.55,2.49,-36.73,-45.08,-20.76,2.11,-39.23,-32.28,-9.66,54.06,-36.63,-44.55,-3.63,-28.67,2.1,-128.5,-20.05,-
Other Investing Activities,2.03,682.45,30.72,11.39,10.65,225.27,-3.86,5.54,10.69,250.05,-19.59,24.87,-5.77,500.58,8.75,-12.72,14.64,-2.12,1.05,-10.56,12.58,-17.34,11.48,1.54,-0.34,-2.42,2.3,-2,0.4,-3.46,-0.88,19.42,-18.5,-37.54,36.65,-45.43,46.56,-
Investing Cash Flow,17.13,469.05,-187.12,12.07,-87.13,24.15,125.35,-19.58,5.99,173.01,-51.52,-34.09,-49.72,209.15,-50.43,9.9,-47.37,-61.2,-161.84,9.51,-53.24,-12.74,-25.94,-43.99,-22.07,1.83,-37.21,-34.92,-10.47,51.79,-38.28,-25.41,-22.28,-65.3,38.03,-174.03,26.42,-
