Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.58,0.28,0.07,-0.06,-0.05,-0.03,-0.03,-0.02
Other Operating Activities,-0.75,-0.35,-0.22,-0.12,0.01,-,-0.02,0.01
Operating Cash Flow,-0.17,-0.07,-0.15,-0.18,-0.04,-0.03,-0.05,-0
Change in Investments,28.46,0,0,0,-70.04,0,0,0
Investing Cash Flow,28.46,0,0,0,-70.04,0,0,0
Share Issuance / Repurchase,-28.71,0,0,0,72.02,0,0,0.03
Debt Issued / Paid,0.45,0,0,0,0.2,0,0,0.3
Other Financing Activities,-,-,-,-0.01,-1.75,-0.03,-0.04,-0.11
Financing Cash Flow,-28.26,0,0,-0.01,70.46,-0.03,-0.04,0.22
Net Cash Flow,0.03,-0.07,-0.15,-0.19,0.39,-0.06,-0.09,0.21
Free Cash Flow,-0.17,-0.07,-0.15,-0.18,-0.04,-0.03,-0.05,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.04,-0.00
