Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+1 Quarters
Net Income,3.67,20.06,25.61,38.96,65.72,99.05,120.3,79.34,66.53,126.48,32.95,-5.73,25.13,21.45,40.62,29.46,13.57,39.22,32.45,35.69,33.33,-24.81,19.21,19.73,15.28,15.04,9.49,6.89,6.97,10.55,10.09,7.13,5.34,9.5,6.5,-19.01,22.09,33.93,14.45,21.14,Upgrade
Depreciation & Amortization,2.07,2.18,1.92,1.84,2.04,2.21,1.95,1.64,1.45,1.49,0.94,1.08,1.2,1.24,1.28,1.29,1.16,1.34,1.14,1.1,1.06,0.97,0.89,0.82,0.86,0.82,0.82,0.81,0.74,0.68,0.65,0.69,0.62,0.63,0.54,0.52,0.58,0.55,0.57,0.59,Upgrade
Share-Based Compensation,59.64,32.17,28.84,30.86,37.07,59.11,28.82,29.04,50.96,35.9,30.09,29.38,38.26,26.71,30.37,28.25,38.89,34.26,30.44,26.09,32.24,23.38,23.18,23.83,25.9,20.74,17.61,22.01,16.69,12.79,12.82,11.97,8.55,7.03,6.49,95.23,11.01,14.55,10.88,11.4,Upgrade
Other Operating Activities,-217.52,68,69.16,-14.15,-377.28,229.47,164.22,144.81,-141.91,161.9,36.61,51.22,-137.68,151.18,-13.11,12.92,-175.96,83.49,98.57,-0.29,-59.22,98.36,19.38,53.48,-67.27,101.06,51.48,35.44,-75.03,81.82,41.75,40.39,-103.06,73.92,61.48,11.32,-78.92,74.4,11.74,6.81,Upgrade
Operating Cash Flow,-152.14,122.4,125.53,57.52,-272.45,389.84,315.28,254.83,-22.97,325.77,100.6,75.94,-73.09,200.57,59.17,71.92,-122.35,158.3,162.6,62.59,7.4,97.9,62.66,97.85,-25.23,137.66,79.39,65.15,-50.63,105.84,65.3,60.18,-88.56,91.08,75.01,88.06,-45.24,123.43,37.65,39.93,Upgrade
Operating Cash Flow Growth,-,-68.60%,-60.18%,-77.43%,-,19.67%,213.41%,235.57%,-,62.42%,70.02%,5.59%,-,26.70%,-63.61%,14.89%,-,61.70%,159.48%,-36.03%,-,-28.88%,-21.07%,50.19%,-,30.06%,21.57%,8.27%,-,16.20%,-12.94%,-31.66%,-,-26.21%,99.26%,120.51%,-,-,-,-,Upgrade
Capital Expenditures,-1.1,-2.03,-1.13,-0.34,-2.46,-4.54,-1.79,-6.56,-3.54,-9.45,-9.55,-8.52,-13.14,-0.94,-0.95,-2.42,-2.17,-2.03,-1.76,-2.07,-1.06,-1.09,-1.54,-1.22,-1.8,-0.13,-0.45,-1.3,-0.99,-1.09,-0.8,-1.53,-0.57,-1.51,-1.59,-0.07,-0.72,-0.37,-0.51,-0.36,Upgrade
Acquisitions,0,-3,0,0,0,0,0,0,0.07,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,171.32,-10.4,-54.7,33.06,29.82,80.59,-166.28,-9.29,94.32,8.59,-80.03,-80.75,153.1,-41.94,-84.08,9.3,71.31,65.01,-85.83,-30.52,67.54,18.92,-37.39,-50.76,5.45,0.02,29.51,-14.96,-10.31,75.04,-85.88,-16.89,30,34.11,-70.31,-3.77,66.92,20.83,-34.24,-14.83,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-0.05,-0,0.03,0.01,0.04,-0.02,-0.05,0.05,-0.13,-0.27,-4.18,-,-0,-0,Upgrade
