Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,8.03,8.65,8.48,8.15,9.13,8.25,6.38,5.08,3.82,3.6,2.42,3.3,4.18,4,3.84,4.74,3.76,3.48,3.79,3.22,1.9,2.73,2.46,2.15
Depreciation & Amortization,0.35,0.35,0.28,0.39,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.31,0.3,0.27,0.27,0.28,0.27,0.25,0.24,0.24,0.25,0.26,0.26
Share-Based Compensation,0.32,0.26,0.39,0.22,0.16,0.17,0.11,0.13,0.14,0.25,0.36,0.36,0.57,0.19,0.34,0.38,0.36,0.17,0.19,0.25,0.24,0.03,0.22,0.18
Other Operating Activities,-5.72,36.9,12.86,3.84,14.29,-32.19,-40.35,-0.74,17.06,-28.26,-7.56,-1.62,-2.19,3.64,0.89,-2.73,2.83,8.41,8.19,-5.09,-1.26,-8.45,-2.96,-0.39
Operating Cash Flow,2.98,46.16,22,12.6,23.91,-23.44,-33.54,4.79,21.34,-24.09,-4.46,2.37,2.87,8.13,5.33,2.65,7.23,12.33,12.43,-1.39,1.11,-5.44,-0.01,2.2
Operating Cash Flow Growth,-87.55%,-,-,162.83%,12.05%,-,-,102.62%,644.16%,-,-,-10.85%,-60.37%,-34.12%,-57.08%,-,550.36%,-,-,-,-,-,-,-
Capital Expenditures,-0.36,-0.24,-0.26,-0.55,-0.48,-0.26,-0.23,-0.15,-0.11,-0.2,-0.06,-0.25,-0.17,-0.32,-0.53,-0.72,-0.16,-0.21,-0.36,-0.47,-0.28,-0.03,-0.09,-0.02
Change in Investments,-84.6,-154.76,-77.05,-133.96,-132.26,22.37,-107.27,-67.77,-25.73,-47.92,-71.21,-1.6,-28.8,-20.97,-31.31,-37.5,-33.62,-26.22,-41.03,-44.22,-10.41,-44.69,-19.97,-6.18
Other Investing Activities,-,-,-10,-,-,-,-,-,-,-,-,-,-,-,-,2.29,-,-,-,-,-,-,-,-
Investing Cash Flow,-84.96,-155,-87.31,-134.51,-132.74,22.11,-107.5,-67.92,-25.84,-48.12,-71.27,-1.84,-28.97,-21.29,-31.84,-35.93,-33.78,-26.43,-41.38,-44.69,-10.69,-44.72,-20.06,-6.2
Dividends Paid,-1.83,-1.82,-1.52,-1.51,-1.51,-1.51,-1.05,-1.05,-1.06,-1.06,-1.06,-1.09,-0.79,-0.79,-0.78,-0.79,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0.54,0.06,0,0,0,0,0.06,-0,-0.94,-0.33,-0.5,-5.96,-0.7,-1.37,-0.67,-2.09,0.2,0.12,0.22,22.75,-14.9,15,0.14,0.19
Debt Issued / Paid,-10,10,0,0,0,0,-5,0,-5,0,10,0,0,0,0,0,0,-25,15,-15,15,0,10,-10
Other Financing Activities,68.96,75.19,69.54,137.94,37.66,62.31,148.28,85.3,29.93,49.36,68.5,31.49,24.52,21.32,45.27,24.23,8.29,73.52,5.09,44.97,18.77,21.59,21.89,49.26
Financing Cash Flow,57.68,83.43,68.03,136.42,36.15,60.79,142.29,84.25,22.93,47.97,76.95,24.44,23.03,19.16,43.82,21.34,8.49,48.63,20.31,52.73,18.87,36.59,32.03,39.45
Net Cash Flow,-24.31,-25.42,2.72,14.52,-72.69,59.46,1.26,21.12,18.42,-24.23,1.22,24.96,-3.07,6,17.32,-11.93,-18.06,34.54,-8.65,6.65,9.29,-13.57,11.96,35.45
Free Cash Flow,2.61,45.92,21.74,12.06,23.42,-23.7,-33.77,4.64,21.23,-24.29,-4.53,2.12,2.7,7.8,4.81,1.94,7.08,12.12,12.07,-1.86,0.83,-5.48,-0.1,2.18
Free Cash Flow Growth,-88.85%,-,-,159.69%,10.35%,-,-,118.86%,687.06%,-,-,9.56%,-61.90%,-35.62%,-60.18%,-,749.85%,-,-,-,-,-,-,-
Free Cash Flow Margin,11.63%,187.39%,92.74%,56.96%,104.17%,-112.78%,-188.46%,30.74%,154.47%,-186.27%,-42.22%,16.74%,20.46%,57.12%,35.80%,13.51%,55.49%,98.30%,94.74%,-16.58%,7.14%,-48.98%,-0.95%,21.98%
Free Cash Flow Per Share,0.17,3.02,1.44,0.80,1.55,-1.57,-2.25,0.31,1.41,-1.60,-0.30,0.14,0.17,0.49,0.31,0.12,0.45,0.77,0.78,-0.12,0.06,-,-,-
