Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Net Income,46.51,12.22,15.91,18.32,13.21,21.52,73.4,14.35,15.56,20.63,13.86,12.16,-
Depreciation & Amortization,5.75,5.15,5.12,5.19,2.89,1.93,1.98,1.96,1.92,1.94,1.86,1.98,-
Share-Based Compensation,0.22,0.19,0.13,0.2,0.07,0.09,0.61,0,0,0,0,0,-
Other Operating Activities,-61.78,38.87,-13.5,2.56,11.88,24.3,-78.86,18.25,-24.06,18.17,-15.55,4.24,-
Operating Cash Flow,-9.3,56.43,7.66,26.27,28.04,47.84,-2.88,34.56,-6.58,40.73,0.17,18.38,-
Operating Cash Flow Growth,-,17.96%,-,-23.98%,-,17.46%,-,88.02%,-,-,-,-,-
Capital Expenditures,2.73,-4.96,-3.07,-1.41,-0.78,-0.85,0.01,-0.23,1.16,-1.56,-0.19,-0.06,-
Acquisitions,-8.08,-10.22,-16.44,-7.79,-122.77,0,0,0,0,0,0,0,-
Change in Investments,39.8,-5.66,47.4,-221.66,87.68,35.67,14.18,-297.15,5.36,-3.31,1.67,20.46,-
Investing Cash Flow,34.45,-20.83,27.89,-230.85,-35.87,34.82,14.2,-297.37,6.51,-4.87,1.48,20.39,-
Dividends Paid,-25.17,-24.88,-29.73,-23.55,-19.06,-63.04,-14.43,-23.26,-25,0,-39.48,0,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,302.72,0,0,0,0,-
Debt Issued / Paid,-2.2,-0.5,-0.38,-0.37,-1.25,-0.2,-0.2,-0.2,-1.2,-0.1,-0.22,-0.24,-
Other Financing Activities,1.3,-0.54,-0.43,225,-0.72,-0.26,-0.25,-1.97,0.61,-0.17,-0.15,-0.28,-
Financing Cash Flow,-26.07,-25.92,-30.55,201.08,-21.03,-63.49,-14.88,277.3,-25.59,-0.28,-39.85,-0.52,-
Net Cash Flow,0.73,9.35,3.53,-2.35,-29.04,19.11,-3.53,14.67,-25.65,35.95,-38.4,38.02,-
Free Cash Flow,-6.58,51.47,4.58,24.86,27.26,47,-2.86,34.33,-5.43,39.17,-0.03,18.31,-
Free Cash Flow Growth,-,9.52%,-,-27.57%,-,19.97%,-,87.44%,-,-,-,-,-
Free Cash Flow Margin,-7.20%,90.31%,8.24%,45.21%,58.99%,118.39%,-2.41%,112.13%,-17.09%,118.19%,-0.10%,71.77%,-
Free Cash Flow Per Share,-0.04,0.35,0.03,0.18,0.20,0.34,-0.02,0.26,-0.04,0.29,-,0.14,-
