Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,18.15,25.28,28.2,22.36,26.36,25.31,28.36,31.39,41,30.85,25.66,29.06,-22.48,12.52,13.17,12.2,11.48,12.1,11.31,11.11,11.74,9.4,9.38,8.35,5.14,7.37,7.05,7.26,7.17,6.56,6.7,6.56,6.6,6.36,7.07,5.69,5.18,5.09,5.48,6.11,Upgrade
Depreciation & Amortization,2.62,2.66,2.72,2.8,2.9,2.95,3.11,3.18,3.27,3.52,3.28,3.28,2.88,1.37,1.33,1.32,1.33,1.31,1.29,1.18,1.21,0.17,1.68,1.63,1.38,-0.44,3.16,-0.13,1.31,-0.08,1.36,1.33,1.37,0.11,1.29,1.34,1.31,0.56,1.01,1.42,Upgrade
Share-Based Compensation,-0.12,0.39,0.71,0.04,0.54,0.42,1.12,0.15,0.44,-0.34,1.19,0.36,-0.26,0.39,0.43,0.33,-0.41,0.41,0.36,0.14,-0.06,0.4,0.23,-0.16,0.41,0.17,0.25,0.09,0.08,0.37,0.15,0.14,0.15,-0,0.06,0.06,-0.16,0.16,0.17,0.16,Upgrade
Other Operating Activities,-0.14,33.45,13.96,15.53,2.21,23.48,15.45,5.92,-20.36,-21.87,-63.99,-79.97,33.23,6.17,-8.7,-10.53,-2.72,6.22,7.16,-8.37,-4.04,3.98,-4,-3.38,1.35,3.59,0.67,-6.9,-3.71,3.46,2.66,-1.38,-5.28,3.37,0.33,-0.94,-0.99,2.97,3.82,-3.21,Upgrade
Operating Cash Flow,20.51,61.78,45.58,40.73,32.01,52.16,48.03,40.63,24.34,12.16,-33.87,-47.27,13.36,20.45,6.23,3.32,9.69,20.04,20.11,4.06,8.85,13.95,7.3,6.43,8.27,10.68,11.13,0.33,4.85,10.31,10.85,6.65,2.84,9.83,8.75,6.14,5.34,8.78,10.48,4.47,Upgrade
Operating Cash Flow Growth,-35.94%,18.45%,-5.11%,0.23%,31.51%,328.77%,-,-,82.19%,-40.52%,-,-,37.87%,2.06%,-69.03%,-18.31%,9.48%,43.60%,175.48%,-36.91%,7.02%,30.63%,-34.39%,1855.62%,70.57%,3.63%,2.51%,-95.05%,70.56%,4.81%,24.06%,8.27%,-46.78%,12.07%,-16.52%,37.32%,-65.84%,-,-2.68%,-58.56%,Upgrade
Capital Expenditures,-1.44,-3.64,-0.9,-0.53,-0.5,-1.29,-1.31,-0.42,-0,-2.61,-0.44,-2.07,-0.24,-1.92,-0.92,0.33,-0.63,-1.73,-0.83,-1.38,-0.23,-0.95,0.32,-0.51,-1.27,-2.18,1.11,-0.47,-0.56,0,-0.42,-0.39,-0.83,-1.27,-1.25,-1.83,-0.51,-0.29,-0.96,-0.43,Upgrade
Acquisitions,0,-0.44,0,0,0,0,0,0,0,0,0,0,52.45,0,-1.6,0,0,0,0,0,0,0,0,-6.48,25.84,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,-69.66,-216.67,-303.97,-495.64,-185.32,1.87,101.51,-242.54,-174.26,-171.62,-4.85,-326.97,-86.58,-106.04,-34.01,-67.37,-8.73,-92.12,-69.53,-44.01,-22.13,-75.9,-24.73,-13.79,-15.95,-39.69,-70.17,-35.32,-12.9,-66.5,-25.59,-13.68,-45.97,-11.48,-60.26,-39.34,12.65,-32.21,4.21,-57.3,Upgrade
Other Investing Activities,0.87,0.64,-,-,-,2.73,-20,0,0.89,1.08,-,-,-,1.26,0.78,-6.51,-,0.89,-,0.34,17.69,0.55,-,-,-20,1.71,-0.9,0.02,0.88,1.3,0.41,-2.88,0.57,0.04,2.28,0.8,-3.5,0.2,1.08,0.83,Upgrade
Investing Cash Flow,-70.24,-220.11,-304.87,-496.17,-185.83,3.32,80.2,-242.96,-173.37,-173.14,-5.3,-329.05,-34.37,-106.7,-35.75,-73.54,-9.36,-92.96,-70.36,-45.05,-4.66,-76.3,-24.41,-20.78,-11.38,-40.17,-69.96,-35.77,-12.58,-65.19,-25.89,-16.95,-46.23,-12.71,-59.23,-40.37,8.64,-32.29,4.33,-56.9,Upgrade
Dividends Paid,-11.04,-10.67,-10.67,-10.67,-10.79,-10.31,-10,-9.7,-8.94,-8.21,-8.2,-8.2,-8.29,-4.34,-3.75,-3.75,-3.79,-3.47,-3.47,-3.06,-3.05,-2.54,-2.54,-2.54,-2.25,-1.98,-1.97,-1.97,-1.97,-1.83,-1.86,-1.85,-1.61,-1.63,-1.42,-1.44,-1.45,-0.98,-0.98,-0.98,Upgrade
Share Issuance / Repurchase,-0.01,0.05,0,-2.62,-24.25,-18.75,-5.97,-3.77,-1.08,-0.08,0.01,-0.02,-10.08,0.04,0.03,0.03,-14.93,-6.3,0.03,0.08,0.08,0.02,0.02,0.08,0.15,0.07,0.2,0.19,-5.97,-3.17,-3.77,0.56,-0.52,-4.26,-4.08,-4.22,-1.96,-1.74,0.11,0.17,Upgrade
Debt Issued / Paid,89.65,192.12,240.56,449.36,181.05,20.06,-128.68,43.56,303.53,225.46,-42.24,432,53.34,109.81,61.64,45.02,31.94,-100.91,46.33,12.28,23.66,53.83,32.42,-41.25,76.2,25.6,34.87,43.99,59.68,66.35,28.39,-4.29,26.04,25.05,-3.62,-15.06,21.29,69.22,-5.36,24.64,Upgrade
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.98,-,-,-,-,8.7,-8.7,-,Upgrade
Financing Cash Flow,78.6,181.5,229.89,436.07,146.01,-9,-144.65,30.09,293.51,217.17,-50.44,423.78,34.97,105.51,57.92,41.31,13.22,72.36,42.89,9.31,20.69,51.31,29.9,-43.71,74.11,23.69,33.09,42.2,51.75,61.35,22.76,-5.59,11.92,19.16,-9.11,-20.71,17.88,75.2,-14.92,23.83,Upgrade
Net Cash Flow,28.87,23.17,-29.4,-19.37,-7.8,46.47,-16.41,-172.24,144.48,56.19,-89.61,47.46,13.96,19.26,28.4,-28.92,13.56,-0.56,-7.36,-31.68,24.87,-11.04,12.79,-58.06,71,-5.79,-25.75,6.76,44.02,6.46,7.72,-15.89,-31.46,16.28,-59.59,-54.94,31.87,51.69,-0.11,-28.6,Upgrade
Free Cash Flow,19.07,58.14,44.68,40.2,31.51,50.87,46.72,40.22,24.34,9.56,-34.32,-49.34,13.12,18.53,5.31,3.65,9.06,18.31,19.28,2.68,8.63,13,7.61,5.93,7,8.5,12.23,-0.14,4.29,10.31,10.44,6.26,2.01,8.56,7.5,4.31,4.84,8.49,9.52,4.04,Upgrade
Free Cash Flow Growth,-39.48%,14.30%,-4.36%,-0.04%,29.45%,432.15%,-,-,85.52%,-48.42%,-,-,44.83%,1.20%,-72.45%,36.00%,5.03%,40.84%,153.23%,-54.72%,23.18%,53.02%,-37.75%,-,63.33%,-17.56%,17.21%,-,112.86%,20.37%,39.09%,45.24%,-58.35%,0.86%,-21.15%,6.73%,-68.34%,-,-8.35%,-58.07%,Upgrade
Free Cash Flow Margin,29.32%,78.49%,58.78%,60.09%,42.68%,69.90%,63.49%,51.68%,27.12%,12.02%,-45.47%,-66.37%,92.28%,46.11%,13.46%,9.29%,23.31%,50.44%,53.45%,7.38%,23.01%,37.18%,22.37%,18.14%,21.79%,29.32%,43.18%,-0.49%,15.61%,38.67%,39.32%,23.93%,7.64%,33.87%,28.19%,17.75%,20.13%,36.81%,39.61%,16.58%,Upgrade
Free Cash Flow Per Share,0.54,1.64,1.26,1.13,0.86,1.38,1.26,1.08,0.65,0.26,-0.92,-1.32,0.35,0.94,0.27,0.18,0.45,0.90,0.94,0.13,0.42,0.64,0.38,0.29,0.37,0.47,0.68,-0.01,0.24,0.56,0.56,0.34,0.11,0.46,0.40,0.22,0.25,0.43,0.49,0.21,Upgrade
