Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+57 Quarters
Net Income,-0.05,1.77,2.33,1.27,0.8,1.9,1.32,1.02,0.85,-1.38,-0.09,-1.28,-1.07,-1.51,0.03,-1.66,0.32,0.33,0.77,1.04,1.07,0.6,1.01,0.8,1.73,1.05,0.81,-0.58,0.65,0.53,0.63,0.69,0.29,-2.4,17.26,0.53,0.32,0.95,-2.37,-3.91,Upgrade
Depreciation & Amortization,0.29,0.36,0.34,0.34,0.34,0.4,0.39,0.39,0.4,0.38,0.39,0.41,0.41,0.42,0.43,0.42,0.41,0.4,0.4,0.38,0.35,0.34,0.34,0.32,0.27,0.29,0.3,0.32,0.3,0.26,0.28,0.25,0.25,0.25,0.26,0.28,0.29,0.35,0.28,0.3,Upgrade
Share-Based Compensation,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.05,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.04,-0.18,0.15,0.15,0.12,0.11,0.11,0.11,0.07,0.07,0.07,0.06,0.06,0.06,0.01,Upgrade
Other Operating Activities,-0.47,5.27,-0.83,0.45,-5.48,1.46,1.58,-0.13,-2.12,8,3.23,0.82,-3.69,-9.44,1.04,-2.25,-0.34,-0.91,-0.22,1.25,0.21,1.7,1.47,0.09,-1.53,-0.89,0.46,1.74,-0.08,-0.26,0.57,1.29,0.43,23.71,-16.76,-1.11,-0.42,0.08,11.66,-3.62,Upgrade
Operating Cash Flow,-0.21,7.42,1.86,2.08,-4.32,3.79,3.32,1.32,-0.83,7.03,3.57,-0.01,-4.31,-10.48,1.56,-3.43,0.44,-0.13,1.01,2.72,1.68,2.69,2.86,1.23,0.51,0.48,1.39,1.63,1.02,0.66,1.59,2.35,1.08,21.63,0.84,-0.24,0.26,1.43,9.63,-7.22,Upgrade
Operating Cash Flow Growth,-,95.65%,-43.98%,57.62%,-,-46.10%,-7.03%,-,-,-,129.20%,-,-,-,54.72%,-,-74.03%,-,-64.77%,120.42%,226.51%,454.75%,105.32%,-24.06%,-49.90%,-26.11%,-12.67%,-30.73%,-5.01%,-96.97%,90.67%,-,322.75%,1410.61%,-91.32%,-,-,-89.91%,-,-,Upgrade
Capital Expenditures,-0.1,-0.09,-0.05,-0.18,-0.09,1.4,-0.19,-0,-0.18,0.09,-0.04,-0.12,-0,-0.03,-0.11,-0.41,-0.01,0.09,-0.16,-0.44,-0.63,-0.18,-0.58,-1.35,-0.96,-1.18,-1.18,-0.5,-0.67,1.51,-4.9,-1.9,-0.95,-3.96,-0.69,-3.64,-0.1,-5.63,0.05,-2.47,Upgrade
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.34,0,-4.74,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,-40.84,15.36,-20,-85.98,-31.03,2.91,-65.13,-39.12,45.11,18.41,37.19,32.91,-5.52,-8.98,4.09,-28.16,-8.68,-18.12,-22.02,24.61,-4.64,-5.16,-36.69,-47.7,-48.25,-25.53,-32.01,-37.85,-0.2,13.34,-1.42,6.34,-21.51,-11.93,-57.17,13.59,4.23,11.64,18.09,9.14,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.26,-,-,-0.08,Upgrade
