Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+67 Quarters
Net Income,-6.17,13.94,-9.13,-1.66,-3.56,32.14,12.2,92.05,7.74,14.31,-149.98,-18.1,-21.95,-59.37,17.19,11.54,31.65,-24.45,31.23,28.42,11.86,17.34,28.95,19.52,41.46,54.85,33.83,43.08,19.32,34.95,10.28,33.16,37.81,65.11,34.78,49.94,46.73,70.87,63.36,50.45,Upgrade
Depreciation & Amortization,7.68,8.02,9.64,10.06,10.35,10.68,10.25,9.6,6.72,5.21,6.34,5.09,4.73,4.59,4.42,4.62,5.04,4.71,5.51,4.96,6.08,7.77,7.08,6.15,7.8,7.28,8.54,8.34,8.63,9.02,8.69,8.94,9.57,9.79,5.83,12.39,11.59,1.47,9.92,12.12,Upgrade
Share-Based Compensation,1.15,1.15,1.29,1.05,1.34,1.07,1.13,1.15,1.03,0.79,1.02,1.02,1.01,1.2,0,1.09,1.23,1.18,1.63,1.62,0.9,3.51,1.02,2.75,3.35,5,1.65,3.1,2.72,1.53,2.67,2.26,2.7,2.03,2.38,2.4,3.24,2.31,2.22,2.43,Upgrade
Other Operating Activities,-32.49,-59.62,8.54,-27.39,6.13,-39.29,14.77,-100.49,13.21,-1.13,213.32,26.51,4.16,72.94,28.17,27.38,-3.52,49.43,42.46,-42.78,54.52,26.59,14.23,-30.87,16.77,-17.13,-1.26,-25.27,26.32,-39.9,30.13,-27.45,-13.24,-82.02,28.96,-66.03,-31.12,-60.01,-39.27,-64.17,Upgrade
Operating Cash Flow,-29.84,-36.51,10.34,-17.94,14.27,4.61,38.35,2.32,28.7,19.17,70.7,14.52,-12.05,19.36,49.79,44.62,34.39,30.87,80.83,-7.79,73.35,55.21,51.27,-2.46,69.37,49.99,42.76,29.25,56.98,5.6,51.77,16.91,36.84,-5.08,71.95,-1.3,30.44,14.64,36.23,0.84,Upgrade
Operating Cash Flow Growth,-,-,-73.03%,-,-50.30%,-75.97%,-45.76%,-84.06%,-,-1.00%,42.00%,-67.46%,-,-37.28%,-38.40%,-,-53.12%,-44.08%,57.64%,-,5.74%,10.43%,19.91%,-,21.74%,792.54%,-17.40%,72.98%,54.66%,-,-28.04%,-,21.05%,-,98.57%,-,-,-51.02%,26.46%,-81.87%,Upgrade
Capital Expenditures,-0.93,-0.87,-1.25,-1.42,-0.81,-0.64,-0.09,-1.87,-1.24,-0.81,-2.18,-1.73,-2.75,-2.45,-2.09,-2.47,-2.57,-1.96,-2.56,-3.28,-1.84,-1.87,-2.03,-2.06,-4.54,-3.13,-2.58,-5.22,0,-3.14,-6.38,0,0,-0.74,-2.14,0,0,-5.85,0,0,Upgrade
Acquisitions,3.38,-2.86,0.62,-0.39,7.62,-16.94,4.7,-205.93,12.3,5.91,-3.54,13.31,-15.7,-9.21,13.42,-5.3,-25.85,12.34,-14.37,18.62,-10.2,-6.33,-4.66,0,1.34,-11.51,-8.42,-4.23,-19.64,-12.77,-7.34,-1.47,-11.85,-11.81,-18.38,-7.61,26.02,-280.96,2.12,3.42,Upgrade
Change in Investments,51.15,34.41,18.18,-24.38,-81.86,-22.36,30.3,150.74,-64.34,-1.33,-46.82,-17.9,79.82,109.91,-53.71,10.57,27.09,-30.54,-23.63,141.91,135.72,-32.59,23.29,51.18,182.58,-122.87,-24.31,-83.61,-10.87,71.56,68.33,27.15,103.87,49.53,67.52,-35.28,126.33,-11.87,268.71,59.71,Upgrade
Other Investing Activities,6.07,-0.92,-18.18,12.22,-2.08,-20.06,10.49,12.39,27.03,-34.26,-6.98,16.02,10.45,-22.01,19.38,-9.39,5.2,0.28,-2.56,-25.47,22.42,8.91,-26.63,7.37,6.3,-7.57,-12.15,28.62,-1.33,1.82,2.05,-10.43,6.39,-9.94,-20.45,16.94,86.99,-70.86,-4.32,-24.1,Upgrade
