Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-3.97,5.96,3.73,13.74,10.62,-3.39,2.7,-4.02,-5.04,-0
Other Operating Activities,3.59,-6.02,-3.78,-14.09,-10.68,3.34,-2.75,4,3.34,0
Operating Cash Flow,-0.38,-0.05,-0.05,-0.35,-0.06,-0.05,-0.05,-0.03,-1.71,0
Change in Investments,363.25,0,0,0,0,0,0,0,-402.5,0
Investing Cash Flow,363.25,0,0,0,0,0,0,0,-402.5,0
Share Issuance / Repurchase,-363.61,0,0,0,0,0,0,0,412.55,0
Debt Issued / Paid,0.56,0,0,0,0,0,0,0.82,0,0
Other Financing Activities,-,-,-,-,-,-,-,-0.05,-8.07,-
Financing Cash Flow,-363.05,0,0,0,0,0,0,0.77,404.48,0
Net Cash Flow,-0.18,-0.05,-0.05,-0.35,-0.06,-0.05,-0.05,0.74,0.27,0
Free Cash Flow,-0.38,-0.05,-0.05,-0.35,-0.06,-0.05,-0.05,-0.03,-1.71,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.04,-
