Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,0.28,1.27,8.14,1.36,-3.91,-0.92,-2.61,1.74,-0.01
Other Operating Activities,-0.77,-1.41,-8.34,-1.6,3.77,0.84,2.45,-2.43,-0.02
Operating Cash Flow,-0.5,-0.14,-0.2,-0.25,-0.14,-0.08,-0.16,-0.69,-0.03
Change in Investments,0.29,0,0,0.06,0,0,0,-201.25,0
Investing Cash Flow,0.29,0,0,0.06,0,0,0,-201.25,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,196.72,0.03
Debt Issued / Paid,0.26,0.15,0.15,0.24,0,0,0,-0.13,0.13
Other Financing Activities,-,-,-,-,-,-0.02,-,5.79,-0.11
Financing Cash Flow,0.26,0.15,0.15,0.24,0,-0.02,0,202.38,0.05
Net Cash Flow,0.05,0.01,-0.05,0.06,-0.14,-0.1,-0.16,0.45,0.02
Free Cash Flow,-0.5,-0.14,-0.2,-0.25,-0.14,-0.08,-0.16,-0.69,-0.03
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.04,-0.01
