Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-2.32,-18.02,-0.83,6.02,16.9,1.76,-5.35,-6.17
Other Operating Activities,1.54,17.64,0.71,-6.17,-17.1,-1.83,4.12,6.14
Operating Cash Flow,-0.78,-0.38,-0.12,-0.15,-0.2,-0.07,-1.23,-0.03
Share Issuance / Repurchase,0,0,0,0,0,0,18.53,337.37
Debt Issued / Paid,0,0,0,0,0,-0.17,0,0
Other Financing Activities,-,-,-,-,-0.09,-,-0.07,-6.74
Financing Cash Flow,0,0,0,0,-0.09,-0.17,18.46,330.63
Net Cash Flow,-0.78,-0.38,-0.12,-0.15,-0.29,-0.24,17.23,-14.42
Free Cash Flow,-0.78,-0.38,-0.12,-0.15,-0.2,-0.07,-1.23,-0.03
Free Cash Flow Per Share,-0.02,-0.01,-0.00,-0.00,-0.01,-0.00,-0.03,-0.00
