Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,107.02,112.22,61.66,111.28,190.31,145.3,138.05,133.78,129.47,125.88,111.1,101.07,109.24,128.74,132.17,126.54,113.98,116.03,128.32,121.68,139.84,122.14,101.74,91.77,88.74,88.61,86.7,81.01,77.5,81.38,79.43,86.24,84.61,77.1,83.98,82.81,74.82,65.52,67.2,83.49,Upgrade
Depreciation & Amortization,0,87.94,0,0,0,92.63,0,0,0,83.93,0,0,0,80.86,0,0,0,77.69,0,-18.98,18.98,75.59,0,-18.82,18.82,71.83,0,0,0,66.67,0,0,0,61.13,0,0,0,57.1,0,0,Upgrade
Share-Based Compensation,0,39.4,0,0,0,41.45,0,0,0,27.01,0,0,0,24.58,0,0,0,23.81,0,-5.2,5.2,36.37,0,-6.18,6.18,25,0,0,0,33.37,0,0,0,13.46,0,0,0,37.87,0,0,Upgrade
Other Operating Activities,7.35,-101.96,36.25,-41.09,70.12,-130.16,20.84,54.65,7.1,-144.67,21.3,64.09,-10.27,-70.59,31.72,31.21,-54.08,-47.02,26.7,61.2,-59.84,-90.58,29.79,45.08,-40.73,-40.66,39.28,3.8,1.15,-48.39,38.27,-7.39,-6.68,-21.2,18.55,13.48,-29.33,-49.55,49.79,0.35,Upgrade
Operating Cash Flow,114.36,137.6,97.9,70.19,260.43,149.22,158.88,188.42,136.57,92.16,132.39,165.16,98.97,163.59,163.89,157.75,59.9,170.5,155.02,158.7,104.17,143.52,131.53,111.85,73.01,144.79,125.98,84.81,78.65,133.03,117.7,78.85,77.93,130.49,102.53,96.3,45.49,110.93,116.98,83.84,Upgrade
Operating Cash Flow Growth,-56.09%,-7.79%,-38.38%,-62.75%,90.69%,61.92%,20.01%,14.09%,37.99%,-43.66%,-19.22%,4.70%,65.23%,-4.06%,5.72%,-0.60%,-42.50%,18.80%,17.86%,41.89%,42.68%,-0.88%,4.41%,31.88%,-7.16%,8.83%,7.04%,7.55%,0.92%,1.95%,14.79%,-18.11%,71.30%,17.63%,-12.35%,14.86%,15.24%,-0.59%,65.26%,133.61%,Upgrade
Capital Expenditures,-19.68,-17.34,-23.52,-17.76,-15.87,-10.53,-14.27,-17.16,-10.58,-16.81,-14.78,-19.84,-27.13,-19.84,-19.91,-20.17,-17.25,-18.29,-17.74,-18.79,-18.5,-17.68,-25.35,-23.47,-20.07,-21.94,-31.21,-14.56,-14.09,-15.65,-26.43,-16.42,-15.38,-10.73,-15.72,-19.86,-17.04,-14.39,-15.71,-17.96,Upgrade
Acquisitions,0,0,0,0,0,-80.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.79,0,-0.1,-80.13,0,0,0,0,0,2.79,0,0,0,2.79,0,0,5.58,0,0,0,32.72,Upgrade
Change in Investments,6.61,-16.82,5.75,7.91,-13.89,12.95,-16.76,-8.27,-9.08,13.45,-12.07,2.8,8.28,-15.3,4.63,5.59,1.53,-29.89,4.64,-13.45,3.12,-6.1,4.3,3.39,-5.28,7.41,-5,-9.94,3.62,-6.3,3.29,-6.49,3.27,5.63,3.48,-4.86,2.43,1.92,-20.22,3.24,Upgrade
Other Investing Activities,-3.92,4.69,-0.06,-0.9,-2,0.4,-0.43,-,-11,0.11,-,-3,1.5,-,2.54,-,-,2.22,-0.4,-10.5,-,-0.36,-,-1.45,-,-,1.11,-,0.2,0.82,0.32,-0.83,-1,-2.3,-,-,-,-,-,-0.02,Upgrade
Investing Cash Flow,-16.99,-29.47,-17.83,-10.76,-31.76,-77.34,-31.46,-25.43,-30.66,-3.25,-26.85,-20.04,-17.35,-35.14,-12.74,-14.58,-15.73,-45.96,-13.5,-48.53,-15.38,-24.24,-101.18,-21.54,-25.35,-14.53,-35.09,-24.5,-7.47,-21.13,-22.82,-23.74,-10.32,-7.4,-12.25,-19.13,-14.6,-12.47,-35.93,17.98,Upgrade
Dividends Paid,-57.84,0,0,-54.33,-55.5,0,0,-52.39,-53.13,0,0,-51.46,-52.45,0,0,-49.99,-50.76,0,0,-47.14,-47.18,0,0,-44.27,-44.6,0,-0.06,-41.95,-42.68,0,0,-39.85,-40.18,0,-0.04,-36.94,-37.31,0,0,-34.4,Upgrade
Share Issuance / Repurchase,-59.85,-55.9,-49.17,-101.19,-80.28,-74.93,-109.45,-112.77,-55.68,-80.3,-102.47,-82.85,-111.97,-64.45,-61.87,-77.24,-81.88,-107.51,-92.48,-89.31,-30.11,-49.9,-51.93,-53.23,-39.71,-54.33,-60.26,-57.5,-71.9,-64.92,-70.14,-42.44,-48.33,-36.54,-45.63,-58.57,-30.16,-50.88,-42.59,-36.55,Upgrade
Debt Issued / Paid,0,0,0,-30,-10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Other Financing Activities,-0.9,-,-,-,-0.87,-,-,-3.26,-0.7,-,-,-,-0.63,-0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.45,3.21,4.97,3.27,7.06,5.76,2.21,5.41,3.48,1.69,4.09,Upgrade
Financing Cash Flow,-118.59,-55.9,-49.17,-185.52,-146.65,-34.93,-109.45,-168.42,-109.51,-80.3,-102.47,-134.31,-165.05,-64.88,-61.87,-127.23,-132.64,-107.51,-92.48,-156.45,-87.29,-59.9,-11.93,-97.5,-84.3,-54.33,-60.32,-99.45,-114.57,-76.37,-66.93,-77.33,-85.24,-29.48,-39.91,-93.3,-62.06,-47.4,-40.9,-66.86,Upgrade
Net Cash Flow,-18.65,61.57,19.76,-136.16,76.42,37.52,12.96,-4.4,-2.04,16.93,9.42,11.41,-94.58,73.64,85.12,12.95,-85.2,12.56,48.53,-54.86,4.05,59.28,24.61,-1.01,-34.33,70.54,28.4,-43.49,-41.41,32.07,22.75,-18.42,-24.19,89.53,45.75,-13.39,-32.72,51.06,40.16,34.96,Upgrade
Free Cash Flow,94.68,120.26,74.39,52.43,244.56,138.69,144.62,171.26,126,75.34,117.61,145.32,71.84,143.75,143.98,137.57,42.65,152.21,137.28,139.92,85.68,125.84,106.18,88.37,52.95,122.85,94.77,70.25,64.56,117.38,91.27,62.43,62.56,119.75,86.81,76.44,28.46,96.54,101.27,65.88,Upgrade
Free Cash Flow Growth,-61.28%,-13.29%,-48.56%,-69.39%,94.10%,84.08%,22.96%,17.85%,75.38%,-47.59%,-18.31%,5.63%,68.46%,-5.56%,4.88%,-1.67%,-50.23%,20.96%,29.30%,58.33%,61.82%,2.43%,12.03%,25.80%,-17.99%,4.66%,3.84%,12.52%,3.20%,-1.98%,5.14%,-18.32%,119.82%,24.05%,-14.28%,16.02%,-10.18%,-8.12%,75.22%,189.92%,Upgrade
Free Cash Flow Margin,20.18%,26.34%,15.78%,10.89%,42.06%,27.65%,29.80%,36.01%,27.65%,16.98%,27.68%,36.27%,17.32%,33.97%,34.59%,33.59%,10.64%,37.58%,33.59%,34.56%,21.12%,30.83%,27.51%,23.73%,14.71%,33.31%,26.72%,20.43%,19.31%,35.00%,27.19%,18.49%,19.22%,37.10%,26.96%,23.98%,9.41%,32.28%,36.08%,23.99%,Upgrade
Free Cash Flow Per Share,0.71,0.89,0.55,0.38,1.77,1.00,1.03,1.21,0.88,0.52,0.81,0.98,0.48,0.96,0.95,0.91,0.28,0.98,0.88,0.89,0.54,0.80,0.67,0.56,0.33,0.77,0.59,0.43,0.40,0.71,0.55,0.38,0.38,0.72,0.52,0.45,0.17,0.57,0.59,0.38,Upgrade
