Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,9.24,12.62,15.46,15.88,14.28,14.61,15.19,13.65,15.16,15.92,16.73,5.62,7.08,10.11,8.26,6.08,4.77,5.86,4.91,13.01,5.5
Depreciation & Amortization,1.7,1.69,1.77,1.8,1.71,1.6,1.61,1.61,1.62,1.64,1.68,1.65,1.61,1.49,1.26,1.22,1.25,1.28,1.3,1.28,1.33
Share-Based Compensation,0.53,0.89,0.69,0.65,0.53,0.41,0.4,0.43,0.39,0.31,0.63,0.03,0.31,0.45,0.27,0.14,0,0,0,0,0
Other Operating Activities,13.91,-10.55,11.58,0.5,54.11,1.94,-8.71,45.37,-9.02,-46.09,23.39,-20.19,-4.68,-4.03,-8.97,-15.11,23.3,-25.42,18.29,-9.21,8.79
Operating Cash Flow,25.38,4.65,29.5,18.83,70.62,18.57,8.5,61.06,8.15,-28.22,42.43,-12.9,4.32,8.01,0.81,-7.67,29.33,-18.28,24.5,5.09,15.62
Operating Cash Flow Growth,-64.07%,-74.99%,247.24%,-69.16%,766.67%,-,-79.98%,-,88.83%,-,5131.20%,-,-85.29%,-,-96.69%,-,87.81%,-,-,-,-
Capital Expenditures,-0.92,-0.94,-1.29,-0.48,-1.28,0.75,-1.04,-1.1,-0.07,-0.12,-0.65,-1.24,-1.07,-0.73,-0.73,-1.3,-1.03,-0.47,-0.86,-0.96,-0.73
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,-0.69,0,80.97,-2.8,0,0,0,0,0,0
Change in Investments,-30.82,-38.15,-96.88,-140.44,-131.45,15.94,-108,-51.83,-15.79,-10.62,44.47,-214.82,25.61,-228.32,-165.58,58.62,43.56,80.19,-204.96,-94.03,34.9
Other Investing Activities,0.41,0.17,0.13,1.62,0.13,0.25,0.36,0.34,0.35,0.37,0.84,1.18,0.51,2.23,0.36,0.84,0.41,-3.57,4.54,0.81,1.04
Investing Cash Flow,-31.33,-38.92,-98.03,-139.3,-132.6,16.94,-108.68,-52.59,-15.51,-10.36,44.66,-215.57,25.05,-145.85,-168.74,58.16,42.94,76.16,-201.28,-94.18,35.21
Dividends Paid,-2.21,-2.04,-2.08,-1.94,-1.95,-1.6,-1.62,-1.26,-0.9,-0.9,-0.54,-0.54,-0.54,-0.54,-0.54,0,0,-12.5,0,-15.33,-2.22
Share Issuance / Repurchase,0,-3.77,-9.72,-6.19,-3.02,-3.15,-4.4,-0.89,-0.79,-0.23,0,-0.06,0,0,0,51.39,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,-3.89,-38.64,-59.03,18.78,-47.73,67.17,-19.77,26.96,1.05,-10.11,-6.32,18.77,-14.3,5.73,5.07
Other Financing Activities,101.28,-54.99,34.61,-24.32,108.74,128.46,53.75,2.86,181.18,30.36,-4.04,281.94,-31.09,24.87,3.96,-23.07,27.48,16.1,77.72,24.31,5.24
Financing Cash Flow,99.07,-60.8,22.81,-32.45,103.77,123.71,43.84,-37.93,120.46,48,-52.3,348.51,-51.4,51.29,4.46,18.22,21.16,22.37,63.42,14.71,8.1
Net Cash Flow,93.12,-95.08,-45.73,-152.92,41.79,159.22,-56.35,-29.46,113.1,9.42,34.78,120.04,-22.04,-86.55,-163.47,68.71,93.42,80.25,-113.36,-74.38,58.92
Free Cash Flow,24.46,3.71,28.21,18.35,69.34,19.32,7.45,59.96,8.08,-28.34,41.77,-14.14,3.24,7.28,0.08,-8.97,28.3,-18.75,23.64,4.13,14.89
Free Cash Flow Growth,-64.73%,-80.82%,278.48%,-69.40%,758.69%,-,-82.16%,-,149.07%,-,49629.76%,-,-88.54%,-,-99.64%,-,90.06%,-,-,-,-
Free Cash Flow Margin,55.59%,7.60%,49.64%,32.80%,124.42%,35.53%,13.08%,111.35%,14.43%,-50.25%,73.45%,-33.49%,7.57%,16.38%,0.21%,-23.82%,78.58%,-49.48%,68.20%,11.83%,44.57%
Free Cash Flow Per Share,1.44,0.22,1.62,1.04,3.92,1.09,0.41,3.33,0.45,-1.57,2.31,-0.78,0.18,0.41,0.01,-0.50,1.62,-1.07,-,-,-
