Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,10.59,6.7,5.22,4.56,4.06,4.92,3.91,5.68,3.32,3.19,2.92,2.68
Depreciation & Amortization,0.38,0.4,0.39,0.36,0.53,0.54,0.54,0.54,0.55,0.56,0.57,0.55
Share-Based Compensation,-0.13,0.25,0.23,0.02,0.22,0.41,0.22,0.61,0.1,0.21,-0.19,-0.6
Other Operating Activities,-1.36,4.45,1.89,4.91,2.2,1.23,-2.2,6.31,-0.9,0.48,6.59,-8.57
Operating Cash Flow,9.48,11.8,7.74,9.84,7.01,7.09,2.46,13.14,3.07,4.44,9.88,-5.94
Operating Cash Flow Growth,35.21%,66.49%,214.93%,-25.13%,128.66%,59.65%,-75.13%,-,-,-,-,-
Capital Expenditures,-0.11,-0.45,-0.73,-1.31,-1.6,-1.38,-0.58,-0.95,-0.02,0.35,-0.06,-6.54
Change in Investments,-64.41,-98.25,-125.49,-89.52,-124.65,-55.96,-36.43,-47.77,-53.45,-28.15,-105.13,-67.55
Other Investing Activities,0.32,0.03,-,-7.25,7,0.94,0.09,0.53,0.62,0.42,-0.18,-0.38
Investing Cash Flow,-64.2,-98.67,-126.22,-98.07,-119.25,-56.4,-36.92,-48.19,-52.85,-27.39,-105.37,-74.47
Dividends Paid,-0.78,-0.78,-0.79,-0.81,-0.81,-0.69,-0.7,-0.69,-0.61,-0.61,-0.61,0
Share Issuance / Repurchase,0.01,0.21,-1.22,-6.13,-0,20.96,0,0.17,0,0,0,0.09
Debt Issued / Paid,24.27,21.01,-1.09,34.66,-0.95,-4.99,0.01,1.01,2.02,0.16,7.86,20.86
Other Financing Activities,-46.35,122.15,103.11,-14.61,220.13,23.71,52.57,120.38,26.05,0.82,108.54,53.74
Financing Cash Flow,-22.85,142.58,100,13.1,218.37,38.99,51.88,120.87,27.46,0.36,115.79,74.69
Net Cash Flow,-77.56,55.72,-18.48,-75.13,106.13,-10.32,17.42,85.82,-22.32,-22.59,20.3,-5.72
Free Cash Flow,9.38,11.35,7.01,8.53,5.42,5.71,1.88,12.19,3.05,4.79,9.82,-12.48
Free Cash Flow Growth,73.05%,98.70%,273.87%,-30.03%,77.58%,19.32%,-80.91%,-,-,-,-,-
Free Cash Flow Margin,39.81%,59.39%,42.58%,55.80%,35.84%,37.09%,13.22%,76.05%,24.86%,40.45%,86.70%,-109.59%
Free Cash Flow Per Share,1.08,1.31,0.80,0.97,0.60,0.63,0.21,1.40,0.35,-,-,-
