Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+58 Quarters
Net Income,2.98,3.44,3.76,2.93,2.48,3.38,3.93,2.99,2.88,3.79,4.15,2.67,2.2,2.76,2.74,2.53,2.62,-0.44,2.31,2.45,2.75,1.92,2.37,2.23,1.93,2.35,2.27,2.14,1.76,1.93,2.05,2.02,1.88,1.89,2.13,1.92,1.76,1.53,2.07,1.8,Upgrade
Depreciation & Amortization,0.41,0.43,0.45,0.46,0.46,0.46,0.44,0.49,0.5,0.53,0.51,0.51,0.52,0.49,0.47,0.41,0.38,0.37,0.34,0.33,0.34,0.35,0.35,0.35,0.35,0.33,0.37,0.36,0.36,0.34,0.33,0.32,0.27,0.31,0.29,0.28,0.27,0.27,0.26,0.27,Upgrade
Share-Based Compensation,0.11,0.09,0.12,0.13,0.1,0.03,0.09,0.09,0.09,0.03,0.06,0.08,0.08,0.02,0.05,0.05,0.04,-0,0.04,0.04,0.04,0,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,Upgrade
Other Operating Activities,-1.41,2.35,2.04,-1.95,11.72,-1.97,25.46,-1.42,-8.25,0.27,10.66,-23.39,-9.71,6.99,-4.03,-1.87,-2,6.98,0.23,-5.01,5.99,-3,-0.61,-2.01,5.54,1.16,-1.76,-0.95,-0.81,1.08,-1.31,2.48,1.71,-4.47,0.51,-3.23,0.53,0.84,0.41,7.73,Upgrade
Operating Cash Flow,2.08,6.31,6.38,1.58,14.77,1.89,29.92,2.16,-4.78,4.62,15.37,-20.14,-6.92,10.25,-0.77,1.11,1.05,6.91,2.92,-2.19,9.12,-0.72,2.14,0.6,7.86,3.85,0.9,1.57,1.33,3.35,1.08,4.82,3.88,-2.27,2.93,-1.02,2.57,2.63,2.74,9.8,Upgrade
Operating Cash Flow Growth,-85.89%,233.51%,-78.69%,-26.88%,-,-59.05%,94.61%,-,-,-54.94%,-,-,-,48.41%,-,-,-88.53%,-,36.72%,-,16.07%,-,137.29%,-61.98%,492.98%,14.88%,-16.42%,-67.54%,-65.82%,-,-63.21%,-,50.76%,-,6.90%,-,-2.87%,-55.84%,-13.09%,-,Upgrade
Capital Expenditures,-0.18,-0.19,-0.19,-0.13,-0.16,-0.27,-0.61,-2.33,-0.3,-0.07,-0.54,-0.32,-0.08,-0.35,-1.67,-2.85,-1.55,-0.68,-0.88,-1.16,-0.15,-1.34,-0.31,-0.27,-0.07,-0.45,-0.62,-0.37,-0.3,-0.49,-0.21,-0.73,-0.87,-0.97,-0.44,-0.47,-0.3,-0.13,-0.8,-0.11,Upgrade
Change in Investments,-35.48,-29.32,-116.14,5.79,-67.25,-101.78,-58.03,46.56,-73.33,-26.73,-76.15,-13.97,-8.08,-14.6,-57.71,45.19,-12.4,-6.3,-62.46,12.46,-9.16,-10.65,-40.75,3.21,-5.34,-18.49,-21.67,15.3,-14.71,-6.08,-18.32,20.35,-23.59,1.14,-27.57,23.04,-16.63,2.89,-24.06,-9.05,Upgrade
Other Investing Activities,-,0,-,0.01,0,0,0.06,0,0.01,-,0.01,-,0.02,-,-3,0.01,0,0.02,0.01,0,0.31,0.12,0.04,0,0.01,0.48,0.08,0.03,0.01,0.04,0.02,0.02,-5,0.01,0.01,0.01,0.01,0.05,0.02,0.02,Upgrade
Investing Cash Flow,-35.66,-29.51,-116.33,5.67,-67.42,-102.04,-58.58,44.24,-73.62,-26.8,-76.69,-14.29,-8.14,-14.94,-62.38,42.34,-13.95,-6.96,-63.32,11.3,-9,-11.87,-41.02,2.95,-5.4,-18.46,-22.21,14.95,-15,-6.54,-18.51,19.65,-29.45,0.19,-28,22.58,-16.92,2.8,-24.84,-9.14,Upgrade
Dividends Paid,-1.6,-1.56,-1.56,-1.56,-1.56,-1.47,-1.47,-1.47,-1.47,-1.42,-1.42,-1.42,-1.42,-1.37,-1.38,-1.38,-1.37,-1.33,-1.33,-1.33,-1.33,-1.29,-1.29,-1.29,-1.29,-1.24,-1.25,-1.25,-1.2,-1.2,-1.2,-1.2,-1.2,-1.16,-1.16,-1.16,-1.16,-1.16,-1.12,-1.11,Upgrade
Share Issuance / Repurchase,-0.06,0,0,-0,-0.08,0.02,0.02,0.01,0.01,0,0,0,0.02,0,0.02,0,0.01,-0.1,0,0,-0,-0.02,0,-0.02,-0.01,0,0,0.03,0.02,-0,-0.07,0.05,-0.03,0,0,-0.01,-0,0,0.03,0.01,Upgrade
Debt Issued / Paid,-4.89,25,25,0,0,-7,16,0,0,-2.33,0,-52.67,15,0,4.78,4.6,9.96,-14.17,-27.05,37.77,-0.32,-0.94,-3.88,4.67,0.13,-5.92,9.71,5.93,12.32,-7.86,-13.18,12.01,3.47,0.18,-9.82,11.01,0.53,-0.97,-5.99,5.65,Upgrade
Other Financing Activities,24.07,5.5,93.36,-31.19,39.16,54.44,72.96,-40.21,13.59,84.22,90.59,83.43,-7.97,27.3,63.93,-47.57,-6.4,39.05,88.84,-44.96,-23.73,40.95,42,-17.44,-15.6,25.47,24.22,-11.04,-1.4,16.52,30.91,-33.83,-5.26,21.03,40.18,-26.8,-0.7,11.01,33.33,-22.22,Upgrade
Financing Cash Flow,17.51,28.94,116.8,-32.75,37.53,45.99,87.52,-41.67,12.13,80.47,89.16,29.35,5.63,25.93,67.36,-44.35,2.2,23.44,60.46,-8.51,-25.38,38.71,36.84,-14.08,-16.76,18.31,32.68,-6.34,9.74,7.46,16.46,-22.97,-3.02,20.05,29.21,-16.96,-1.33,8.87,26.26,-17.68,Upgrade
Net Cash Flow,-16.07,5.74,6.85,-25.51,-15.12,-54.16,58.85,4.73,-66.27,58.29,27.85,-5.08,-9.42,21.23,4.21,-0.9,-10.7,23.39,0.05,0.6,-25.26,26.11,-2.04,-10.53,-14.31,3.7,11.38,10.18,-3.94,4.28,-0.97,1.5,-28.59,17.96,4.14,4.59,-15.67,14.31,4.16,-17.03,Upgrade
Free Cash Flow,1.9,6.12,6.19,1.45,14.6,1.62,29.31,-0.17,-5.08,4.55,14.83,-20.46,-7,9.91,-2.44,-1.74,-0.5,6.23,2.05,-3.35,8.97,-2.06,1.82,0.33,7.79,3.4,0.29,1.19,1.02,2.86,0.87,4.1,3.01,-3.24,2.49,-1.49,2.27,2.5,1.94,9.69,Upgrade
Free Cash Flow Growth,-86.99%,276.91%,-78.88%,-,-,-64.31%,97.56%,-,-,-54.06%,-,-,-,59.01%,-,-,-,-,12.28%,-,15.11%,-,540.00%,-72.36%,661.49%,18.90%,-67.24%,-70.86%,-66.02%,-,-65.07%,-,32.41%,-,28.34%,-,-4.97%,-56.54%,-32.60%,-,Upgrade
Free Cash Flow Margin,15.59%,48.39%,47.95%,12.27%,130.47%,13.02%,219.57%,-1.43%,-46.72%,36.33%,115.05%,-199.25%,-71.97%,95.65%,-23.86%,-17.71%,-5.23%,64.20%,22.00%,-36.35%,95.44%,-22.09%,19.90%,3.70%,91.27%,38.21%,3.13%,13.74%,12.71%,35.14%,10.49%,50.39%,38.67%,-41.27%,30.05%,-19.34%,30.68%,32.89%,25.12%,129.02%,Upgrade
Free Cash Flow Per Share,0.42,1.36,1.38,0.32,3.25,0.36,6.53,-0.04,-1.13,1.02,3.31,-4.57,-1.56,2.22,-0.55,-0.39,-0.11,1.40,0.46,-0.75,2.01,-0.46,0.41,0.07,1.75,0.76,0.06,0.27,0.23,0.64,0.20,0.92,0.68,-0.73,0.56,-0.33,0.51,0.56,0.43,2.17,Upgrade
